#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
31,Dylan Cease,CHW,35.2,-1.9, ,-3.9, , ,1.8,2.0, , , ,4,2022-07-01
32,Triston McKenzie,CLE,33.2,-1.9, , , , ,2.9,4.4, , , ,4,2022-07-01
33,Lance Lynn,CHW,31.2,-1.9,1.4, ,-6.3,-6.4,5.3,2.3, , , ,4,2022-07-01
34,Shohei Ohtani,LAA,25.1,-2.3,2.4,-3.1,-10.4, ,8.9,6.6, , , ,4,2022-07-01
35,Dylan Bundy,MIN,24.1,-2.6, ,-7.0, , ,2.4,4.8, , , ,4,2022-07-01
36,Andre Pallante,STL,26.1,-2.6, , ,-7.0,-6.4,2.8,5.1, , , ,4,2022-07-01
37,Lucas Giolito,CHW,27.0,-2.7, , , ,-5.8,1.8,3.2, , , ,4,2022-07-01
38,Glenn Otto,TEX,29.2,-2.8, , ,-7.8,-7.8,8.8,3.5, , , ,4,2022-07-01
39,Miles Mikolas,STL,37.2,-2.9, , ,-7.7,-6.8,2.0,4.9,3.8, , ,4,2022-07-01
40,Pablo Lopez,MIA,31.0,-3.1,0.9, ,-8.8,-10.0, ,6.4, , , ,4,2022-07-01
41,Spencer Strider,ATL,26.2,-3.1, , , ,-8.7,2.7, , , , ,4,2022-07-01
42,Kyle Gibson,PHI,27.1,-3.1,0.8, ,-8.0,-7.7,2.6,3.9, , , ,4,2022-07-01
43,Logan Gilbert,SEA,28.1,-3.2, , , ,-8.8,3.7,2.1, , , ,4,2022-07-01
44,Alek Manoah,TOR,31.1,-3.2, , ,-8.1,-8.0,7.7, , , , ,4,2022-07-01
45,Brandon Woodruff,MIL,30.0,-3.3, , ,-7.8,-8.8,2.1,0.8, , , ,4,2022-07-01
46,Chris Bassitt,NYM,25.1,-3.3,1.2, ,-9.0,-7.1,6.6,8.5, , , ,4,2022-07-01
47,Jordan Lyles,BAL,32.2,-3.4, , ,-7.8,-7.4,8.3,4.4, , , ,4,2022-07-01
48,Tyler Wells,BAL,25.0,-3.6, , , ,-8.6,3.4,5.1, , , ,4,2022-07-01
49,Carlos Carrasco,NYM,30.0,-3.9, , ,-9.2,-4.5,1.5,4.2, , , ,4,2022-07-01
50,Mitch Keller,PIT,31.0,-3.9, , ,-8.1,-7.1,9.7,5.7, , , ,4,2022-07-01
51,Merrill Kelly,ARI,41.1,-4.0,-0.5, ,-8.2,-8.8,1.2,5.6, , , ,4,2022-07-01
52,Corey Kluber,TBR,32.0,-4.0,1.7, ,-9.1,-7.3,9.3, , , , ,4,2022-07-01
53,James Kaprielian,OAK,28.0,-4.2, , ,-8.8,-3.3,2.8,3.9, , , ,4,2022-07-01
54,Jose Urquidy,HOU,33.0,-4.3, , , ,-9.2,8.8,4.4, , , ,4,2022-07-01
55,Yu Darvish,SDP,34.0,-4.4,1.6,-2.2,-7.7,-8.3,5.5,6.9, , , ,4,2022-07-01
56,Brady Singer,KCR,30.2,-4.6, , ,-8.4,-8.5,1.7, , , , ,4,2022-07-01
57,Tony Gonsolin,LAD,30.2,-4.9, ,-6.7, , ,2.1,1.9, , , ,4,2022-07-01
58,Zack Wheeler,PHI,32.2,-5.1, ,-8.6,-9.1,-8.4,1.6,5.8, , , ,4,2022-07-01
59,Josiah Gray,WSN,26.2,-5.2, , , ,-8.8,1.1,1.3, , , ,4,2022-07-01
60,German Marquez,COL,31.2,-5.2, , ,-7.5,-5.0,-0.5,0.6, , , ,4,2022-07-01
