#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
1,Jesus Luzardo,MIA,20.1,7.5, , ,9.5,9.2,-0.3, , , , ,1,4
2,Shane McClanahan,TBR,27.0,6.0, , , ,9.5,-2.2,-4.8, , , ,1,4
3,Eric Lauer,MIL,23.1,5.9,1.6, , ,8.7,-1.3,-3.5, , , ,1,4
4,Martin Perez,TEX,21.0,5.3,-0.3, ,8.7,7.8, ,-3.7, , , ,1,4
5,Cole Irvin,OAK,27.2,5.0,0.7, ,8.5,7.7,-4.1,-4.4, , , ,1,4
6,Madison Bumgarner,ARI,23.0,4.8,-0.9, ,8.9,7.4, ,-5.6,-2.5, , ,1,4
7,Tarik Skubal,DET,20.2,4.2, , ,8.7,7.8,-1.6,-4.6, , , ,1,4
8,Carlos Rodon,SFG,23.0,3.6, , , , ,-4.8,-3.6, , , ,1,4
9,Robbie Ray,SEA,30.1,3.6, , , ,3.8,-0.9,-1.6, , , ,1,4
10,Austin Gomber,COL,21.0,3.4, , , ,5.7,-3.0,-4.8, , , ,1,4
11,Brad Keller,KCR,24.2,1.6, , ,-6.3,-5.9,3.1, , , , ,1,4
12,Max Fried,ATL,24.0,0.7, , ,6.7,7.6,-2.6,-5.7, , , ,1,4
13,Clayton Kershaw,LAD,23.0,0.0, , ,5.1,7.9,-3.1,-2.8, , , ,1,4
14,Zack Greinke,KCR,22.0,-0.6, , ,-6.2,-7.3,3.8,7.3, , , ,1,4
15,Chris Flexen,SEA,24.0,-1.3,3.5, , ,-6.8, ,5.9, , , ,1,4
16,Adam Wainwright,STL,27.0,-1.6,3.3, ,-7.8,-8.8, ,9.9, , , ,1,4
17,Dylan Cease,CHW,22.0,-1.7, ,-5.8, , ,3.4,1.4, , , ,1,4
18,Dylan Bundy,MIN,21.1,-2.2, ,-6.1,-6.8, ,2.7,5.1, , , ,1,4
19,Pablo Lopez,MIA,23.1,-2.5,1.3, ,-8.2,-10.0, ,7.4, , , ,1,4
20,Joe Musgrove,SDP,25.0,-2.6,1.2, ,-7.1,-6.0,7.8,5.7, , , ,1,4
21,Miles Mikolas,STL,29.2,-2.8, , ,-7.7,-6.7,2.4,5.6,4.6, , ,1,4
22,Walker Buehler,LAD,24.2,-2.9,2.6, ,-7.2,-7.3,8.0,7.0, , , ,1,4
23,Alek Manoah,TOR,25.0,-3.1, , ,-8.5,-8.4,9.1, , , , ,1,4
24,Kyle Gibson,PHI,27.2,-3.2,0.8, ,-8.2,-8.4,2.7,3.2, , , ,1,4
25,Yu Darvish,SDP,26.1,-3.3,2.7,-2.2,-7.1,-3.0,5.8,5.4, , , ,1,4
26,Chris Bassitt,NYM,24.0,-3.3,1.5, ,-9.2,-10.4,7.7,8.0, , , ,1,4
27,Luis Garcia,HOU,21.2,-3.7,3.1, , ,-9.6,7.1,2.2, , , ,1,4
28,Kyle Hendricks,CHC,24.2,-3.7, , ,-7.3,-7.4, ,8.0, , , ,1,4
29,Elieser Hernandez,MIA,20.1,-3.8, , , ,-9.2,6.1, , , , ,1,4
30,Tylor Megill,NYM,28.0,-3.9, , , ,-8.3,2.1,3.6, , , ,1,4
