#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
1,Marco Gonzales,SEA,31.0,6.3,1.8, ,7.9,9.5, ,-3.5, , , ,3,6
2,Shane McClanahan,TBR,33.0,6.2, , , ,9.4,-2.2,-4.9, , , ,3,6
3,Jordan Montgomery,NYY,32.0,6.0,-0.3, ,9.9,6.4, ,-1.8, , , ,3,6
4,Martin Perez,TEX,30.0,5.9,0.5, ,9.4,8.2, ,-4.4, , , ,3,6
5,Eric Lauer,MIL,27.2,5.8,1.3, , ,6.9,-1.2,-3.4, , , ,3,6
6,Jeffrey Springs,TBR,26.2,5.8, , , ,7.2,-2.7, , , , ,3,6
7,Cole Irvin,OAK,35.1,5.3,2.3, ,7.8,7.6,-4.9,-2.6, , , ,3,6
8,Tarik Skubal,DET,32.1,5.0, , ,8.5,7.3,0.1,-3.7, , , ,3,6
9,Patrick Corbin,WSN,27.1,4.9, , ,8.1,7.3,-1.6, , , , ,3,6
10,Madison Bumgarner,ARI,31.0,4.6,-1.5, , ,7.9, ,-5.5, , , ,3,6
11,Rich Hill,BOS,27.0,4.5,-0.8, ,9.1,8.4,-13.0,-10.4,-9.9, , ,3,6
12,Tyler Anderson,LAD,28.1,4.0,-1.3, ,8.8,7.5, ,-0.7, , , ,3,6
13,Robbie Ray,SEA,37.0,3.9, , ,8.8,6.2,-0.8,-1.1, , , ,3,6
14,Ranger Suarez,PHI,31.0,3.7,-1.0, ,9.1,8.7,-3.7,-4.3, , , ,3,6
15,Framber Valdez,HOU,32.0,3.3, , ,7.9,8.4,-2.2,-6.9, , , ,3,6
16,Kyle Freeland,COL,33.0,3.2,-0.8, ,7.1,6.1,-2.9, , , , ,3,6
17,Carlos Rodon,SFG,36.0,2.9, , , ,7.2,-4.5,-3.2, , , ,3,6
18,Julio Urias,LAD,28.2,1.3, , , ,7.6, ,-9.2, , , ,3,6
19,Jose Quintana,PIT,30.0,1.0,-1.8, ,6.7,6.3, ,-4.8, , , ,3,6
20,Max Fried,ATL,33.1,0.8, , ,5.4,6.7,-2.3,-4.9, , , ,3,6
21,Graham Ashcraft,CIN,33.0,-0.1, , ,-6.5,-8.1,5.7, , , , ,3,6
22,Adam Wainwright,STL,32.0,-0.5,3.3, ,-7.4,-7.6, ,9.2, , , ,3,6
23,Justin Steele,CHC,29.2,-1.0, , ,4.9,6.5,-7.9,-3.6, , , ,3,6
24,Zac Gallen,ARI,25.2,-1.4,3.4, , ,-6.5,5.0,3.9, , , ,3,6
25,Chris Flexen,SEA,33.0,-1.5,3.6, , ,-7.0,3.8,4.5, , , ,3,6
26,Shohei Ohtani,LAA,29.2,-1.7,2.4,-2.9, , ,7.3,6.0, , , ,3,6
27,Dylan Cease,CHW,27.1,-1.7, ,-4.8, , ,2.3,1.8, , , ,3,6
28,Pablo Lopez,MIA,28.2,-1.8,1.4, ,-7.8,-9.7, ,6.6, , , ,3,6
29,Antonio Senzatela,COL,28.1,-1.8, , ,-5.6,-4.3,2.6,3.5, , , ,3,6
30,Triston McKenzie,CLE,29.1,-2.0, , , , ,2.7,3.5, , , ,3,6
