#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
61,Corbin Burnes,MIL,31.1,-5.3,2.5, ,-7.0,-7.8,4.0,5.4, , , ,4,7
62,Logan Webb,SFG,38.1,-5.3, , ,-8.4,-4.0,5.5, , , , ,4,7
63,Jake Odorizzi,HOU,28.1,-5.3,1.8,-6.9,-8.2, ,3.9,6.3, , , ,4,7
64,Jose Urena,COL,27.0,-5.4, , ,-7.7,-6.3,0.1, , , , ,4,7
65,Kutter Crawford,BOS,28.0,-5.5,2.3,-6.1, , ,3.2,5.3, , , ,4,7
66,Adrian Sampson,CHC,32.2,-5.6, , ,-7.9,-9.3,5.4, , , , ,4,7
67,Joe Ryan,MIN,26.2,-5.7, , , ,-9.8,1.5,5.4, , , ,4,7
68,Charlie Morton,ATL,30.0,-5.7, , ,-9.5,-9.9,1.1,9.6, , , ,4,7
69,Gerrit Cole,NYY,38.0,-5.9,-0.3, , ,-8.0,2.6,6.3, , , ,4,7
70,Jose Berrios,TOR,36.0,-5.9, , ,-9.3,-7.9,8.9, , , , ,4,7
71,Taijuan Walker,NYM,30.2,-6.0,-0.8,-6.9,-8.8, ,2.5,3.7, , , ,4,7
72,Johnny Cueto,CHW,34.0,-6.1,-3.2, ,-9.2,-6.4,0.5,2.3, , , ,4,7
73,Jon Gray,TEX,30.1,-6.1, , , ,-7.6,6.5,7.7, , , ,4,7
74,Kyle Wright,ATL,30.2,-6.2, , ,-9.0,-8.8,-0.8,5.2, , , ,4,7
75,Luis Castillo,CIN,28.0,-6.2, , ,-9.9,-9.9,0.3, , , , ,4,7
76,Max Scherzer,NYM,32.1,-6.5,0.0, , ,-8.3,1.7,9.5, , , ,4,7
77,Sandy Alcantara,MIA,34.0,-6.8, , ,-9.9,-9.5,0.0, , , , ,4,7
78,Aaron Nola,PHI,35.0,-7.2,0.3, ,-9.1,-8.3, ,8.1, , , ,4,7
79,Alex Cobb,SFG,36.0,-7.4, ,-7.8,-9.1, , ,3.4, , , ,4,7
80,Sean Manaea,SDP,25.0, , , ,7.3,7.1,-1.6, , , , ,4,7
