#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
31,Andre Pallante,STL,30.1,-2.0, , ,-7.4, ,3.1,5.2, , , ,3,6
32,Miles Mikolas,STL,34.0,-2.3, , ,-7.3,-7.0,2.5,5.5,4.0, , ,3,6
33,Joe Musgrove,SDP,34.0,-2.5,0.8, ,-7.5,-6.3,7.7,4.9, , , ,3,6
34,Paul Blackburn,OAK,26.1,-2.7,3.6, ,-7.2,-7.6,8.0,4.8, , , ,3,6
35,Ross Stripling,TOR,28.1,-2.8, , ,-6.9,-6.5,2.3,4.2, , , ,3,6
36,Dakota Hudson,STL,35.1,-2.8,0.1, ,-7.5,-7.2,3.9, , , , ,3,6
37,Kyle Hendricks,CHC,27.2,-2.8, , ,-6.8,-6.3, ,7.8, , , ,3,6
38,Lucas Giolito,CHW,27.0,-2.9, , , ,-6.5,1.9,4.4, , , ,3,6
39,Jordan Lyles,BAL,28.2,-2.9, , ,-7.2,-7.1,10.0,4.4, , , ,3,6
40,Keegan Thompson,CHC,27.1,-2.9,2.8, ,-7.4,-9.4,6.5,4.6, , , ,3,6
41,Alek Manoah,TOR,38.2,-3.0, , ,-8.5,-8.1,8.8, , , , ,3,6
42,Corey Kluber,TBR,28.1,-3.1,1.4, ,-9.2,-7.7,8.9, , , , ,3,6
43,Logan Gilbert,SEA,35.2,-3.2, , , ,-8.5,3.3,2.6, , , ,3,6
44,Tyler Wells,BAL,26.0,-3.2, , , ,-8.2,3.4,5.3, , , ,3,6
45,Ian Anderson,ATL,28.2,-3.2, , , ,-5.6, ,-0.1, , , ,3,6
46,Chris Bassitt,NYM,30.2,-3.2,1.2, ,-9.7,-10.6,8.0,8.7, , , ,3,6
47,Nick Pivetta,BOS,40.0,-3.3, ,-5.2, , ,3.4,4.7, , , ,3,6
48,Frankie Montas,OAK,31.0,-3.4, ,-6.8,-8.5, ,2.9, , , , ,3,6
49,Corbin Burnes,MIL,28.2,-3.4,2.2, ,-6.9,-8.8,4.6,5.4, , , ,3,6
50,Yu Darvish,SDP,35.2,-3.5,0.9,-4.7,-8.0,-6.4,4.6,6.2,7.1, , ,3,6
51,Jameson Taillon,NYY,33.1,-3.5,1.4, ,-8.1,-8.3,3.4,5.2, , , ,3,6
52,Luis Garcia,HOU,27.2,-3.7,3.0, , ,-9.3,8.5,3.0, , , ,3,6
53,Beau Brieske,DET,27.1,-3.9, , ,-7.5,-8.7,0.4,1.7, , , ,3,6
54,Michael Wacha,BOS,29.2,-4.0,1.0, ,-6.8,-7.0, ,4.7, , , ,3,6
55,Luis Severino,NYY,30.0,-4.2,2.6, ,-8.8,-7.0,5.8, , , , ,3,6
56,Merrill Kelly,ARI,30.0,-4.3,-1.0, ,-9.0,-9.0, ,5.6, , , ,3,6
57,Carlos Carrasco,NYM,29.2,-4.4, , ,-9.5,-4.7,1.4,4.4, , , ,3,6
58,Zach Plesac,CLE,30.0,-4.5, , , ,-6.8,0.7,0.7, , , ,3,6
59,Tony Gonsolin,LAD,29.0,-4.5, ,-7.1, , ,2.2,2.0, , , ,3,6
60,Shane Bieber,CLE,37.1,-4.6,0.9, , ,-7.4,1.4,5.5, , , ,3,6
