#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
1,Marco Gonzales,SEA,36.2,6.7,1.7, ,8.3,10.2, ,-3.6, , , ,2,5
2,Shane McClanahan,TBR,31.1,6.1, , , ,9.2,-2.2,-4.6, , , ,2,5
3,Martin Perez,TEX,42.1,5.8,-0.1, ,9.3,8.0, ,-3.5, , , ,2,5
4,Yusei Kikuchi,TOR,26.2,5.8,0.1, , ,6.1,-1.5, , , , ,2,5
5,Jordan Montgomery,NYY,33.1,4.8,-0.2, ,9.6,6.3, ,-1.7, , , ,2,5
6,Patrick Corbin,WSN,34.2,4.8, , ,7.8,6.7,-1.8, , , , ,2,5
7,Tarik Skubal,DET,31.0,4.5, , ,8.6,8.1,-0.7,-3.5, , , ,2,5
8,Tyler Anderson,LAD,32.0,4.4,-1.3, ,10.2,8.1, ,-1.9, , , ,2,5
9,Bruce Zimmermann,BAL,32.1,4.2, , ,8.4,9.5,0.7,-0.1, , , ,2,5
10,Robbie Ray,SEA,30.1,4.1, , , , ,-0.7,-1.6, , , ,2,5
11,Framber Valdez,HOU,43.0,3.9, , ,7.6,8.4,-3.0,-7.0, , , ,2,5
12,Ranger Suarez,PHI,29.2,3.5, , ,9.1,8.5,-3.2,-3.9, , , ,2,5
13,Kyle Freeland,COL,33.2,3.2,-1.2, ,7.0,5.9,-3.3, , , , ,2,5
14,Carlos Rodon,SFG,27.0,3.1, , , , ,-4.9,-3.3, , , ,2,5
15,Patrick Sandoval,LAA,28.1,2.1, , ,8.0,8.4,-4.4,-4.4, , , ,2,5
16,Nestor Cortes,NYY,32.1,2.0,-3.1, , ,7.3,-8.7, , , , ,2,5
17,Julio Urias,LAD,35.0,1.8, , , ,8.0, ,-8.7, , , ,2,5
18,Brad Keller,KCR,30.0,1.6, , ,-5.8,-6.3,2.9, , , , ,2,5
19,Jose Quintana,PIT,27.0,1.4,-0.6, ,7.9,6.6, ,-4.4, , , ,2,5
20,Max Fried,ATL,37.0,1.3, , ,7.0,8.4,-2.3,-5.5, , , ,2,5
21,Zack Greinke,KCR,29.2,0.2, , ,-6.6,-6.9,3.8,6.9,6.4, , ,2,5
22,Adam Wainwright,STL,32.0,-0.5,3.1, ,-7.5,-8.0, ,9.2, , , ,2,5
23,Drew Rasmussen,TBR,28.2,-0.7,0.2, , , ,6.7,2.1, , , ,2,5
24,Pablo Lopez,MIA,35.2,-1.0,1.6, ,-7.8,-9.2, ,7.3, , , ,2,5
25,Zac Gallen,ARI,35.1,-1.6,3.3, ,-7.9,-6.9,4.4,3.8, , , ,2,5
26,Triston McKenzie,CLE,34.0,-1.8, , , , ,3.0,4.5, , , ,2,5
27,Dylan Cease,CHW,31.2,-1.9, ,-5.0, , ,3.4,2.4, , , ,2,5
28,Joe Musgrove,SDP,33.0,-2.2,1.1, ,-6.6,-4.7,7.8,5.7, , , ,2,5
29,Nick Pivetta,BOS,38.1,-2.5, ,-4.7, , ,2.3,4.1, , , ,2,5
30,Lucas Giolito,CHW,28.1,-2.5, , , ,-5.5,2.3,4.5, , , ,2,5
