#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
31,Brad Keller,KCR,6.20,1.82,3.40,0.73,18.9%,5.6%,13.3%,.165,0.77,.182,74.1%,55,87,90,2.19,3.40,-1.21,3.54,3.78,1,4
32,Austin Gomber,COL,8.57,3.00,2.86,0.86,23.0%,8.0%,14.9%,.238,1.24,.293,64.7%,83,82,96,3.86,3.45,0.41,3.83,3.97,1,4
33,Adam Wainwright,STL,8.67,4.00,2.17,0.67,22.4%,10.3%,12.1%,.288,1.56,.368,76.5%,103,90,91,4.00,3.48,0.52,3.62,4.03,1,4
34,Sean Manaea,SDP,9.00,3.30,2.73,0.90,24.8%,9.1%,15.7%,.191,1.07,.234,68.3%,93,88,99,3.60,3.51,0.09,3.94,3.92,1,4
35,Yu Darvish,SDP,8.54,3.42,2.50,0.68,22.5%,9.0%,13.5%,.212,1.18,.264,66.2%,115,90,101,4.44,3.57,0.87,4.04,4.12,1,4
36,Dane Dunning,TEX,9.00,2.77,3.25,1.04,23.4%,7.2%,16.2%,.255,1.31,.315,77.9%,98,92,82,3.81,3.65,0.16,3.23,3.56,1,4
37,Chad Kuhl,COL,6.46,2.66,2.43,0.76,19.3%,8.0%,11.4%,.160,0.85,.177,87.2%,41,87,99,1.90,3.66,-1.76,3.94,4.31,1,4
38,Frankie Montas,OAK,9.40,2.43,3.88,1.21,26.5%,6.8%,19.7%,.194,0.98,.233,61.5%,115,96,80,4.25,3.69,0.56,3.18,3.35,1,4
39,Chris Flexen,SEA,5.63,2.25,2.50,0.75,15.6%,6.3%,9.4%,.244,1.17,.274,75.4%,91,96,113,3.38,3.70,-0.32,4.46,4.70,1,4
40,Zack Greinke,KCR,2.45,1.23,2.00,0.41,6.9%,3.4%,3.4%,.256,1.09,.267,77.2%,71,99,129,2.86,3.84,-0.98,5.07,5.53,1,4
41,Gerrit Cole,NYY,10.13,3.75,2.70,1.13,27.0%,10.0%,17.0%,.202,1.17,.254,84.7%,78,97,89,3.00,3.86,-0.86,3.53,3.74,1,4
42,Aaron Nola,PHI,11.06,1.63,6.80,1.63,31.8%,4.7%,27.1%,.212,0.94,.267,77.3%,96,95,67,3.90,3.87,0.03,2.65,2.52,1,4
43,Kyle Gibson,PHI,8.46,3.90,2.17,0.98,23.2%,10.7%,12.5%,.180,1.08,.211,77.5%,72,97,88,2.93,3.94,-1.02,3.50,3.88,1,4
44,Cal Quantrill,CLE,4.09,4.09,1.00,0.41,11.1%,11.1%,0.0%,.203,1.18,.221,66.4%,84,109,139,3.27,4.29,-1.02,5.45,5.91,1,4
45,Madison Bumgarner,ARI,5.87,4.30,1.36,0.78,16.0%,11.7%,4.3%,.181,1.13,.197,86.2%,29,112,129,1.17,4.37,-3.20,5.17,5.37,1,4
46,Zach Plesac,CLE,5.06,1.69,3.00,1.27,13.3%,4.4%,8.9%,.279,1.31,.296,71.4%,98,111,114,3.80,4.38,-0.58,4.49,4.79,1,4
47,Robbie Ray,SEA,7.71,3.56,2.17,1.19,20.8%,9.6%,11.2%,.232,1.25,.268,74.9%,112,115,114,4.15,4.40,-0.24,4.49,4.47,1,4
48,Nathan Eovaldi,BOS,10.05,0.94,10.67,2.20,28.1%,2.6%,25.4%,.218,0.94,.239,100.0%,61,114,70,2.51,4.47,-1.96,2.80,2.81,1,4
49,Cole Irvin,OAK,5.86,2.28,2.57,1.30,15.9%,6.2%,9.7%,.238,1.16,.253,87.6%,79,120,109,2.93,4.56,-1.63,4.28,4.44,1,4
50,German Marquez,COL,6.00,1.71,3.50,1.71,14.7%,4.2%,10.5%,.308,1.52,.329,60.6%,120,114,93,5.57,4.83,0.74,3.69,4.04,1,4
51,Jose Berrios,TOR,7.50,3.38,2.22,1.50,17.9%,8.0%,9.8%,.287,1.58,.325,84.3%,107,124,127,4.13,4.99,-0.86,4.98,4.77,1,4
52,Kyle Hendricks,CHC,7.66,4.01,1.91,1.46,19.1%,10.0%,9.1%,.268,1.50,.306,71.9%,136,129,123,5.47,5.10,0.37,4.91,4.75,1,4
53,Luis Garcia,HOU,7.89,2.08,3.80,2.08,22.4%,5.9%,16.5%,.203,0.97,.200,80.0%,108,133,118,4.15,5.19,-1.04,4.65,4.22,1,4
54,Joan Adon,WSN,8.10,5.01,1.62,1.54,18.9%,11.7%,7.2%,.274,1.67,.314,63.2%,179,137,130,7.33,5.60,1.73,5.21,4.95,1,4
55,Elieser Hernandez,MIA,8.85,2.21,4.00,2.66,22.5%,5.6%,16.9%,.268,1.33,.286,77.7%,146,153,116,5.75,6.01,-0.26,4.65,4.09,1,4
