#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
31,Cal Quantrill,CLE,6.54,2.56,2.56,0.57,18.0%,7.0%,10.9%,.248,1.20,.293,72.6%,95,89,116,3.69,3.52,0.17,4.57,4.53,2,5
32,Drew Rasmussen,TBR,8.16,2.83,2.89,0.94,22.4%,7.8%,14.7%,.224,1.15,.269,76.4%,94,95,84,3.45,3.60,-0.15,3.33,3.67,2,5
33,Michael Lorenzen,LAA,5.23,2.48,2.11,0.55,14.8%,7.0%,7.8%,.229,1.10,.258,73.1%,84,90,106,3.31,3.66,-0.36,4.18,4.42,2,5
34,Adam Wainwright,STL,6.19,2.25,2.75,0.84,17.9%,6.5%,11.4%,.174,0.88,.189,88.2%,43,95,105,1.69,3.71,-2.02,4.20,4.37,2,5
35,Pablo Lopez,MIA,9.59,2.78,3.45,1.26,26.2%,7.6%,18.6%,.224,1.15,.275,85.3%,71,95,83,2.78,3.73,-0.95,3.32,3.49,2,5
36,Logan Gilbert,SEA,9.33,3.44,2.71,0.98,25.2%,9.3%,15.9%,.207,1.15,.258,75.5%,93,98,96,3.44,3.77,-0.33,3.80,3.88,2,5
37,Logan Webb,SFG,8.71,2.32,3.75,1.16,24.2%,6.5%,17.7%,.211,1.03,.250,73.9%,95,100,82,3.77,3.82,-0.05,3.24,3.38,2,5
38,Miles Mikolas,STL,6.39,2.32,2.75,0.87,16.9%,6.2%,10.8%,.256,1.26,.292,72.6%,97,98,101,3.77,3.82,-0.05,4.05,4.39,2,5
39,Dane Dunning,TEX,9.53,3.81,2.50,0.95,23.6%,9.4%,14.2%,.257,1.45,.325,69.6%,123,97,92,4.76,3.85,0.91,3.63,3.84,2,5
40,Robbie Ray,SEA,12.46,2.67,4.67,1.78,33.3%,7.1%,26.2%,.224,1.15,.294,65.2%,144,102,72,5.34,3.90,1.44,2.85,2.81,2,5
41,Charlie Morton,ATL,8.90,3.16,2.82,0.86,22.8%,8.1%,14.7%,.258,1.34,.326,70.1%,111,99,107,4.60,3.91,0.68,4.27,4.05,2,5
42,Kyle Wright,ATL,8.19,3.64,2.25,0.91,22.0%,9.8%,12.2%,.218,1.21,.263,67.1%,96,100,97,3.94,3.92,0.02,3.86,4.11,2,5
43,Jordan Montgomery,NYY,7.02,1.08,6.50,1.35,19.8%,3.1%,16.8%,.246,1.05,.274,82.8%,84,99,84,3.24,3.95,-0.71,3.34,3.60,2,5
44,Carlos Rodon,SFG,8.67,4.00,2.17,1.00,21.8%,10.1%,11.8%,.290,1.59,.359,67.0%,143,104,102,5.67,3.96,1.70,4.06,4.35,2,5
45,Paul Blackburn,OAK,6.03,2.62,2.30,0.79,16.4%,7.1%,9.3%,.213,1.08,.238,83.8%,71,106,108,2.62,4.05,-1.42,4.25,4.47,2,5
46,Triston McKenzie,CLE,7.41,1.85,4.00,1.32,22.6%,5.6%,16.9%,.155,0.74,.157,94.7%,54,104,107,2.12,4.08,-1.97,4.22,4.12,2,5
47,Kyle Freeland,COL,6.68,3.48,1.92,0.80,16.8%,8.7%,8.1%,.276,1.49,.321,71.1%,92,98,117,4.28,4.12,0.15,4.68,4.77,2,5
48,Justin Verlander,HOU,7.67,1.71,4.50,1.42,22.1%,4.9%,17.2%,.209,0.95,.229,95.8%,59,105,96,2.27,4.12,-1.85,3.80,3.77,2,5
49,Luis Severino,NYY,9.93,2.17,4.57,1.55,26.7%,5.8%,20.8%,.209,1.03,.247,80.8%,89,105,92,3.41,4.18,-0.77,3.63,3.37,2,5
50,German Marquez,COL,8.38,3.41,2.45,1.24,20.6%,8.4%,12.2%,.303,1.62,.364,56.6%,147,101,101,6.83,4.29,2.54,4.02,4.16,2,5
51,Ranger Suarez,PHI,9.10,4.25,2.14,1.21,22.6%,10.5%,12.0%,.263,1.52,.321,69.3%,119,107,99,4.85,4.36,0.49,3.96,4.18,2,5
52,Lucas Giolito,CHW,11.75,3.49,3.36,1.91,31.1%,9.2%,21.8%,.269,1.41,.354,85.4%,106,108,79,4.13,4.42,-0.29,3.13,3.26,2,5
53,Ian Anderson,ATL,6.04,3.81,1.58,0.95,15.7%,9.9%,5.8%,.248,1.38,.276,74.7%,100,112,119,4.13,4.42,-0.29,4.77,5.09,2,5
54,Erick Fedde,WSN,7.14,4.66,1.53,0.93,18.1%,11.8%,6.3%,.259,1.52,.302,80.4%,91,109,119,3.72,4.42,-0.70,4.76,5.01,2,5
55,Julio Urias,LAD,6.94,1.03,6.75,1.80,19.3%,2.9%,16.4%,.272,1.17,.294,83.3%,78,112,99,3.09,4.51,-1.43,3.94,3.99,2,5
56,Tyler Mahle,CIN,9.77,4.31,2.27,1.44,25.4%,11.2%,14.2%,.186,1.18,.215,64.5%,113,108,109,4.88,4.55,0.33,4.37,4.19,2,5
57,Jakob Junis,SFG,5.67,2.00,2.83,1.33,15.6%,5.5%,10.1%,.216,1.04,.222,76.9%,93,119,106,3.67,4.56,-0.89,4.22,4.47,2,5
58,Zach Davies,ARI,6.90,2.70,2.56,1.50,17.8%,7.0%,10.9%,.244,1.27,.264,65.6%,110,121,110,4.50,4.75,-0.25,4.41,4.48,2,5
59,Patrick Corbin,WSN,6.49,2.86,2.27,1.56,15.5%,6.8%,8.7%,.302,1.62,.331,65.8%,146,122,101,5.97,4.96,1.01,4.03,4.27,2,5
60,Chris Bassitt,NYM,8.74,3.09,2.83,1.80,22.2%,7.8%,14.4%,.254,1.34,.289,79.6%,122,130,102,4.63,5.06,-0.43,4.06,3.97,2,5
