#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
1,Brandon Woodruff,MIL,11.40,3.30,3.45,0.00,30.9%,8.9%,22.0%,.207,1.13,.315,80.0%,52,45,84,2.10,1.78,0.32,3.36,3.26,4,2022-07-01
2,Reid Detmers,LAA,11.63,3.38,3.44,0.00,34.4%,10.0%,24.4%,.163,0.92,.265,82.6%,28,43,70,1.13,1.78,-0.65,2.77,2.98,4,2022-07-01
3,Max Scherzer,NYM,12.53,1.11,11.25,0.56,35.7%,3.2%,32.5%,.193,0.84,.292,91.9%,37,47,70,1.39,1.78,-0.39,2.77,2.44,4,2022-07-01
4,Clayton Kershaw,LAD,9.19,0.84,11.00,0.28,26.6%,2.4%,24.2%,.192,0.80,.256,62.5%,56,47,70,2.23,1.85,0.38,2.77,2.81,4,2022-07-01
5,Shohei Ohtani,LAA,15.63,2.13,7.33,1.07,43.1%,5.9%,37.3%,.208,1.03,.347,73.4%,81,46,41,3.20,1.89,1.31,1.64,1.78,4,2022-07-01
6,Spencer Strider,ATL,13.84,3.04,4.56,0.68,39.0%,8.6%,30.5%,.158,0.90,.250,76.6%,65,55,62,2.70,2.14,0.56,2.44,2.41,4,2022-07-01
7,Max Fried,ATL,7.11,1.89,3.75,0.00,19.7%,5.3%,14.5%,.245,1.13,.310,79.5%,52,58,94,2.13,2.24,-0.11,3.76,3.92,4,2022-07-01
8,Jose Quintana,PIT,7.33,2.00,3.67,0.00,19.8%,5.4%,14.4%,.260,1.22,.329,67.6%,91,57,88,3.67,2.26,1.41,3.52,3.72,4,2022-07-01
9,Carlos Rodon,SFG,12.89,2.68,4.82,0.73,35.6%,7.4%,28.2%,.197,1.03,.296,66.1%,98,60,71,3.89,2.28,1.62,2.82,2.63,4,2022-07-01
10,Sandy Alcantara,MIA,10.85,2.38,4.56,0.53,31.3%,6.9%,24.4%,.182,0.91,.256,82.2%,54,61,66,2.12,2.35,-0.23,2.63,2.79,4,2022-07-01
11,Corbin Burnes,MIL,11.78,2.87,4.10,0.57,33.9%,8.3%,25.6%,.173,0.93,.254,80.9%,50,60,70,2.01,2.38,-0.37,2.78,2.84,4,2022-07-01
12,Triston McKenzie,CLE,8.82,2.41,3.67,0.27,26.4%,7.2%,19.2%,.165,0.83,.222,87.0%,34,61,90,1.34,2.43,-1.09,3.54,3.53,4,2022-07-01
13,Cole Irvin,OAK,5.82,0.79,7.33,0.26,17.9%,2.4%,15.4%,.158,0.65,.186,68.0%,50,64,108,1.85,2.47,-0.61,4.26,4.28,4,2022-07-01
14,Brady Singer,KCR,12.33,3.23,3.82,0.59,35.0%,9.2%,25.8%,.215,1.11,.333,84.3%,51,63,66,2.05,2.49,-0.44,2.61,2.82,4,2022-07-01
15,Patrick Sandoval,LAA,11.68,4.01,2.91,0.36,27.6%,9.5%,18.1%,.317,1.78,.451,64.2%,157,61,77,6.20,2.50,3.70,3.06,3.57,4,2022-07-01
16,Alex Cobb,SFG,8.00,2.25,3.56,0.25,21.6%,6.1%,15.5%,.217,1.08,.276,69.9%,70,67,74,2.75,2.53,0.22,2.95,3.19,4,2022-07-01
17,Aaron Nola,PHI,9.00,1.03,8.75,0.77,25.5%,2.9%,22.6%,.233,1.00,.295,68.2%,88,64,82,3.60,2.57,1.03,3.28,3.17,4,2022-07-01
18,Carlos Carrasco,NYM,8.10,2.70,3.00,0.30,23.1%,7.7%,15.4%,.259,1.23,.338,95.5%,24,69,83,0.90,2.65,-1.75,3.30,3.66,4,2022-07-01
19,Tyler Anderson,LAD,6.68,1.67,4.00,0.28,19.7%,4.9%,14.8%,.191,0.87,.233,87.0%,28,67,96,1.11,2.68,-1.57,3.84,3.97,4,2022-07-01
20,Kutter Crawford,BOS,8.36,1.29,6.50,0.64,24.5%,3.8%,20.8%,.198,0.86,.247,76.6%,63,68,92,2.57,2.72,-0.15,3.64,3.53,4,2022-07-01
21,Merrill Kelly,ARI,7.19,1.74,4.13,0.44,21.9%,5.3%,16.6%,.168,0.77,.204,85.6%,32,70,96,1.31,2.73,-1.42,3.82,3.81,4,2022-07-01
22,Framber Valdez,HOU,9.89,3.21,3.08,0.27,26.4%,8.6%,17.9%,.218,1.16,.302,72.1%,83,69,72,3.21,2.73,0.48,2.87,2.97,4,2022-07-01
23,Shane McClanahan,TBR,10.27,2.05,5.00,0.88,30.7%,6.1%,24.6%,.170,0.82,.221,73.4%,80,76,67,2.93,2.88,0.05,2.68,2.82,4,2022-07-01
24,Corey Kluber,TBR,7.88,1.41,5.60,0.56,20.1%,3.6%,16.5%,.282,1.31,.347,59.2%,145,77,97,5.34,2.93,2.42,3.83,3.86,4,2022-07-01
25,Yu Darvish,SDP,11.91,1.59,7.50,1.32,33.1%,4.4%,28.7%,.202,0.94,.266,80.8%,82,76,70,3.18,3.00,0.18,2.78,2.60,4,2022-07-01
26,Braxton Garrett,MIA,9.90,1.80,5.50,0.90,28.9%,5.3%,23.7%,.171,0.80,.217,74.6%,76,80,78,3.00,3.11,-0.11,3.10,2.97,4,2022-07-01
27,Dylan Cease,CHW,10.09,3.28,3.08,0.76,28.2%,9.2%,19.0%,.188,1.04,.247,100.0%,19,77,92,0.76,3.14,-2.38,3.63,3.56,4,2022-07-01
28,Gerrit Cole,NYY,12.08,2.13,5.67,1.42,34.0%,6.0%,28.0%,.227,1.08,.310,70.6%,104,80,62,4.03,3.19,0.83,2.46,2.58,4,2022-07-01
29,Luis Castillo,CIN,9.64,2.25,4.29,0.96,27.3%,6.4%,20.9%,.176,0.89,.217,91.7%,45,77,78,1.93,3.22,-1.29,3.10,3.25,4,2022-07-01
30,Jose Berrios,TOR,10.50,1.75,6.00,1.25,28.2%,4.7%,23.5%,.248,1.17,.319,86.1%,78,80,76,3.00,3.25,-0.25,3.01,3.03,4,2022-07-01
