#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
31,Kevin Gausman,TOR,10.75,1.31,8.20,1.57,28.7%,3.5%,25.2%,.261,1.19,.330,76.7%,109,85,68,4.19,3.43,0.76,2.71,2.87,6,2022-09-01
32,Brady Singer,KCR,7.39,1.42,5.20,0.85,20.5%,3.9%,16.5%,.252,1.11,.300,79.9%,71,89,84,2.84,3.46,-0.62,3.30,3.36,6,2022-09-01
33,Marcus Stroman,CHC,8.27,1.70,4.86,0.97,23.1%,4.8%,18.4%,.212,0.97,.253,89.8%,55,89,84,2.19,3.49,-1.30,3.33,3.33,6,2022-09-01
34,Nick Lodolo,CIN,12.14,2.48,4.90,1.24,34.8%,7.1%,27.7%,.176,0.88,.239,90.3%,57,84,68,2.48,3.53,-1.05,2.72,2.51,6,2022-09-01
35,Kyle Bradish,BAL,7.65,4.06,1.88,0.48,20.4%,10.8%,9.6%,.180,1.12,.219,64.7%,86,91,105,3.35,3.54,-0.19,4.14,4.47,6,2022-09-01
36,Cal Quantrill,CLE,7.23,1.45,5.00,0.96,19.0%,3.8%,15.2%,.287,1.31,.336,81.5%,74,90,101,2.89,3.54,-0.65,3.97,3.96,6,2022-09-01
37,Pablo Lopez,MIA,8.47,2.12,4.00,1.06,23.4%,5.8%,17.5%,.242,1.15,.293,69.8%,108,91,88,4.24,3.55,0.68,3.51,3.58,6,2022-09-01
38,Sandy Alcantara,MIA,8.37,0.84,10.00,1.26,24.0%,2.4%,21.6%,.238,0.98,.281,79.2%,75,91,76,2.93,3.55,-0.62,3.02,3.09,6,2022-09-01
39,Ross Stripling,TOR,6.75,1.08,6.25,1.08,18.9%,3.0%,15.9%,.213,0.93,.235,75.8%,84,90,106,3.24,3.62,-0.38,4.20,4.15,6,2022-09-01
40,Mitch Keller,PIT,7.97,3.60,2.21,0.51,21.5%,9.7%,11.8%,.216,1.17,.272,88.0%,51,92,100,2.06,3.71,-1.66,3.99,4.16,6,2022-09-01
41,Rich Hill,BOS,9.09,3.12,2.92,1.04,23.2%,7.9%,15.2%,.275,1.44,.343,68.3%,101,94,106,4.15,3.72,0.44,4.18,4.01,6,2022-09-01
42,Miles Mikolas,STL,7.68,2.38,3.22,1.06,22.0%,6.8%,15.2%,.203,1.00,.233,84.5%,61,96,93,2.38,3.73,-1.35,3.73,3.87,6,2022-09-01
43,Adrian Sampson,CHC,5.35,2.33,2.30,0.70,15.5%,6.8%,8.8%,.219,1.03,.243,89.7%,41,96,113,1.63,3.79,-2.16,4.50,4.73,6,2022-09-01
44,Jordan Montgomery,STL,9.00,2.45,3.67,1.36,23.4%,6.4%,17.0%,.265,1.33,.319,70.3%,112,100,83,4.36,3.90,0.46,3.32,3.62,6,2022-09-01
45,Chris Bassitt,NYM,7.56,3.24,2.33,1.08,20.7%,8.9%,11.9%,.231,1.20,.270,76.9%,100,109,105,3.78,4.25,-0.47,4.20,4.28,6,2022-09-01
46,Ken Waldichuk,OAK,8.57,2.60,3.30,1.30,22.6%,6.8%,15.8%,.242,1.21,.287,69.2%,134,113,108,4.93,4.30,0.64,4.26,3.95,6,2022-09-01
47,Dean Kremer,BAL,5.36,3.43,1.56,0.86,14.3%,9.1%,5.1%,.247,1.31,.271,77.4%,83,113,124,3.21,4.37,-1.16,4.86,5.10,6,2022-09-01
48,Luis Cessa,CIN,6.57,2.92,2.25,1.22,18.0%,8.0%,10.0%,.212,1.11,.229,74.3%,85,106,113,3.65,4.46,-0.82,4.51,4.58,6,2022-09-01
49,Julio Urias,LAD,7.39,2.55,2.90,1.53,20.7%,7.1%,13.6%,.192,0.99,.200,100.0%,39,113,105,1.53,4.53,-3.00,4.21,4.17,6,2022-09-01
50,Joe Musgrove,SDP,9.95,3.13,3.18,1.71,25.7%,8.1%,17.6%,.244,1.29,.293,95.4%,66,115,98,2.56,4.60,-2.04,3.91,3.71,6,2022-09-01
51,Gerrit Cole,NYY,13.25,2.50,5.30,2.50,37.6%,7.1%,30.5%,.206,1.03,.250,78.3%,117,116,61,4.50,4.61,-0.11,2.44,2.39,6,2022-09-01
52,Ranger Suarez,PHI,6.54,3.13,2.09,1.42,16.8%,8.0%,8.8%,.254,1.36,.276,75.0%,111,117,105,4.55,4.76,-0.21,4.20,4.44,6,2022-09-01
53,Bryse Wilson,PIT,6.48,2.70,2.40,1.35,17.3%,7.2%,10.1%,.232,1.17,.250,75.0%,100,121,118,4.05,4.88,-0.83,4.71,4.47,6,2022-09-01
54,Glenn Otto,TEX,8.25,2.00,4.13,2.00,22.0%,5.3%,16.7%,.243,1.17,.263,79.3%,109,126,99,4.25,5.00,-0.75,3.92,3.84,6,2022-09-01
55,Jon Heasley,KCR,4.05,3.24,1.25,1.08,10.4%,8.3%,2.1%,.262,1.38,.270,63.7%,135,130,147,5.40,5.03,0.37,5.78,5.68,6,2022-09-01
56,Eduardo Rodriguez,DET,6.80,2.41,2.82,1.76,17.6%,6.3%,11.4%,.258,1.29,.274,75.3%,120,131,106,4.61,5.09,-0.48,4.18,4.25,6,2022-09-01
57,Michael Wacha,BOS,7.79,1.39,5.60,2.23,20.4%,3.6%,16.8%,.305,1.39,.337,74.7%,136,131,103,5.57,5.15,0.41,4.04,3.85,6,2022-09-01
58,German Marquez,COL,7.71,3.34,2.31,1.80,20.1%,8.7%,11.4%,.239,1.29,.258,69.9%,111,125,112,5.14,5.28,-0.14,4.46,4.35,6,2022-09-01
59,Robbie Ray,SEA,8.64,2.43,3.56,2.16,21.9%,6.2%,15.8%,.289,1.44,.326,85.1%,117,138,112,4.32,5.30,-0.98,4.40,4.05,6,2022-09-01
60,Tyler Alexander,DET,6.55,2.45,2.67,1.91,17.3%,6.5%,10.8%,.264,1.30,.276,73.1%,128,138,121,4.91,5.33,-0.42,4.77,4.68,6,2022-09-01
