#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
31,Merrill Kelly,ARI,7.20,3.00,2.40,0.60,19.7%,8.2%,11.5%,.232,1.20,.279,69.3%,88,87,98,3.60,3.38,0.22,3.90,4.18,3,6
32,Kyle Wright,ATL,8.22,2.82,2.92,0.70,22.2%,7.6%,14.6%,.257,1.28,.321,76.9%,85,87,90,3.52,3.40,0.12,3.58,3.75,3,6
33,Frankie Montas,OAK,8.13,2.61,3.11,0.87,21.7%,7.0%,14.7%,.250,1.26,.303,66.1%,87,90,94,3.19,3.44,-0.24,3.71,3.94,3,6
34,Luis Castillo,CIN,9.49,3.86,2.46,0.59,23.9%,9.7%,14.2%,.220,1.29,.286,71.4%,76,82,101,3.26,3.44,-0.18,4.05,4.02,3,6
35,Nick Pivetta,BOS,9.00,2.93,3.08,0.90,24.8%,8.1%,16.8%,.199,1.05,.245,88.5%,55,90,103,2.25,3.54,-1.29,4.05,3.86,3,6
36,Alex Wood,SFG,7.71,2.08,3.71,0.89,20.8%,5.6%,15.2%,.259,1.22,.310,60.3%,135,94,90,5.34,3.57,1.77,3.61,3.73,3,6
37,Jameson Taillon,NYY,8.10,1.62,5.00,1.08,20.7%,4.1%,16.6%,.292,1.38,.350,73.1%,119,90,94,4.59,3.59,1.00,3.72,3.84,3,6
38,Jordan Montgomery,NYY,6.47,1.41,4.60,0.84,17.7%,3.8%,13.8%,.230,1.03,.260,72.3%,95,91,93,3.66,3.64,0.01,3.67,3.80,3,6
39,Tony Gonsolin,LAD,7.76,2.17,3.57,0.93,23.1%,6.5%,16.7%,.141,0.72,.155,100.0%,31,92,104,1.24,3.66,-2.42,4.16,3.92,3,6
40,Framber Valdez,HOU,8.44,3.09,2.73,0.84,23.3%,8.5%,14.7%,.207,1.09,.253,76.2%,73,94,82,2.81,3.68,-0.86,3.24,3.23,3,6
41,Corey Kluber,TBR,7.62,0.95,8.00,1.27,21.4%,2.7%,18.8%,.213,0.92,.238,79.4%,69,97,100,2.54,3.68,-1.14,3.93,3.82,3,6
42,Sean Manaea,SDP,9.00,3.72,2.42,0.93,24.6%,10.2%,14.4%,.217,1.21,.270,71.4%,96,93,100,3.72,3.70,0.02,3.99,4.10,3,6
43,Zach Plesac,CLE,7.20,2.10,3.43,0.90,20.0%,5.8%,14.2%,.207,1.00,.238,86.3%,54,94,106,2.10,3.71,-1.61,4.19,4.11,3,6
44,Chris Flexen,SEA,5.73,3.27,1.75,0.55,14.6%,8.3%,6.3%,.273,1.45,.312,73.0%,111,97,137,4.09,3.72,0.37,5.40,5.46,3,6
45,Tyler Anderson,LAD,6.04,2.22,2.71,0.64,16.5%,6.1%,10.4%,.229,1.09,.262,67.3%,96,94,116,3.81,3.75,0.06,4.66,4.54,3,6
46,Michael Wacha,BOS,6.98,2.43,2.88,0.91,18.7%,6.5%,12.2%,.254,1.25,.295,79.9%,74,96,104,3.03,3.79,-0.75,4.12,4.30,3,6
47,Logan Gilbert,SEA,8.07,2.02,4.00,1.26,21.6%,5.4%,16.2%,.264,1.26,.311,81.6%,89,99,97,3.28,3.81,-0.53,3.82,3.92,3,6
48,Robbie Ray,SEA,9.00,3.16,2.85,0.97,25.2%,8.8%,16.3%,.191,1.03,.233,87.6%,59,99,105,2.19,3.82,-1.63,4.13,3.84,3,6
49,Joe Musgrove,SDP,9.00,2.12,4.25,1.32,26.2%,6.2%,20.0%,.182,0.88,.207,83.3%,75,96,72,2.91,3.82,-0.91,2.87,3.08,3,6
50,Hunter Greene,CIN,11.22,2.43,4.63,1.52,31.1%,6.7%,24.4%,.220,1.08,.284,59.3%,127,91,91,5.46,3.82,1.64,3.63,3.28,3,6
51,Tarik Skubal,DET,9.46,3.34,2.83,1.11,24.6%,8.7%,15.9%,.264,1.39,.333,61.9%,152,98,96,5.85,3.82,2.02,3.77,3.83,3,6
52,Jeffrey Springs,TBR,10.80,2.03,5.33,1.69,28.8%,5.4%,23.4%,.257,1.24,.324,92.3%,82,101,73,3.04,3.83,-0.79,2.89,3.04,3,6
53,Chad Kuhl,COL,5.83,3.38,1.73,0.61,15.3%,8.9%,6.5%,.257,1.36,.293,75.3%,73,91,121,3.38,3.83,-0.45,4.86,5.06,3,6
54,Madison Bumgarner,ARI,7.55,2.90,2.60,0.87,17.8%,6.8%,11.0%,.321,1.71,.381,72.8%,99,99,108,4.06,3.85,0.21,4.32,4.36,3,6
55,Gerrit Cole,NYY,11.83,2.43,4.88,1.82,33.9%,7.0%,27.0%,.187,0.94,.226,96.9%,71,98,73,2.73,3.92,-1.19,2.89,2.70,3,6
56,Justin Steele,CHC,6.37,2.73,2.33,0.91,16.7%,7.1%,9.5%,.265,1.35,.301,78.2%,76,100,90,3.03,3.92,-0.89,3.61,3.90,3,6
57,Dakota Hudson,STL,4.84,3.31,1.46,0.51,13.3%,9.1%,4.2%,.248,1.27,.278,64.8%,118,102,111,4.58,3.96,0.62,4.44,4.91,3,6
58,JT Brubaker,PIT,8.39,2.62,3.20,1.05,20.1%,6.3%,13.8%,.290,1.51,.349,73.4%,110,99,105,4.46,3.99,0.47,4.20,4.06,3,6
59,Ranger Suarez,PHI,6.39,3.19,2.00,0.87,17.2%,8.6%,8.6%,.248,1.29,.283,69.8%,92,99,94,3.77,4.02,-0.24,3.76,4.05,3,6
60,Beau Brieske,DET,6.91,1.98,3.50,1.32,19.1%,5.5%,13.6%,.231,1.10,.253,77.9%,94,107,105,3.62,4.14,-0.52,4.13,4.16,3,6
