#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
31,Jose Berrios,TOR,47.6%,94.0, , , , ,36.1%,82.8,16.3%,84.7, , , , , ,4,7
32,James Kaprielian,OAK,53.2%,93.9,23.4%,83.8, , ,15.6%,79.3,7.8%,85.0, , , , , ,4,7
33,Framber Valdez,HOU,51.9%,93.8, , ,12.4%,83.2,32.0%,79.5,3.7%,88.5, , , , , ,4,7
34,Max Fried,ATL,48.8%,93.8,20.0%,88.0, , ,18.6%,74.0,12.7%,86.3, , , , , ,4,7
35,Reid Detmers,LAA,43.8%,93.7,31.2%,86.2, , ,15.5%,73.6,9.4%,84.6, , , , , ,4,7
36,Miles Mikolas,STL,49.5%,93.7,27.1%,88.5, , ,20.1%,76.6,3.3%,82.3, , , , , ,4,7
37,Julio Urias,LAD,52.0%,93.7, , , , ,30.8%,81.3,17.2%,86.5, , , , , ,4,7
38,Pablo Lopez,MIA,46.0%,93.6, , ,7.8%,89.0,11.5%,80.7,34.6%,87.3, , , , , ,4,7
39,Jordan Montgomery,NYY,53.9%,93.6, , ,2.2%,88.6,24.9%,81.2,18.9%,82.7, , , , , ,4,7
40,Alek Manoah,TOR,57.6%,93.5,25.3%,82.0, , , , ,17.1%,86.6, , , , , ,4,7
41,Patrick Sandoval,LAA,38.2%,93.5,24.4%,86.2, , ,8.2%,78.1,29.2%,83.5, , , , , ,4,7
42,Jose Urquidy,HOU,59.2%,93.5,12.0%,80.1,0.2%,91.0,14.1%,77.6,14.5%,85.7, , , , , ,4,7
43,Tyler Wells,BAL,42.4%,93.4,4.6%,79.3,30.5%,88.2,5.1%,76.1,17.4%,86.8, , , , , ,4,7
44,Eric Lauer,MIL,49.9%,93.2,9.1%,87.5,18.9%,89.4,17.7%,78.4,4.4%,86.3, , , , , ,4,7
45,Taijuan Walker,NYM,42.8%,93.2,20.5%,85.1,4.3%,88.3,6.9%,74.4, , ,25.6%,89.2, , , ,4,7
46,Chris Bassitt,NYM,45.4%,93.1,19.0%,78.7,13.3%,88.6,15.9%,71.5,6.4%,82.7, , , , , ,4,7
47,Tony Gonsolin,LAD,40.8%,92.9,17.9%,87.1, , ,12.1%,80.8, , ,29.2%,83.2, , ,0.4%,4,7
48,Aaron Nola,PHI,53.3%,92.8, , ,1.8%,86.6,26.4%,78.7,18.4%,86.8, , , , , ,4,7
49,Triston McKenzie,CLE,54.0%,92.7,25.1%,87.5, , ,20.9%,80.0, , , , , , , ,4,7
50,Martin Perez,TEX,40.2%,92.6,2.2%,83.7,21.1%,89.7,2.2%,78.7,34.2%,84.1, , , , , ,4,7
51,Adrian Sampson,CHC,57.8%,92.5,22.9%,83.5, , , , ,19.3%,85.7, , , , , ,4,7
52,Sonny Gray,MIN,51.8%,92.4,11.7%,81.7,9.2%,83.4,27.3%,79.1, , , , , , , ,4,7
53,Chris Flexen,SEA,37.2%,92.4,15.8%,80.6,33.2%,88.3,1.6%,75.4,12.2%,81.7, , , , ,0.4%,4,7
54,Carlos Carrasco,NYM,45.6%,92.4,23.2%,84.4, , ,4.9%,81.6,26.2%,87.3, , , , , ,4,7
55,Merrill Kelly,ARI,44.4%,92.4,0.9%,85.4,21.5%,91.0,13.3%,82.3,19.8%,88.8, , , , ,0.2%,4,7
56,Zach Thompson,PIT,34.3%,92.4, , ,40.9%,86.4,15.3%,76.6,9.5%,85.4, , , , , ,4,7
57,Lucas Giolito,CHW,42.9%,92.4,28.4%,84.0, , ,0.7%,79.7,28.1%,80.9, , , , , ,4,7
58,Nestor Cortes,NYY,48.7%,92.3,21.6%,77.3,23.9%,87.5, , ,5.7%,83.1, , , , , ,4,7
59,Lance Lynn,CHW,59.6%,92.2, , ,28.2%,88.1,6.2%,83.8,5.9%,85.5, , , , , ,4,7
60,Jake Odorizzi,HOU,50.4%,92.1,12.8%,82.9,18.1%,87.5,5.8%,71.7,12.8%,85.2, , , , , ,4,7
