#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
1,Gerrit Cole,NYY,48.4%,97.8,24.3%,88.5,12.8%,92.4,6.9%,83.1,7.6%,89.7, , , , , ,2,2022-05-01
2,Sandy Alcantara,MIA,47.1%,97.6,23.8%,89.6, , ,0.5%,85.3,28.6%,91.8, , , , ,0.8%,2,2022-05-01
3,Shane McClanahan,TBR,40.9%,97.0,15.1%,88.9, , ,23.7%,81.6, , ,20.3%,87.7, , , ,2,2022-05-01
4,Nathan Eovaldi,BOS,41.6%,96.9,13.0%,87.3,8.7%,92.5,16.8%,79.3, , ,19.9%,88.8, , , ,2,2022-05-01
5,Dylan Cease,CHW,48.1%,96.8,32.0%,86.9, , ,14.9%,80.7,5.0%,76.7, , , , ,0.7%,2,2022-05-01
6,Carlos Rodon,SFG,65.6%,96.4,29.1%,85.7, , ,5.3%,80.2, , , , , , , ,2,2022-05-01
7,Zack Wheeler,PHI,57.1%,96.2,19.1%,90.5,13.6%,92.0,9.6%,81.8, , ,0.6%,89.7, , ,0.8%,2,2022-05-01
8,Luis Severino,NYY,46.7%,96.1,20.7%,85.1,6.2%,89.6, , ,26.3%,88.9, , , , , ,2,2022-05-01
9,Corbin Burnes,MIL,7.4%,96.0,11.8%,88.3,52.6%,94.6,21.6%,82.0,6.6%,90.1, , , , , ,2,2022-05-01
10,Logan Gilbert,SEA,53.1%,96.0,27.1%,87.6, , ,11.2%,80.8,8.5%,86.7, , , , ,0.7%,2,2022-05-01
11,Frankie Montas,OAK,51.0%,95.9,23.3%,87.5, , , , , , ,25.6%,86.5, , ,0.8%,2,2022-05-01
12,Walker Buehler,LAD,34.3%,95.3,10.0%,83.7,28.1%,91.7,20.8%,79.1,6.8%,90.5, , , , , ,2,2022-05-01
13,Charlie Morton,ATL,43.8%,95.2, , ,9.9%,87.8,35.2%,81.2,11.0%,87.3, , , , , ,2,2022-05-01
14,Drew Rasmussen,TBR,34.1%,95.1,30.8%,84.4,33.1%,92.2,2.0%,79.3, , , , , , , ,2,2022-05-01
15,Kyle Wright,ATL,46.3%,95.1,8.9%,89.8, , ,29.9%,84.1,14.9%,88.1, , , , , ,2,2022-05-01
16,Yusei Kikuchi,TOR,60.0%,94.9,25.8%,88.3,4.0%,90.7, , , , ,10.2%,86.9, , , ,2,2022-05-01
17,German Marquez,COL,50.1%,94.8,28.2%,86.7, , ,18.0%,85.9,3.6%,88.2, , , , , ,2,2022-05-01
18,Justin Verlander,HOU,47.5%,94.8,32.2%,87.1, , ,18.1%,78.6,2.2%,85.5, , , , , ,2,2022-05-01
19,Josiah Gray,WSN,45.9%,94.6,30.5%,85.6, , ,21.2%,83.0,2.4%,88.1, , , , , ,2,2022-05-01
20,Alex Cobb,SFG,42.7%,94.5, , , , ,17.5%,83.4,39.7%,89.6, , , , , ,2,2022-05-01
21,Tarik Skubal,DET,44.4%,94.5,34.2%,89.9, , ,6.7%,77.3,14.7%,84.3, , , , , ,2,2022-05-01
22,Kevin Gausman,TOR,50.5%,94.5,8.8%,83.3, , , , ,0.2%,81.0,40.5%,84.9, , , ,2,2022-05-01
23,Framber Valdez,HOU,53.6%,94.4, , ,7.6%,84.1,26.5%,79.4,12.3%,89.7, , , , , ,2,2022-05-01
24,Zac Gallen,ARI,45.4%,94.4,7.9%,88.4,10.0%,90.0,16.6%,81.4,20.1%,87.3, , , , , ,2,2022-05-01
25,Michael Lorenzen,LAA,50.6%,94.1,14.1%,83.1,13.7%,90.8, , ,21.5%,86.4, , , , ,0.2%,2,2022-05-01
26,Max Fried,ATL,43.4%,94.1,21.8%,87.4, , ,21.4%,74.4,13.5%,87.4, , , , ,0.9%,2,2022-05-01
27,Jameson Taillon,NYY,45.4%,93.9,19.1%,86.0,17.6%,90.2,9.4%,81.2,8.5%,87.7, , , , , ,2,2022-05-01
28,Robbie Ray,SEA,54.0%,93.7,45.2%,87.2, , ,0.8%,79.3, , , , , , , ,2,2022-05-01
29,Ian Anderson,ATL,48.9%,93.7, , , , ,23.2%,81.8,28.0%,88.1, , , , , ,2,2022-05-01
30,Tyler Mahle,CIN,50.7%,93.7,14.5%,84.0,8.3%,85.8, , , , ,26.5%,85.4, , , ,2,2022-05-01
