#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
61,Glenn Otto,TEX,44.6%,92.1,23.6%,81.4, , ,19.9%,81.4,11.9%,88.5, , , , , ,4,7
62,Logan Webb,SFG,34.0%,92.0,32.6%,82.9, , , , ,33.4%,86.8, , , , , ,4,7
63,Jordan Lyles,BAL,54.5%,91.7,21.4%,79.8,2.6%,83.3,11.9%,78.8,9.7%,86.2, , , , , ,4,7
64,Madison Bumgarner,ARI,36.1%,91.7,32.1%,87.5, , ,18.5%,79.0,13.3%,86.3, , , , , ,4,7
65,Joe Ryan,MIN,56.2%,91.6,17.6%,82.5, , ,7.9%,75.2,18.3%,84.3, , , , , ,4,7
66,Kris Bubic,KCR,53.1%,91.6, , , , ,21.4%,78.6,25.5%,80.3, , , , , ,4,7
67,Kyle Gibson,PHI,41.1%,91.6,17.8%,83.3,22.8%,89.1,10.3%,79.4,8.0%,84.8, , , , , ,4,7
68,Johnny Cueto,CHW,39.6%,91.5,15.3%,83.8,19.7%,86.8,1.0%,79.4,24.3%,82.8, , , , , ,4,7
69,Braxton Garrett,MIA,51.4%,91.2,31.2%,84.4, , ,7.8%,79.5,9.6%,86.2, , , , , ,4,7
70,Jose Quintana,PIT,49.0%,91.2,5.4%,78.9, , ,24.8%,78.2,20.8%,86.8, , , , , ,4,7
71,Sean Manaea,SDP,64.9%,91.1,14.0%,82.3, , , , ,21.1%,86.1, , , , ,1.0%,4,7
72,Clayton Kershaw,LAD,38.5%,91.1,44.6%,87.5, , ,16.6%,73.3,0.2%,84.0, , , , , ,4,7
73,Austin Gomber,COL,38.7%,90.9,19.5%,84.4, , ,24.7%,76.4,17.1%,81.8, , , , , ,4,7
74,Tyler Anderson,LAD,49.4%,90.8, , ,16.8%,86.1,0.9%,73.8,33.0%,79.0, , , , , ,4,7
75,Kyle Freeland,COL,42.8%,90.3,20.5%,85.8, , ,22.1%,81.6,14.7%,84.5, , , , , ,4,7
76,Cole Irvin,OAK,64.6%,90.2,8.0%,79.4, , ,12.2%,75.3,15.3%,83.1, , , , , ,4,7
77,Dylan Bundy,MIN,47.1%,89.3,23.5%,79.6, , ,7.4%,72.0,22.0%,81.4, , , , , ,4,7
78,Adam Wainwright,STL,44.6%,88.9, , ,23.5%,84.0,28.1%,72.9,3.8%,82.3, , , , , ,4,7
79,Corey Kluber,TBR,34.0%,88.7, , ,31.9%,86.5,26.4%,81.0,7.8%,83.0, , , , , ,4,7
80,Marco Gonzales,SEA,34.3%,88.0, , ,16.7%,85.9,14.7%,76.4,34.3%,78.9, , , , , ,4,7
