#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,55.6%,97.5,23.7%,89.9, , , , ,20.7%,92.0, , , , , ,1,4
2,Gerrit Cole,NYY,49.8%,97.4,16.8%,87.3,13.4%,92.0,9.4%,82.4,10.6%,89.5, , , , , ,1,4
3,Jesus Luzardo,MIA,47.4%,97.1,44.2%,84.2, , , , ,8.5%,87.4, , , , , ,1,4
4,Shane McClanahan,TBR,35.7%,96.8,17.8%,88.4, , ,27.1%,81.7, , ,19.3%,87.7, , , ,1,4
5,Nathan Eovaldi,BOS,39.0%,96.8,14.4%,86.2,7.7%,91.5,23.0%,79.7, , ,15.9%,88.8, , , ,1,4
6,Carlos Rodon,SFG,65.6%,96.3,27.2%,85.6, , ,7.1%,79.5, , , , , , , ,1,4
7,Dylan Cease,CHW,39.6%,96.1,39.3%,85.1, , ,16.3%,78.8,4.7%,79.9, , , , ,0.3%,1,4
8,Corbin Burnes,MIL,7.9%,96.0,6.6%,87.7,60.1%,94.6,17.6%,82.0,7.9%,90.0, , , , , ,1,4
9,Tylor Megill,NYM,58.9%,95.7,17.5%,85.7,0.2%,88.0,2.9%,80.2,20.4%,89.4, , , , , ,1,4
10,Frankie Montas,OAK,46.1%,95.6,23.0%,87.3, , , , , , ,30.9%,86.1, , , ,1,4
11,Logan Gilbert,SEA,58.5%,95.3,23.0%,86.3, , ,9.6%,79.8,9.0%,85.6, , , , , ,1,4
12,Kyle Wright,ATL,45.6%,95.1,5.3%,89.4, , ,33.6%,84.3,15.6%,87.7, , , , , ,1,4
13,Yu Darvish,SDP,37.0%,95.0,16.9%,82.4,28.9%,86.5,7.9%,77.7, , ,9.5%,88.6, , , ,1,4
14,Walker Buehler,LAD,42.7%,94.8,13.2%,83.1,21.5%,91.2,13.8%,79.4,8.8%,90.4, , , , , ,1,4
15,Max Fried,ATL,44.2%,94.8,20.9%,87.0, , ,23.8%,74.9,11.0%,86.0, , , , , ,1,4
16,Justin Verlander,HOU,50.4%,94.7,30.9%,87.0, , ,18.1%,77.8,0.6%,84.0, , , , , ,1,4
17,Joan Adon,WSN,66.3%,94.6, , , , ,25.2%,79.5,8.6%,87.0, , , , , ,1,4
18,German Marquez,COL,49.1%,94.6,29.4%,86.3, , ,17.5%,85.8,4.0%,85.5, , , , , ,1,4
19,Luis Garcia,HOU,56.6%,94.5,6.4%,81.2,20.0%,85.6,10.2%,79.6,6.8%,86.3, , , , , ,1,4
20,Kevin Gausman,TOR,47.2%,94.5,15.9%,83.6, , , , ,2.4%,85.0,34.5%,84.5, , , ,1,4
21,Tarik Skubal,DET,52.2%,94.2,25.5%,88.5, , ,9.6%,76.4,12.8%,83.2, , , , , ,1,4
22,Max Scherzer,NYM,44.6%,94.1,16.1%,85.4,12.7%,89.3,10.8%,76.2,15.8%,84.0, , , , , ,1,4
23,Eric Lauer,MIL,35.7%,94.0,17.3%,87.3,24.3%,91.2,20.8%,78.9,1.9%,88.3, , , , , ,1,4
24,Jose Berrios,TOR,59.1%,93.9, , , , ,31.8%,82.8,9.1%,84.7, , , , , ,1,4
25,Alek Manoah,TOR,60.3%,93.9,29.7%,81.1, , , , ,10.0%,86.6, , , , , ,1,4
26,Chad Kuhl,COL,46.5%,93.3,39.1%,86.3, , ,9.0%,79.2,5.4%,88.9, , , , , ,1,4
27,Brad Keller,KCR,59.8%,93.2,30.6%,87.1, , , , ,9.6%,89.8, , , , , ,1,4
28,Pablo Lopez,MIA,50.3%,93.2, , ,9.7%,89.4,4.3%,81.0,35.7%,87.6, , , , , ,1,4
29,Tyler Mahle,CIN,47.5%,93.1,15.7%,83.6,10.8%,87.0, , , , ,26.0%,85.7, , , ,1,4
30,Carlos Carrasco,NYM,43.0%,92.8,27.2%,85.6, , ,5.3%,80.2,24.5%,87.4, , , , ,2.5%,1,4
