#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
31,Framber Valdez,HOU,53.2%,94.0, , ,12.1%,82.8,25.8%,79.2,8.9%,88.3, , , , , ,5,2022-08-01
32,Kutter Crawford,BOS,36.7%,94.0,5.1%,85.1,32.2%,88.5,18.9%,79.9,7.1%,85.7, , , , , ,5,2022-08-01
33,Jameson Taillon,NYY,51.9%,94.0,17.9%,86.3,7.2%,90.5,15.4%,81.1,7.6%,88.0, , , , , ,5,2022-08-01
34,Julio Urias,LAD,54.0%,93.9, , , , ,27.5%,81.7,18.5%,87.2, , , , , ,5,2022-08-01
35,Alek Manoah,TOR,62.0%,93.9,29.4%,82.1, , , , ,8.6%,87.0, , , , , ,5,2022-08-01
36,Luis Garcia,HOU,41.3%,93.8,8.9%,79.1,29.8%,84.7,10.6%,76.4,9.5%,84.2, , , , , ,5,2022-08-01
37,Nick Pivetta,BOS,45.6%,93.7,26.4%,86.5, , ,26.6%,77.5,1.4%,89.0, , , , , ,5,2022-08-01
38,Robbie Ray,SEA,60.3%,93.7,38.7%,87.8, , ,1.0%,82.4, , , , , , , ,5,2022-08-01
39,Brady Singer,KCR,54.6%,93.7,39.5%,85.5, , , , ,6.0%,86.6, , , , , ,5,2022-08-01
40,Miles Mikolas,STL,51.6%,93.7,24.0%,87.8, , ,22.3%,76.6,2.1%,82.5, , , , , ,5,2022-08-01
41,Austin Voth,BAL,37.6%,93.5,6.8%,84.2,22.7%,89.0,32.2%,77.7,0.7%,87.0, , , , , ,5,2022-08-01
42,Matt Manning,DET,58.1%,93.5,25.0%,84.1, , ,11.0%,79.9,5.9%,86.5, , , , , ,5,2022-08-01
43,Jose Urquidy,HOU,45.8%,93.4,19.3%,79.8, , ,17.9%,79.0,17.0%,86.2, , , , , ,5,2022-08-01
44,Dean Kremer,BAL,40.5%,93.3, , ,31.8%,88.1,14.2%,76.1,13.5%,83.3, , , , , ,5,2022-08-01
45,Noah Syndergaard,PHI,47.4%,93.3,27.1%,86.6, , ,13.8%,76.6,11.7%,88.6, , , , , ,5,2022-08-01
46,Patrick Sandoval,LAA,34.5%,93.3,34.1%,86.5, , ,7.7%,77.9,23.7%,83.1, , , , , ,5,2022-08-01
47,Lance Lynn,CHW,58.0%,93.2, , ,27.5%,89.1,11.2%,81.9,3.3%,86.4, , , , , ,5,2022-08-01
48,Eric Lauer,MIL,43.9%,93.1,18.2%,85.5,20.2%,89.5,14.6%,78.1,3.0%,87.1, , , , , ,5,2022-08-01
49,Adam Oller,OAK,46.1%,93.1,16.3%,82.2,23.5%,89.9, , ,14.1%,86.0, , , , , ,5,2022-08-01
50,Jordan Montgomery,STL,61.7%,93.1, , , , ,19.5%,80.3,18.8%,82.6, , , , , ,5,2022-08-01
51,Mike Clevinger,SDP,60.9%,93.1,16.8%,79.6,14.6%,85.2,2.7%,76.7,4.9%,85.7, , , , , ,5,2022-08-01
52,Drew Smyly,CHC,44.0%,93.0, , ,11.2%,89.6,44.8%,79.7, , , , , , , ,5,2022-08-01
53,Joe Musgrove,SDP,36.1%,92.9,19.5%,83.0,20.6%,90.3,19.5%,81.2,4.3%,86.8, , , , ,0.2%,5,2022-08-01
54,Lucas Giolito,CHW,50.4%,92.9,21.2%,84.5, , ,3.1%,79.4,25.4%,81.4, , , , , ,5,2022-08-01
55,Chris Bassitt,NYM,51.1%,92.9,12.9%,79.6,15.3%,89.3,16.7%,71.7,4.0%,84.9, , , , , ,5,2022-08-01
56,Martin Perez,TEX,43.3%,92.9,2.7%,85.1,28.0%,90.3,1.4%,79.1,24.5%,84.3, , , , , ,5,2022-08-01
57,Domingo German,NYY,41.0%,92.8, , , , ,35.9%,81.2,23.1%,86.0, , , , , ,5,2022-08-01
58,Merrill Kelly,ARI,57.7%,92.7, , ,12.5%,91.3,11.5%,82.1,18.3%,88.9, , , , ,0.2%,5,2022-08-01
59,Aaron Nola,PHI,49.7%,92.6, , ,8.8%,87.2,27.4%,78.6,14.1%,85.9, , , , , ,5,2022-08-01
60,Triston McKenzie,CLE,52.3%,92.4,22.0%,87.0, , ,25.8%,79.3, , , , , , , ,5,2022-08-01
