#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
1,Hunter Greene,CIN,47.4%,98.5,47.6%,87.7, , , , ,5.0%,90.0, , , , , ,3,6
2,Gerrit Cole,NYY,48.2%,98.0,22.9%,88.7,10.2%,92.4,9.6%,83.2,9.1%,90.4, , , , , ,3,6
3,Sandy Alcantara,MIA,46.3%,97.9,25.9%,89.5, , ,0.2%,86.0,27.6%,91.8, , , , , ,3,6
4,Shohei Ohtani,LAA,34.9%,97.4,32.2%,85.0,4.1%,90.8,11.4%,77.1, , ,17.4%,88.9, , , ,3,6
5,Dylan Cease,CHW,41.5%,97.2,42.2%,88.0, , ,14.0%,82.0,2.3%,75.0, , , , , ,3,6
6,Luis Castillo,CIN,49.9%,97.2,25.1%,86.7, , , , ,25.0%,88.8, , , , , ,3,6
7,Graham Ashcraft,CIN,15.5%,97.2,33.7%,86.4,49.2%,97.4, , ,1.7%,90.1, , , , , ,3,6
8,Shane McClanahan,TBR,31.2%,96.8,15.2%,88.9, , ,25.9%,81.6, , ,27.8%,87.7, , ,0.2%,3,6
9,Corbin Burnes,MIL,8.5%,96.6,12.0%,86.9,56.8%,95.2,16.0%,82.3,6.8%,90.6, , , , , ,3,6
10,Frankie Montas,OAK,50.3%,96.4,28.5%,88.9, , , , , , ,21.2%,87.0, , , ,3,6
11,Logan Gilbert,SEA,56.8%,96.4,21.2%,88.0, , ,14.1%,81.0,8.0%,86.2, , , , ,0.7%,3,6
12,Jon Gray,TEX,50.3%,96.2,35.1%,85.3, , ,6.4%,78.0,8.1%,89.1, , , , , ,3,6
13,Luis Severino,NYY,47.0%,96.0,25.3%,85.0,8.1%,90.3, , ,19.6%,88.2, , , , , ,3,6
14,Zack Wheeler,PHI,53.9%,95.7,13.0%,89.6,14.4%,91.2,14.2%,80.9, , ,4.5%,89.7, , , ,3,6
15,German Marquez,COL,53.4%,95.6,19.6%,88.2, , ,23.5%,87.4,3.5%,88.7, , , , , ,3,6
16,Carlos Rodon,SFG,55.4%,95.5,38.1%,85.3, , ,4.7%,80.1,1.8%,85.8, , , , , ,3,6
17,Andre Pallante,STL,64.8%,95.5,18.1%,87.4, , ,17.2%,76.9, , , , , , , ,3,6
18,Yu Darvish,SDP,28.7%,95.2,12.4%,82.7,44.5%,86.8,7.1%,73.7,2.0%,86.7,5.3%,90.8, , , ,3,6
19,Charlie Morton,ATL,45.7%,95.2, , ,10.8%,88.1,35.1%,80.9,8.4%,87.3, , , , , ,3,6
20,Justin Verlander,HOU,54.5%,95.1,28.1%,88.0, , ,15.9%,79.3,1.6%,86.8, , , , , ,3,6
21,Kyle Wright,ATL,44.3%,94.6,4.4%,89.9, , ,31.1%,84.3,20.2%,88.0, , , , , ,3,6
22,Antonio Senzatela,COL,62.7%,94.6,24.3%,86.7, , ,3.7%,77.8,9.2%,87.2, , , , , ,3,6
23,Tarik Skubal,DET,46.9%,94.4,30.6%,90.2, , ,7.1%,76.9,15.4%,83.5, , , , , ,3,6
24,Beau Brieske,DET,53.8%,94.4,26.2%,86.6, , ,1.2%,78.8,18.8%,82.9, , , , , ,3,6
25,Max Fried,ATL,45.3%,94.4,25.0%,87.4, , ,17.9%,74.7,11.8%,86.7, , , , , ,3,6
26,Jameson Taillon,NYY,42.3%,94.3,18.1%,86.3,14.2%,90.8,15.1%,81.1,10.1%,87.5, , , , , ,3,6
27,Adrian Houser,MIL,66.0%,94.3,14.7%,85.0, , ,10.6%,81.6,8.7%,85.4, , , , , ,3,6
28,Ian Anderson,ATL,48.0%,94.2, , , , ,16.0%,82.1,36.0%,88.4, , , , , ,3,6
29,Framber Valdez,HOU,57.3%,94.1, , ,7.1%,83.7,27.6%,78.9,8.1%,88.1, , , , , ,3,6
30,Luis Garcia,HOU,40.7%,94.0,9.5%,80.2,32.3%,85.9,6.4%,77.2,11.2%,84.9, , , , , ,3,6
