#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
61,Joe Ryan,MIN,66.8%,92.4,16.9%,84.0, , ,5.7%,74.9,10.7%,85.0, , , , , ,5,2022-08-01
62,Freddy Peralta,MIL,54.5%,92.4,12.6%,79.8, , ,21.5%,74.9,11.4%,85.7, , , , , ,5,2022-08-01
63,Marcus Stroman,CHC,51.5%,92.4,29.2%,85.1,5.3%,90.9,2.4%,82.6,11.6%,87.6, , , , , ,5,2022-08-01
64,Kris Bubic,KCR,51.8%,92.3, , , , ,22.4%,79.9,25.9%,80.8, , , , , ,5,2022-08-01
65,Alex Wood,SFG,44.8%,92.2,38.5%,83.9, , , , ,16.8%,85.2, , , , , ,5,2022-08-01
66,Shane Bieber,CLE,31.7%,92.0,27.9%,85.7,20.6%,87.1,17.9%,82.4,1.9%,87.7, , , , , ,5,2022-08-01
67,Kyle Gibson,PHI,35.2%,92.0,18.6%,83.4,24.1%,89.8,9.5%,78.8,12.6%,84.8, , , , , ,5,2022-08-01
68,Jose Quintana,STL,62.5%,91.7,1.2%,78.7, , ,25.9%,78.6,10.4%,86.3, , , , , ,5,2022-08-01
69,Jeffrey Springs,TBR,42.4%,91.6,25.2%,85.6, , , , ,32.4%,81.0, , , , , ,5,2022-08-01
70,Tommy Henry,ARI,56.6%,91.6,18.8%,85.9, , ,14.8%,80.5,9.8%,84.7, , , , ,0.2%,5,2022-08-01
71,Spenser Watkins,BAL,38.1%,91.5,18.6%,78.1,31.9%,87.4,9.0%,76.8,2.4%,86.0, , , , , ,5,2022-08-01
72,Jordan Lyles,BAL,50.5%,91.3,22.2%,80.3,6.7%,84.2,15.3%,79.3,5.2%,85.3, , , , , ,5,2022-08-01
73,Johnny Cueto,CHW,47.9%,91.3,13.3%,82.9,17.4%,87.1,0.8%,72.5,20.6%,82.7, , , , , ,5,2022-08-01
74,Logan Webb,SFG,36.7%,91.2,29.5%,82.0, , , , ,33.7%,86.0, , , , , ,5,2022-08-01
75,Cole Irvin,OAK,65.0%,90.8,11.5%,79.2, , ,11.1%,75.7,12.4%,83.6, , , , , ,5,2022-08-01
76,Mike Minor,CIN,38.8%,90.5,22.2%,86.0, , ,14.4%,79.5,24.6%,84.3, , , , ,0.7%,5,2022-08-01
77,Tyler Anderson,LAD,44.9%,90.4, , ,24.5%,85.5,0.2%,72.0,30.4%,78.6, , , , , ,5,2022-08-01
78,Tyler Alexander,DET,40.3%,90.0,12.9%,77.2,28.8%,85.6, , ,18.0%,82.3, , , , , ,5,2022-08-01
79,Zach Davies,ARI,62.7%,89.9,1.9%,76.4,3.0%,88.2,4.1%,74.3,28.4%,80.4, , , , , ,5,2022-08-01
80,Anibal Sanchez,WSN,39.4%,89.5,5.5%,82.5,26.4%,87.6,5.2%,75.4,23.5%,81.3, , , , ,0.7%,5,2022-08-01
81,Marco Gonzales,SEA,34.2%,89.3, , ,22.5%,86.1,17.5%,77.0,25.8%,79.4, , , , , ,5,2022-08-01
82,Corey Kluber,TBR,21.2%,89.0, , ,33.2%,86.4,27.8%,80.5,17.9%,82.6, , , , , ,5,2022-08-01
83,Adam Wainwright,STL,31.7%,88.6, , ,27.5%,84.0,39.0%,73.0,1.8%,81.5, , , , ,0.3%,5,2022-08-01
