#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
31,Taijuan Walker,NYM,34.8%,94.0,23.2%,85.0,3.1%,88.9,6.5%,74.8, , ,32.4%,89.0, , , ,3,6
32,Tyler Wells,BAL,42.3%,94.0,3.3%,78.9,26.4%,88.2,10.3%,76.5,17.7%,86.6, , , , , ,3,6
33,Zac Gallen,ARI,48.0%,93.9,4.2%,89.4,6.3%,90.6,22.6%,80.6,18.9%,87.0, , , , , ,3,6
34,Nick Pivetta,BOS,54.6%,93.9,17.8%,84.7, , ,26.0%,77.9,1.6%,88.0, , , , , ,3,6
35,Jose Urquidy,HOU,55.1%,93.8,13.2%,80.0,4.9%,88.8,12.8%,77.8,14.0%,86.0, , , , , ,3,6
36,Keegan Thompson,CHC,50.7%,93.8,4.7%,84.3,25.0%,90.2,14.7%,81.5,4.9%,85.6, , , , , ,3,6
37,Jose Berrios,TOR,55.8%,93.8, , , , ,32.7%,83.0,11.5%,85.1, , , , , ,3,6
38,Dean Kremer,BAL,43.7%,93.8, , ,28.6%,87.6,10.5%,76.7,17.2%,84.2, , , , , ,3,6
39,Alek Manoah,TOR,65.5%,93.7,26.7%,81.6, , , , ,7.8%,87.1, , , , , ,3,6
40,Brady Singer,KCR,56.6%,93.7,34.8%,85.2, , , , ,8.6%,87.0, , , , , ,3,6
41,Tyler Mahle,CIN,52.2%,93.6,11.8%,84.2,12.3%,85.8, , , , ,23.7%,85.6, , , ,3,6
42,Chris Bassitt,NYM,47.9%,93.6,22.5%,78.7,14.2%,89.7,9.9%,72.4,5.5%,85.5, , , , , ,3,6
43,Cal Quantrill,CLE,47.5%,93.4,39.7%,89.2, , ,1.7%,82.0,11.1%,85.5, , , , , ,3,6
44,Carlos Carrasco,NYM,47.2%,93.4,25.3%,86.0, , ,6.2%,82.2,21.3%,88.2, , , , , ,3,6
45,Michael Wacha,BOS,49.8%,93.4, , ,14.2%,89.3,5.5%,74.7,30.5%,85.0, , , , , ,3,6
46,Robbie Ray,SEA,59.2%,93.2,35.2%,87.0, , ,4.7%,80.5,0.9%,86.0, , , , , ,3,6
47,Lucas Giolito,CHW,47.1%,93.2,27.5%,84.7, , ,1.3%,79.7,24.1%,81.7, , , , , ,3,6
48,Miles Mikolas,STL,49.5%,93.1,25.0%,87.4, , ,20.5%,75.5,5.0%,80.8, , , , , ,3,6
49,Eric Lauer,MIL,42.8%,93.1,25.5%,87.7,12.5%,90.7,16.9%,78.1,2.3%,87.5, , , , , ,3,6
50,JT Brubaker,PIT,45.7%,93.1,33.1%,87.1, , ,16.8%,80.2,4.4%,87.1, , , , , ,3,6
51,Tony Gonsolin,LAD,41.1%,93.1,24.3%,87.3, , ,8.0%,80.6, , ,26.6%,83.4, , , ,3,6
52,Martin Perez,TEX,43.3%,93.0, , ,27.0%,89.9,2.8%,78.4,26.8%,85.0, , , , , ,3,6
53,Merrill Kelly,ARI,49.0%,93.0, , ,13.4%,91.3,14.4%,82.3,23.2%,88.8, , , , , ,3,6
54,Julio Urias,LAD,50.8%,92.9, , , , ,32.4%,80.5,16.8%,86.2, , , , , ,3,6
55,Patrick Corbin,WSN,58.6%,92.9,35.2%,82.4, , , , ,6.1%,81.9, , , , , ,3,6
56,Jordan Montgomery,NYY,42.9%,92.9, , ,13.8%,87.8,18.8%,79.8,24.5%,82.4, , , , , ,3,6
57,Joe Musgrove,SDP,31.5%,92.9,24.1%,83.4,16.5%,90.0,21.9%,81.8,6.0%,86.2, , , , , ,3,6
58,Rony Garcia,DET,63.0%,92.8,29.4%,80.2, , , , ,7.6%,87.4, , , , , ,3,6
59,Ranger Suarez,PHI,64.4%,92.8,3.6%,81.8,4.2%,88.8,9.0%,77.4,18.8%,85.5, , , , , ,3,6
60,Jason Alexander,MIL,60.9%,92.8,23.1%,80.5, , , , ,16.0%,81.8, , , , , ,3,6
