#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,Year,YearDate
446,Luis Garcia,HOU,44.7%,93.3,12.5%,80.0,22.5%,86.2,9.4%,76.0,11.0%,83.5, , , , ,0.2%,2021.0,2021-01-01
447,Joe Musgrove,SDP,26.9%,93.3,27.9%,84.1,16.8%,90.5,23.6%,82.1,4.8%,87.1, , , , ,0.3%,2021.0,2021-01-01
448,Hunter Wood,TEX,30.3%,93.3, , ,28.8%,87.3,33.3%,76.7,7.6%,85.8, , , , , ,2021.0,2021-01-01
449,Patrick Sandoval,LAA,43.1%,93.3,17.1%,85.5, , ,10.2%,78.5,29.6%,84.7, , , , , ,2021.0,2021-01-01
450,Vladimir Gutierrez,CIN,47.4%,93.3,22.7%,83.3, , ,17.6%,77.7,12.3%,81.5, , , , , ,2021.0,2021-01-01
451,Carlos Carrasco,NYM,50.5%,93.3,20.2%,87.7, , ,4.8%,82.3,24.4%,87.4, , , , , ,2021.0,2021-01-01
452,Cole Sulser,BAL,51.1%,93.3,13.5%,86.4, , ,2.2%,77.4,33.2%,84.0, , , , , ,2021.0,2021-01-01
453,Andrew Wantz,LAA,45.5%,93.3,17.4%,83.3,29.4%,88.3, , ,7.7%,87.0, , , , ,0.8%,2021.0,2021-01-01
454,Carson Fulmer,CIN,40.4%,93.2, , ,23.9%,86.7,20.8%,82.2,15.0%,86.9, , , , , ,2021.0,2021-01-01
455,Richard Lovelady,KCR,50.2%,93.2,49.8%,86.6, , , , , , , , , , ,1.3%,2021.0,2021-01-01
456,Matt Harvey,BAL,54.9%,93.2,19.3%,87.0, , ,14.0%,80.0,11.8%,85.4, , , , ,0.2%,2021.0,2021-01-01
457,Yefry Ramirez,LAD,39.1%,93.2,26.1%,87.5, , ,8.7%,79.5,26.1%,86.5, , , , , ,2021.0,2021-01-01
458,Cody Ponce,PIT,42.3%,93.2,14.3%,84.0,18.5%,89.4,16.6%,79.5,8.3%,86.2, , , , ,0.6%,2021.0,2021-01-01
459,Ranger Suarez,PHI,68.2%,93.2,7.8%,84.3, , , , ,24.0%,85.0, , , , ,0.7%,2021.0,2021-01-01
460,Jarlin Garcia,SFG,50.1%,93.2,25.4%,82.6, , , , ,24.5%,85.2, , , , ,0.9%,2021.0,2021-01-01
461,Kyle Wright,ATL,51.1%,93.2,27.1%,87.0, , ,14.3%,80.6,7.5%,86.8, , , , , ,2021.0,2021-01-01
462,Jharel Cotton,TEX,46.2%,93.2,13.9%,81.8,1.3%,86.6,8.3%,76.8,30.3%,80.1, , , , , ,2021.0,2021-01-01
463,Beau Burrows,- - -,57.7%,93.2,29.6%,84.9, , ,1.9%,75.4,10.9%,85.2, , , , , ,2021.0,2021-01-01
464,JT Brubaker,PIT,49.0%,93.2,34.2%,87.2, , ,10.4%,79.5,6.4%,87.3, , , , ,0.1%,2021.0,2021-01-01
465,Matt Strahm,SDP,56.6%,93.2,22.1%,88.2, , ,13.2%,83.1,8.1%,86.3, , , , ,2.9%,2021.0,2021-01-01
466,J.P. Feyereisen,- - -,51.6%,93.1,28.6%,86.4, , , , ,19.9%,87.7, , , , , ,2021.0,2021-01-01
467,Evan Marshall,CHW,36.6%,93.1, , , , ,28.3%,82.5,35.2%,88.4, , , , ,0.9%,2021.0,2021-01-01
468,Kyle Barraclough,MIN,52.2%,93.1,44.8%,77.2, , , , ,3.0%,87.3, , , , , ,2021.0,2021-01-01
469,Sean Doolittle,- - -,81.1%,93.1,14.2%,81.5, , ,0.2%,74.5,4.5%,80.5, , , , ,1.4%,2021.0,2021-01-01
470,Blake Taylor,HOU,72.5%,93.1,27.5%,82.7, , , , , , , , , , ,0.8%,2021.0,2021-01-01
471,Richard Rodriguez,- - -,86.1%,93.1,13.9%,81.4, , , , , , , , , , ,0.4%,2021.0,2021-01-01
472,Vince Velasquez,- - -,55.0%,93.1,13.7%,85.0, , ,16.7%,82.1,14.6%,88.9, , , , ,0.5%,2021.0,2021-01-01
473,Justin Steele,CHC,65.9%,93.1,16.2%,83.1, , ,15.9%,79.3,2.1%,87.6, , , , ,0.5%,2021.0,2021-01-01
474,Pedro Avila,SDP,51.2%,93.1,9.5%,81.3, , ,10.7%,74.7,28.6%,82.7, , , , , ,2021.0,2021-01-01
475,Anthony Swarzak,- - -,44.2%,93.1,55.8%,86.0, , , , , , , , , , , ,2021.0,2021-01-01
476,Daniel Ponce de Leon,STL,71.8%,93.1, , ,12.1%,89.4,4.1%,77.0,11.9%,86.1, , , , ,0.6%,2021.0,2021-01-01
477,Casey Sadler,SEA,27.7%,93.1,41.0%,88.2, , ,31.3%,79.6, , , , , , , ,2021.0,2021-01-01
478,Sean Guenther,MIA,56.9%,93.1,34.2%,82.5, , , , ,8.9%,87.0, , , , ,1.1%,2021.0,2021-01-01
479,Jose De Leon,CIN,62.8%,93.1,14.7%,79.1, , , , ,22.5%,84.3, , , , , ,2021.0,2021-01-01
480,Angel Rondon,STL,48.3%,93.1,24.1%,81.1, , ,3.4%,75.0,24.1%,83.0, , , , , ,2021.0,2021-01-01
481,Miles Mikolas,STL,49.9%,93.1,25.7%,87.5, , ,17.8%,76.5,6.6%,87.3, , , , , ,2021.0,2021-01-01
482,Francisco Perez,CLE,54.9%,93.1,32.8%,83.0, , , , ,12.3%,86.4, , , , , ,2021.0,2021-01-01
483,Jaime Barria,LAA,54.7%,93.1,36.9%,85.9, , , , ,8.4%,85.9, , , , , ,2021.0,2021-01-01
484,Derek Holland,DET,56.6%,93.0,27.4%,82.1, , ,6.6%,78.8,9.3%,85.1, , , , ,0.5%,2021.0,2021-01-01
485,Jesse Biddle,ATL,53.2%,93.0,16.7%,83.1, , ,30.1%,78.1, , , , , , , ,2021.0,2021-01-01
486,Brad Hand,- - -,57.4%,93.0,42.6%,80.2, , , , , , , , , , ,1.1%,2021.0,2021-01-01
487,Chris Stratton,PIT,48.3%,93.0,13.8%,85.8, , ,25.3%,80.2,12.7%,86.7, , , , ,0.6%,2021.0,2021-01-01
488,Martin Perez,BOS,38.7%,93.0, , ,28.8%,89.6,8.4%,78.8,24.1%,84.8, , , , ,0.4%,2021.0,2021-01-01
489,Bryse Wilson,- - -,63.6%,93.0,5.0%,86.0, , ,11.5%,77.0,19.9%,86.9, , , , ,0.9%,2021.0,2021-01-01
490,Nick Anderson,TBR,66.7%,93.0, , , , ,32.4%,81.1,1.0%,88.0, , , , , ,2021.0,2021-01-01
491,Shea Spitzbarth,PIT,1.2%,93.0, , ,46.3%,91.9,13.4%,76.3, , ,39.0%,84.7, , , ,2021.0,2021-01-01
492,Tucker Davidson,ATL,49.8%,93.0,40.3%,86.9, , ,9.2%,78.8,0.7%,85.5, , , , , ,2021.0,2021-01-01
493,Clarke Schmidt,NYY,45.5%,93.0, , , , ,28.7%,82.1,25.9%,88.0, , , , , ,2021.0,2021-01-01
494,James Kaprielian,OAK,58.8%,93.0,17.4%,85.3, , ,8.2%,78.1,15.6%,83.8, , , , , ,2021.0,2021-01-01
495,Chris Bassitt,OAK,54.7%,93.0,8.0%,75.4,20.6%,88.3,6.5%,71.8,10.2%,85.4, , , , ,0.1%,2021.0,2021-01-01
496,Kyle Nelson,CLE,17.6%,93.0,40.9%,82.5,41.5%,89.0, , , , , , , , , ,2021.0,2021-01-01
497,Chase De Jong,PIT,48.9%,93.0,22.7%,85.1, , ,23.6%,77.9,4.8%,86.3, , , , ,1.0%,2021.0,2021-01-01
498,Stephen Gonsalves,BOS,53.7%,93.0,18.3%,83.5, , ,28.0%,72.4, , , , , , , ,2021.0,2021-01-01
499,John Brebbia,SFG,49.1%,92.9,49.1%,81.4, , , , ,1.8%,88.0, , , , ,2.4%,2021.0,2021-01-01
500,Cam Bedrosian,- - -,50.2%,92.9,24.6%,81.2, , , , , , ,25.2%,84.4, , , ,2021.0,2021-01-01
501,Riley Smith,ARI,57.8%,92.9,14.4%,83.7, , ,10.9%,79.3,16.9%,86.5, , , , ,0.8%,2021.0,2021-01-01
502,Justin Miller,- - -,72.2%,92.9,27.8%,83.0, , , , , , , , , , , ,2021.0,2021-01-01
503,David Price,LAD,52.9%,92.9, , ,20.3%,89.0,2.0%,76.8,24.9%,85.5, , , , ,0.7%,2021.0,2021-01-01
504,Isaac Mattson,BAL,65.9%,92.9, , , , ,26.4%,82.7,7.7%,86.5, , , , , ,2021.0,2021-01-01
505,Logan Webb,SFG,46.6%,92.9,27.7%,82.5,2.5%,92.1, , ,23.1%,86.1, , , , , ,2021.0,2021-01-01
506,Vinny Nittoli,SEA,76.9%,92.9,19.2%,84.6, , ,3.8%,82.0, , , , , , , ,2021.0,2021-01-01
507,Domingo Acevedo,OAK,50.6%,92.9,28.7%,85.3, , , , ,20.7%,86.0, , , , , ,2021.0,2021-01-01
508,Reid Detmers,LAA,45.1%,92.9,24.0%,85.6, , ,26.1%,73.5,4.7%,83.5, , , , ,1.1%,2021.0,2021-01-01
509,Edwin Uceta,LAD,44.6%,92.9, , , , ,14.4%,80.1,41.0%,87.6, , , , ,1.1%,2021.0,2021-01-01
510,Hans Crouse,PHI,46.6%,92.9,37.4%,85.2, , , , ,16.0%,84.8, , , , , ,2021.0,2021-01-01
511,Jake Latz,TEX,48.8%,92.9,14.3%,80.2, , ,13.1%,74.3,23.8%,83.3, , , , , ,2021.0,2021-01-01
512,Paul Fry,BAL,54.8%,92.9,45.0%,85.2, , , , ,0.2%,90.5, , , , , ,2021.0,2021-01-01
513,Zach Plesac,CLE,41.9%,92.9,22.9%,86.8, , ,10.9%,80.3,24.2%,85.8, , , , ,0.0%,2021.0,2021-01-01
514,Joakim Soria,- - -,60.0%,92.9,21.3%,77.7, , ,4.3%,70.3, , ,14.4%,87.6, , , ,2021.0,2021-01-01
515,Will Smith,ATL,47.3%,92.8,41.1%,82.2, , ,11.6%,77.7, , , , , , ,0.7%,2021.0,2021-01-01
516,John Means,BAL,47.9%,92.8,8.4%,86.4, , ,16.4%,78.1,27.3%,83.5, , , , , ,2021.0,2021-01-01
517,Caleb Baragar,SFG,81.0%,92.8,18.4%,82.8, , ,0.6%,78.5, , , , , , ,2.2%,2021.0,2021-01-01
518,Greg Holland,KCR,40.3%,92.8,48.0%,85.7, , ,11.5%,77.5,0.1%,85.0, , , , ,0.8%,2021.0,2021-01-01
519,Cody Reed,TBR,62.2%,92.8,35.8%,87.4,1.4%,90.0, , ,0.7%,90.0, , , , , ,2021.0,2021-01-01
520,Joe Biagini,CHC,43.9%,92.8,29.3%,83.3, , ,9.8%,71.8,17.1%,84.9, , , , , ,2021.0,2021-01-01
521,Jordan Lyles,TEX,48.5%,92.8,26.1%,83.7, , ,18.2%,80.3,7.2%,86.4, , , , , ,2021.0,2021-01-01
522,Daniel Camarena,SDP,52.3%,92.8,29.9%,84.9, , ,10.9%,77.7,6.9%,84.9, , , , ,2.3%,2021.0,2021-01-01
523,Mac Sceroler,BAL,56.1%,92.8,11.1%,83.4, , ,12.1%,78.3, , ,20.7%,82.0, , , ,2021.0,2021-01-01
524,R.J. Alaniz,CIN,52.1%,92.8,23.9%,83.8, , , , ,23.9%,86.4, , , , , ,2021.0,2021-01-01
525,Colin Rea,MIL,46.2%,92.8, , ,28.6%,86.1,14.3%,79.0,11.0%,84.5, , , , , ,2021.0,2021-01-01
526,Junior Guerra,LAA,56.0%,92.8,11.5%,84.3, , ,16.4%,80.9, , ,16.1%,84.1, , ,0.3%,2021.0,2021-01-01
527,Touki Toussaint,ATL,51.6%,92.8, , , , ,27.2%,76.2, , ,21.2%,87.3, , ,0.5%,2021.0,2021-01-01
528,Jhoulys Chacin,COL,41.6%,92.8,35.1%,81.3,19.6%,88.3, , ,3.6%,84.7, , , , , ,2021.0,2021-01-01
529,Alex Cobb,LAA,46.6%,92.8,1.3%,86.1, , ,15.1%,82.8,37.0%,87.5, , , , ,0.1%,2021.0,2021-01-01
530,Chris Flexen,SEA,40.0%,92.8, , ,29.4%,89.1,15.3%,77.3,15.3%,82.8, , , , , ,2021.0,2021-01-01
531,Trevor Richards,- - -,56.8%,92.8,13.8%,84.2, , , , ,29.4%,84.6, , , , ,0.2%,2021.0,2021-01-01
532,Raynel Espinal,BOS,75.0%,92.8, , , , , , , , ,25.0%,86.6, , , ,2021.0,2021-01-01
533,David Hale,PHI,55.5%,92.8,20.2%,82.8, , , , ,24.3%,82.7, , , , ,0.9%,2021.0,2021-01-01
534,Shane Bieber,CLE,35.5%,92.8,25.8%,85.8,2.8%,88.5,31.2%,83.2,4.7%,87.5, , , , , ,2021.0,2021-01-01
535,Brandon Brennan,BOS,61.9%,92.8,2.4%,84.0, , , , ,35.7%,81.9, , , , , ,2021.0,2021-01-01
536,Adonis Medina,PHI,41.6%,92.8,10.9%,81.3,23.4%,85.7, , ,24.1%,86.5, , , , , ,2021.0,2021-01-01
537,Daniel Norris,- - -,47.5%,92.8,22.7%,84.8, , , , ,29.9%,87.0, , , , ,0.3%,2021.0,2021-01-01
538,JC Mejia,CLE,58.2%,92.7,23.7%,82.8, , ,6.5%,80.4,11.5%,87.6, , , , , ,2021.0,2021-01-01
539,Phillips Valdez,BOS,40.4%,92.7,10.5%,83.0, , , , ,49.1%,85.3, , , , ,0.6%,2021.0,2021-01-01
540,Aaron Nola,PHI,51.7%,92.7, , ,1.6%,86.8,27.0%,78.5,19.8%,85.2, , , , ,0.1%,2021.0,2021-01-01
541,Ashton Goudeau,- - -,45.3%,92.7, , , , ,32.7%,76.7,22.0%,85.2, , , , ,2.3%,2021.0,2021-01-01
542,Shane Greene,- - -,34.6%,92.7,27.8%,81.1,29.7%,87.4, , ,7.9%,86.1, , , , , ,2021.0,2021-01-01
543,Logan Allen,CLE,43.4%,92.7,31.7%,81.7, , ,8.8%,76.8,16.1%,83.4, , , , , ,2021.0,2021-01-01
544,Carlos Martinez,STL,42.2%,92.7,15.2%,83.0,20.9%,90.6,8.4%,81.2,13.3%,84.9, , , , ,0.6%,2021.0,2021-01-01
545,Paul Campbell,MIA,46.6%,92.7,28.6%,87.6, , ,18.8%,79.0,6.0%,86.1, , , , , ,2021.0,2021-01-01
546,Jose Suarez,LAA,47.7%,92.7, , , , ,23.9%,78.4,28.4%,82.3, , , , ,0.2%,2021.0,2021-01-01
547,Glenn Otto,TEX,48.7%,92.7,35.3%,80.8, , ,9.8%,80.6,6.3%,87.2, , , , , ,2021.0,2021-01-01
548,Griffin Jax,MIN,45.9%,92.7,31.1%,83.3, , ,9.0%,79.9,14.0%,85.6, , , , ,0.3%,2021.0,2021-01-01
549,Sammy Long,SFG,43.2%,92.7, , ,2.2%,86.8,34.2%,74.9,20.5%,80.4, , , , , ,2021.0,2021-01-01
550,Ljay Newsome,SEA,58.0%,92.7, , , , ,18.5%,77.8,23.6%,86.2, , , , ,1.4%,2021.0,2021-01-01
551,Cory Abbott,CHC,59.1%,92.7, , ,17.9%,87.8,16.8%,84.2,6.3%,86.8, , , , , ,2021.0,2021-01-01
552,Austin Brice,BOS,58.8%,92.7,38.7%,81.9, , , , ,2.6%,88.6, , , , , ,2021.0,2021-01-01
553,Wyatt Mills,SEA,70.9%,92.7,29.1%,82.6, , , , , , , , , , , ,2021.0,2021-01-01
554,Dean Kremer,BAL,55.7%,92.6, , ,21.0%,87.2,15.8%,75.6,7.5%,83.0, , , , , ,2021.0,2021-01-01
555,Brad Wieck,CHC,84.6%,92.6,3.4%,85.1, , ,11.9%,73.1, , , , , , , ,2021.0,2021-01-01
556,Zach Eflin,PHI,54.2%,92.6,13.3%,86.8,11.2%,88.6,10.8%,77.7,10.5%,85.3, , , , ,0.5%,2021.0,2021-01-01
557,Brady Lail,SEA,28.6%,92.6,28.6%,88.9, , ,25.0%,82.4,17.9%,88.0, , , , , ,2021.0,2021-01-01
558,Zack Britton,NYY,84.0%,92.6,16.0%,80.3, , , , , , , , , , , ,2021.0,2021-01-01
559,Adam Morgan,CHC,34.8%,92.6,47.7%,82.6, , ,10.0%,78.8,7.5%,85.2, , , , , ,2021.0,2021-01-01
560,Kyle Crick,PIT,38.7%,92.6,60.8%,78.9, , , , ,0.5%,86.5, , , , , ,2021.0,2021-01-01
561,Taylor Widener,ARI,66.6%,92.6,17.4%,84.0, , , , ,16.0%,85.6, , , , ,1.0%,2021.0,2021-01-01
562,Wade Davis,KCR,46.8%,92.6, , ,32.0%,88.7,19.6%,82.0,1.6%,84.6, , , , , ,2021.0,2021-01-01
563,David Peterson,NYM,58.5%,92.6,24.5%,82.1, , ,0.5%,73.3,16.5%,84.0, , , , , ,2021.0,2021-01-01
564,Eduardo Rodriguez,BOS,51.6%,92.6,8.2%,82.1,17.3%,88.4, , ,22.9%,85.4, , , , , ,2021.0,2021-01-01
565,Eric Lauer,MIL,44.9%,92.6,10.7%,87.3,18.6%,90.1,14.5%,78.9,11.3%,86.7, , , , ,0.2%,2021.0,2021-01-01
566,Fernando Abad,BAL,52.5%,92.6,5.7%,82.4, , ,25.8%,76.4,16.1%,74.9, , , , ,1.3%,2021.0,2021-01-01
567,Brandon Waddell,- - -,51.6%,92.6,41.8%,85.9, , , , ,6.6%,86.0, , , , , ,2021.0,2021-01-01
568,Alex McRae,CHW,57.1%,92.6,16.3%,84.4, , , , ,26.5%,87.2, , , , , ,2021.0,2021-01-01
569,Jose Urquidy,HOU,55.1%,92.6,19.5%,79.3, , ,7.4%,77.3,18.1%,84.4, , , , , ,2021.0,2021-01-01
570,Jovani Moran,MIN,52.5%,92.6,0.6%,79.0, , , , ,46.9%,82.1, , , , , ,2021.0,2021-01-01
571,Drew Anderson,TEX,49.4%,92.6,20.5%,83.9, , ,15.9%,77.1,14.2%,86.7, , , , , ,2021.0,2021-01-01
572,Janson Junk,LAA,51.8%,92.6,23.1%,80.6, , ,21.9%,79.3,3.2%,87.9, , , , , ,2021.0,2021-01-01
573,Jordan Montgomery,NYY,38.2%,92.5, , ,13.7%,87.3,23.7%,80.0,24.4%,82.6, , , , , ,2021.0,2021-01-01
574,Tyler Duffey,MIN,48.7%,92.5, , , , ,51.3%,82.3, , , , , , ,0.1%,2021.0,2021-01-01
575,Framber Valdez,HOU,57.1%,92.5, , , , ,30.8%,78.0,12.1%,87.6, , , , ,0.2%,2021.0,2021-01-01
576,Nick Wittgren,CLE,56.7%,92.5,10.7%,83.7,9.6%,88.3, , ,23.0%,85.8, , , , ,1.5%,2021.0,2021-01-01
577,Drew Hutchison,DET,52.8%,92.5,35.7%,85.2, , , , ,11.5%,85.7, , , , , ,2021.0,2021-01-01
578,Ben Bowden,COL,70.9%,92.5,10.5%,81.1, , , , ,18.5%,82.4, , , , ,1.2%,2021.0,2021-01-01
579,Scott Kazmir,SFG,54.1%,92.5,1.4%,82.0,13.5%,87.8, , ,30.9%,80.5, , , , ,1.0%,2021.0,2021-01-01
580,Patrick Corbin,WSN,56.4%,92.5,38.2%,80.8,0.3%,86.0,0.9%,64.7,4.2%,81.6, , , , ,0.2%,2021.0,2021-01-01
581,Kyle Gibson,- - -,46.5%,92.5,16.2%,83.5,15.1%,89.5,8.9%,79.4,13.4%,84.8, , , , ,0.3%,2021.0,2021-01-01
582,Matt Moore,PHI,56.9%,92.5, , ,8.6%,89.6,15.3%,80.8,19.2%,82.6, , , , ,1.3%,2021.0,2021-01-01
583,Erasmo Ramirez,DET,45.4%,92.4,2.6%,83.9,43.9%,89.1, , ,8.2%,85.2, , , , , ,2021.0,2021-01-01
584,Sonny Gray,CIN,53.1%,92.4,15.1%,82.1,5.2%,83.9,23.4%,79.3,3.2%,88.4, , , , ,0.2%,2021.0,2021-01-01
585,Nick Allgeyer,TOR,50.0%,92.4, , , , ,35.7%,76.8,14.3%,84.5, , , , , ,2021.0,2021-01-01
586,Felix Pena,LAA,44.6%,92.4, , , , ,38.5%,84.7,16.9%,84.8, , , , , ,2021.0,2021-01-01
587,Tony Watson,- - -,42.6%,92.4,24.1%,83.2, , , , ,33.3%,85.9, , , , ,0.5%,2021.0,2021-01-01
588,Ryan Feltner,COL,53.5%,92.4,29.6%,81.3,0.7%,91.0,8.5%,75.3,7.7%,82.5, , , , , ,2021.0,2021-01-01
589,Aaron Loup,NYM,51.9%,92.4,6.6%,75.6,32.9%,84.7, , ,8.6%,79.9, , , , , ,2021.0,2021-01-01
590,Travis Bergen,TOR,87.2%,92.4,12.8%,82.0, , , , , , , , , , , ,2021.0,2021-01-01
591,Justus Sheffield,SEA,47.0%,92.4,32.1%,81.8, , , , ,20.9%,85.8, , , , ,0.3%,2021.0,2021-01-01
592,Chaz Roe,TBR,47.8%,92.4,52.2%,80.8, , , , , , , , , , , ,2021.0,2021-01-01
593,Bailey Ober,MIN,58.0%,92.4,18.4%,81.5, , ,10.6%,75.0,13.0%,84.7, , , , , ,2021.0,2021-01-01
594,Sam Clay,WSN,66.4%,92.4,24.4%,84.5, , , , ,9.2%,87.0, , , , ,2.5%,2021.0,2021-01-01
595,Paul Sewald,SEA,58.3%,92.4,41.6%,81.8, , , , ,0.1%,70.0, , , , ,1.6%,2021.0,2021-01-01
596,Andre Jackson,LAD,45.7%,92.4,12.6%,86.2, , ,2.0%,76.3,39.7%,84.2, , , , , ,2021.0,2021-01-01
597,Jake Faria,ARI,56.1%,92.3,7.5%,84.7, , ,15.8%,76.0,20.5%,82.5, , , , ,0.2%,2021.0,2021-01-01
598,Craig Stammen,SDP,47.6%,92.3, , ,22.4%,89.2,29.5%,80.4,0.5%,86.3, , , , ,0.3%,2021.0,2021-01-01
599,Brandon Dickson,STL,57.1%,92.3,14.3%,84.8, , ,25.7%,85.7,2.9%,84.0, , , , , ,2021.0,2021-01-01
600,Deivi Garcia,NYY,41.2%,92.3,20.3%,81.7, , ,19.0%,75.8,19.6%,82.4, , , , , ,2021.0,2021-01-01
601,John King,TEX,57.5%,92.3,13.6%,79.6,10.1%,87.4, , ,18.8%,78.4, , , , ,0.6%,2021.0,2021-01-01
602,Corey Oswalt,NYM,55.8%,92.2, , ,17.3%,87.1, , ,26.9%,85.6, , , , , ,2021.0,2021-01-01
603,Steven Okert,MIA,40.4%,92.2,59.6%,80.6, , , , , , , , , , ,1.3%,2021.0,2021-01-01
604,Jake Odorizzi,HOU,55.4%,92.2,10.1%,83.5,7.5%,87.5,5.2%,73.5,21.8%,84.7, , , , ,0.1%,2021.0,2021-01-01
605,John Schreiber,BOS,64.3%,92.2,30.4%,80.2, , , , ,5.4%,84.3, , , , , ,2021.0,2021-01-01
606,Scott Alexander,LAD,74.9%,92.2,17.4%,84.4, , , , ,7.7%,86.1, , , , ,1.5%,2021.0,2021-01-01
607,Zach Thompson,MIA,35.3%,92.2, , ,35.1%,87.1,16.9%,77.3,12.7%,85.4, , , , ,0.3%,2021.0,2021-01-01
608,Peter Solomon,HOU,51.1%,92.2,7.0%,83.7,13.7%,87.0,20.7%,78.4,7.5%,82.0, , , , , ,2021.0,2021-01-01
609,Tommy Hunter,NYM,44.0%,92.2, , ,42.2%,89.7,13.8%,83.2, , , , , , , ,2021.0,2021-01-01
610,Sean Manaea,OAK,60.2%,92.2,15.6%,82.6, , , , ,24.2%,84.5, , , , , ,2021.0,2021-01-01
611,Mark Melancon,SDP,10.6%,92.2, , ,54.7%,92.0,34.5%,82.3,0.2%,83.0, , , , ,1.5%,2021.0,2021-01-01
612,Triston McKenzie,CLE,61.4%,92.1,19.1%,86.4, , ,18.1%,79.4,1.4%,86.3, , , , , ,2021.0,2021-01-01
613,Drew Smyly,ATL,46.7%,92.1, , ,11.4%,87.6,41.9%,78.9, , , , , , ,0.5%,2021.0,2021-01-01
614,Ryan Sherriff,TBR,56.5%,92.1,41.7%,81.1, , , , ,1.8%,85.6, , , , , ,2021.0,2021-01-01
615,Connor Overton,- - -,50.7%,92.1,19.0%,83.0,1.5%,89.8,4.4%,78.7,24.5%,85.0, , , , , ,2021.0,2021-01-01
616,Dakota Hudson,STL,53.4%,92.1,24.4%,88.3,2.3%,91.0,16.0%,80.9,3.8%,86.6, , , , , ,2021.0,2021-01-01
617,Brandon Kintzler,PHI,75.1%,92.1,13.9%,85.4, , , , ,11.0%,86.8, , , , ,1.6%,2021.0,2021-01-01
618,Riley O'Brien,CIN,54.8%,92.1, , , , ,23.8%,79.2,21.4%,88.2, , , , , ,2021.0,2021-01-01
619,Keegan Akin,BAL,57.2%,92.1,19.3%,84.3, , ,4.1%,76.7,19.5%,81.9, , , , ,0.2%,2021.0,2021-01-01
620,Rony Garcia,DET,60.7%,92.1,1.8%,84.0, , ,32.1%,81.3,5.4%,86.3, , , , , ,2021.0,2021-01-01
621,Chris Archer,TBR,45.0%,92.0,42.2%,87.2, , , , ,12.8%,85.6, , , , , ,2021.0,2021-01-01
622,Andrew Chafin,- - -,73.5%,92.0,26.4%,82.5, , , , ,0.1%,85.0, , , , ,0.4%,2021.0,2021-01-01
623,Humberto Mejia,ARI,63.2%,92.0,15.0%,82.6, , ,5.9%,77.2,15.9%,85.1, , , , ,1.0%,2021.0,2021-01-01
624,Andrew Heaney,- - -,59.3%,92.0,22.7%,79.4, , , , ,18.1%,83.8, , , , , ,2021.0,2021-01-01
625,David Robertson,TBR,0.5%,92.0, , ,73.6%,92.1,26.0%,83.4, , , , , , , ,2021.0,2021-01-01
626,Marcus Stroman,NYM,44.9%,92.0,23.1%,85.5,14.1%,90.4,2.3%,80.7,15.6%,86.0, , , , ,0.3%,2021.0,2021-01-01
627,Matthew Boyd,DET,47.5%,92.0,22.4%,80.4, , ,7.6%,73.5,22.5%,80.0, , , , , ,2021.0,2021-01-01
628,Austin Pruitt,- - -,35.5%,91.9, , ,38.2%,87.9,20.9%,81.4,5.5%,85.3, , , , , ,2021.0,2021-01-01
629,Pedro Strop,CHC,37.8%,91.9,28.9%,81.5,33.3%,86.1, , , , , , , , , ,2021.0,2021-01-01
630,Dellin Betances,NYM,57.1%,91.9,42.9%,80.8, , , , , , , , , , , ,2021.0,2021-01-01
631,Stephen Strasburg,WSN,53.9%,91.9, , , , ,30.1%,79.4,16.0%,86.6, , , , ,2.2%,2021.0,2021-01-01
632,Ross Stripling,TOR,51.1%,91.9,18.3%,87.1, , ,15.4%,78.1,15.2%,83.2, , , , ,0.1%,2021.0,2021-01-01
633,Adrian Sampson,CHC,58.8%,91.9,16.6%,84.1, , , , ,24.5%,85.5, , , , , ,2021.0,2021-01-01
634,Bailey Falter,PHI,68.1%,91.8, , ,23.6%,84.5,2.7%,76.1,5.6%,83.6, , , , , ,2021.0,2021-01-01
635,Nick Neidert,MIA,47.0%,91.8,30.9%,84.6, , ,10.0%,74.5,12.0%,83.3, , , , ,0.7%,2021.0,2021-01-01
636,Chi Chi Gonzalez,COL,52.8%,91.8,31.6%,86.3, , ,5.9%,81.7,9.7%,84.3, , , , ,0.1%,2021.0,2021-01-01
637,Alex Wood,SFG,46.4%,91.8,31.5%,84.0, , , , ,22.1%,85.3, , , , ,0.2%,2021.0,2021-01-01
638,Matt Andriese,- - -,48.4%,91.8,5.8%,86.0, , ,12.6%,80.1,33.1%,86.0, , , , , ,2021.0,2021-01-01
639,Tanner Anderson,PIT,62.5%,91.8,23.4%,83.3,10.9%,87.9, , ,3.1%,83.5, , , , , ,2021.0,2021-01-01
640,Johnny Cueto,SFG,51.7%,91.8,11.5%,83.1,11.7%,85.5,1.7%,80.2,23.5%,82.7, , , , ,0.2%,2021.0,2021-01-01
641,John Gant,- - -,49.1%,91.8,15.4%,83.7,7.3%,86.9,5.6%,74.7,22.6%,80.2, , , , ,0.4%,2021.0,2021-01-01
642,Merrill Kelly,ARI,50.2%,91.8,0.1%,83.7,14.6%,90.9,17.9%,81.3,17.1%,87.3, , , , ,0.5%,2021.0,2021-01-01
643,Kyle Lobstein,WSN,58.8%,91.8, , ,17.6%,85.2,5.9%,79.5, , ,17.6%,84.7, , , ,2021.0,2021-01-01
