#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,50.2%,98.3,18.2%,90.8, , , , ,31.6%,91.8, , , , , ,6,9
2,Gerrit Cole,NYY,50.3%,98.0,26.0%,89.1,1.6%,91.3,15.5%,83.3,6.6%,90.1, , , , , ,6,9
3,Luis Castillo,SEA,61.2%,97.4,24.0%,86.4, , , , ,14.8%,89.0, , , , , ,6,9
4,Shohei Ohtani,LAA,24.7%,97.3,51.0%,85.7,12.9%,91.4,5.6%,77.2, , ,5.7%,88.5, , , ,6,9
5,Logan Gilbert,SEA,58.6%,96.6,30.3%,85.7, , ,4.6%,79.8,6.5%,85.9, , , , , ,6,9
6,Dylan Cease,CHW,40.6%,96.5,45.2%,88.1, , ,13.7%,81.7,0.5%,79.0, , , , , ,6,9
7,Brayan Bello,BOS,51.0%,96.5,25.8%,84.6, , ,0.7%,80.0,22.4%,88.3, , , , , ,6,9
8,Blake Snell,SDP,55.8%,96.4,29.6%,89.2, , ,10.2%,82.5,4.4%,87.8, , , , , ,6,9
9,Brandon Woodruff,MIL,56.8%,96.3,15.5%,87.5, , ,10.3%,84.3,17.4%,86.1, , , , , ,6,9
10,Corbin Burnes,MIL,5.9%,96.3,11.3%,89.0,53.6%,95.3,16.6%,81.3,12.5%,90.4, , , , , ,6,9
11,Jesus Luzardo,MIA,51.6%,96.0,26.3%,83.9, , , , ,22.0%,87.9, , , , , ,6,9
12,Kevin Gausman,TOR,48.0%,95.4,19.7%,85.2, , , , , , ,32.3%,85.8, , , ,6,9
13,Jose Urena,COL,55.5%,95.4,29.3%,86.3, , , , ,15.2%,89.7, , , , , ,6,9
14,German Marquez,COL,54.1%,95.2,18.9%,88.5, , ,24.9%,85.8,2.1%,88.5, , , , , ,6,9
15,Mitch Keller,PIT,54.7%,94.9,23.9%,83.0, , ,19.3%,78.4,2.1%,90.9, , , , ,0.7%,6,9
16,Pablo Lopez,MIA,50.2%,94.9, , ,3.9%,90.6,11.7%,81.7,34.3%,88.5, , , , ,0.4%,6,9
17,Alex Cobb,SFG,38.4%,94.8, , , , ,20.5%,83.7,41.1%,89.6, , , , , ,6,9
18,Charlie Morton,ATL,46.1%,94.7, , ,5.1%,88.2,38.3%,82.0,10.5%,87.3, , , , , ,6,9
19,Kyle Bradish,BAL,44.4%,94.5,33.7%,87.7, , ,16.4%,83.7,5.5%,90.5, , , , , ,6,9
20,Yu Darvish,SDP,37.9%,94.4,13.2%,82.6,34.7%,86.3,7.7%,77.2,2.1%,87.6,4.4%,89.2, , , ,6,9
21,Zac Gallen,ARI,49.8%,94.3,5.9%,89.4,8.7%,90.9,29.5%,82.6,6.1%,85.6, , , , , ,6,9
22,Nick Lodolo,CIN,60.6%,94.3,34.4%,81.1, , , , ,5.0%,88.9, , , , , ,6,9
23,Cal Quantrill,CLE,46.2%,94.2,35.5%,89.0, , ,6.3%,83.4,11.9%,85.6, , , , ,0.2%,6,9
24,Jameson Taillon,NYY,48.5%,94.2,22.2%,86.3,6.2%,90.9,16.8%,81.5,6.3%,88.0, , , , ,0.2%,6,9
25,Ken Waldichuk,OAK,56.5%,94.1,21.0%,81.1, , ,8.0%,75.3,14.5%,82.4, , , , , ,6,9
26,Framber Valdez,HOU,46.2%,93.9, , ,16.1%,82.3,28.2%,78.9,9.6%,88.1, , , , , ,6,9
27,Nick Pivetta,BOS,55.5%,93.7,16.0%,86.2, , ,26.2%,76.9,2.4%,86.9, , , , ,0.2%,6,9
28,Brady Singer,KCR,55.3%,93.5,38.8%,85.6, , , , ,5.9%,86.3, , , , , ,6,9
29,Jordan Montgomery,STL,55.6%,93.4, , ,0.2%,88.0,26.1%,80.5,18.1%,83.2, , , , , ,6,9
30,Miles Mikolas,STL,55.3%,93.4,19.0%,87.1, , ,24.2%,76.1,1.3%,85.0, , ,0.2%,75.0, ,6,9
