#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
61,Gerrit Cole,NYY,0.9,0.3,0.3,0.6,2.7,0.3,$2.2,3,6
62,Beau Brieske,DET,0.6,0.2,0.1,0.3,2.6,0.3,$2.2,3,6
63,Kyle Freeland,COL,1.1,0.4,0.5,0.8,2.6,0.3,$2.1,3,6
64,Keegan Thompson,CHC,-0.3,-0.1,-0.5,-0.6,2.5,0.3,$2.1,3,6
65,Jason Alexander,MIL,0.3,-0.5,0.6,0.1,2.0,0.2,$1.7,3,6
66,Dane Dunning,TEX,0.6,0.1,0.3,0.4,1.7,0.2,$1.4,3,6
67,Ian Anderson,ATL,-0.4,-0.7,0.2,-0.5,1.5,0.1,$1.2,3,6
68,Luis Garcia,HOU,0.4,0.3,0.0,0.2,1.3,0.1,$1.1,3,6
69,Jordan Lyles,BAL,-0.3,-0.1,-0.3,-0.4,1.1,0.1,$0.9,3,6
70,Pablo Lopez,MIA,-0.2,0.0,-0.3,-0.3,1.0,0.1,$0.8,3,6
71,Paul Blackburn,OAK,0.0,-0.4,0.3,-0.1,0.9,0.1,$0.7,3,6
72,Patrick Corbin,WSN,-0.2,-0.3,0.0,-0.3,0.8,0.1,$0.6,3,6
73,Cole Irvin,OAK,0.3,0.1,0.1,0.2,0.7,0.1,$0.6,3,6
74,Rony Garcia,DET,0.3,0.3,0.0,0.3,0.4,0.0,$0.4,3,6
75,Tyler Wells,BAL,1.0,0.8,0.2,0.9,0.4,0.0,$0.3,3,6
76,Adrian Houser,MIL,-0.3,-0.4,0.1,-0.3,0.2,0.0,$0.2,3,6
77,Marco Gonzales,SEA,0.9,0.7,0.1,0.9,0.1,0.0,$0.1,3,6
78,Andre Pallante,STL,0.9,0.3,0.5,0.8,-0.1,0.0,$0.1,3,6
79,Johnny Cueto,CHW,0.5,0.2,0.3,0.5,0.0,0.0,$0.0,3,6
80,Jose Urquidy,HOU,0.5,0.6,-0.1,0.5,-0.3,0.0,($0.3),3,6
81,Zac Gallen,ARI,-0.2,0.1,-0.2,-0.1,-0.5,-0.1,($0.4),3,6
82,German Marquez,COL,0.3,0.1,0.2,0.3,-0.7,-0.1,($0.6),3,6
83,Brady Singer,KCR,-0.1,0.0,-0.1,0.0,-1.0,-0.1,($0.8),3,6
84,Cal Quantrill,CLE,0.5,0.1,0.5,0.6,-1.2,-0.1,($0.9),3,6
85,Carlos Carrasco,NYM,-0.4,-0.5,0.2,-0.3,-1.4,-0.1,($1.1),3,6
86,Jose Berrios,TOR,-0.3,0.1,-0.2,-0.1,-2.1,-0.2,($1.6),3,6
87,Lucas Giolito,CHW,-0.8,-0.5,-0.1,-0.6,-2.5,-0.2,($2.0),3,6
88,Triston McKenzie,CLE,-0.3,0.1,0.0,0.1,-3.9,-0.4,($2.9),3,6
89,Eric Lauer,MIL,-0.5,0.1,-0.2,-0.1,-4.6,-0.4,($3.4),3,6
