#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
1,Carlos Rodon,SFG,1.9,0.3,0.1,0.4,12.8,1.5,$12.0,3,6
2,Aaron Nola,PHI,1.6,0.2,0.0,0.2,12.6,1.5,$11.7,3,6
3,Sandy Alcantara,MIA,2.0,0.7,-0.2,0.6,12.2,1.4,$11.2,3,6
4,Max Fried,ATL,1.4,-0.1,0.2,0.1,10.7,1.3,$10.0,3,6
5,Taijuan Walker,NYM,1.2,0.0,0.0,0.0,10.8,1.2,$9.9,3,6
6,Justin Verlander,HOU,0.8,0.7,-1.1,-0.3,10.0,1.1,$9.1,3,6
7,Tyler Mahle,CIN,1.1,-0.1,0.2,0.0,9.6,1.1,$8.8,3,6
8,Shane Bieber,CLE,0.9,-0.3,0.0,-0.2,9.7,1.1,$8.8,3,6
9,Jon Gray,TEX,1.4,0.1,0.2,0.3,9.6,1.1,$8.7,3,6
10,Dylan Cease,CHW,0.7,-0.2,-0.2,-0.4,9.2,1.1,$8.6,3,6
11,Alek Manoah,TOR,1.2,0.3,-0.1,0.2,9.0,1.0,$8.1,3,6
12,Shane McClanahan,TBR,1.1,0.5,-0.4,0.2,8.4,1.0,$7.7,3,6
13,Yu Darvish,SDP,1.3,0.4,0.0,0.4,8.2,0.9,$7.3,3,6
14,Logan Webb,SFG,1.0,0.0,0.2,0.2,7.9,0.9,$7.1,3,6
15,Zach Davies,ARI,1.1,0.5,-0.3,0.2,7.9,0.9,$7.1,3,6
16,Shohei Ohtani,LAA,1.5,0.1,0.6,0.6,7.8,0.9,$7.1,3,6
17,Zack Wheeler,PHI,0.9,0.0,0.1,0.1,7.4,0.8,$6.6,3,6
18,Ross Stripling,TOR,1.3,0.4,0.2,0.6,7.1,0.8,$6.3,3,6
19,Adam Wainwright,STL,0.6,-0.7,0.5,-0.1,6.9,0.8,$6.0,3,6
20,Julio Urias,LAD,1.0,0.5,-0.2,0.3,6.8,0.7,$6.0,3,6
21,Nick Pivetta,BOS,1.6,0.4,0.5,0.9,6.8,0.7,$5.9,3,6
22,Antonio Senzatela,COL,0.5,-0.8,0.5,-0.3,6.6,0.7,$5.9,3,6
23,Miles Mikolas,STL,1.2,0.7,-0.2,0.5,6.3,0.7,$5.5,3,6
24,Kyle Wright,ATL,0.9,-0.3,0.5,0.3,6.3,0.7,$5.3,3,6
25,Luis Castillo,CIN,0.6,0.0,-0.1,-0.1,6.1,0.7,$5.3,3,6
26,Dean Kremer,BAL,1.4,0.0,0.7,0.7,5.9,0.6,$5.1,3,6
27,Corbin Burnes,MIL,0.4,0.0,-0.2,-0.2,5.9,0.6,$5.1,3,6
28,Martin Perez,TEX,0.4,-0.8,0.5,-0.2,5.7,0.6,$5.0,3,6
29,Kyle Hendricks,CHC,0.5,-0.2,0.1,-0.1,5.7,0.6,$5.0,3,6
30,Rich Hill,BOS,0.6,-0.2,0.2,0.0,5.6,0.6,$4.9,3,6
