#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
31,Carlos Carrasco,NYM,0.2,0.1,-0.4,-0.3,4.6,0.5,$4.0,1,4
32,Brad Keller,KCR,0.9,0.6,-0.2,0.4,4.5,0.5,$4.0,1,4
33,Yu Darvish,SDP,0.3,0.2,-0.3,-0.2,4.3,0.5,$3.7,1,4
34,Chad Kuhl,COL,1.2,0.5,0.2,0.7,4.3,0.5,$3.7,1,4
35,Austin Gomber,COL,0.4,0.0,-0.1,-0.1,4.2,0.5,$3.6,1,4
36,Adam Wainwright,STL,0.4,-0.5,0.5,-0.1,4.3,0.5,$3.6,1,4
37,Frankie Montas,OAK,0.2,0.3,-0.6,-0.3,4.0,0.4,$3.4,1,4
38,Kyle Gibson,PHI,0.8,0.5,-0.1,0.4,3.8,0.4,$3.2,1,4
39,Aaron Nola,PHI,0.5,0.1,0.0,0.1,3.7,0.4,$3.1,1,4
40,Dane Dunning,TEX,0.5,-0.2,0.2,0.1,3.5,0.4,$3.0,1,4
41,Zack Greinke,KCR,0.8,0.1,0.3,0.4,3.4,0.4,$2.9,1,4
42,Chris Flexen,SEA,0.5,0.1,0.1,0.2,3.2,0.3,$2.7,1,4
43,Gerrit Cole,NYY,0.6,0.2,0.1,0.3,2.9,0.3,$2.5,1,4
44,Robbie Ray,SEA,0.4,0.1,-0.1,0.1,2.7,0.3,$2.2,1,4
45,Madison Bumgarner,ARI,0.9,0.5,0.1,0.7,2.4,0.2,$2.0,1,4
46,Nathan Eovaldi,BOS,1.1,0.3,0.6,0.8,2.1,0.2,$1.7,1,4
47,Cal Quantrill,CLE,0.3,0.4,-0.3,0.1,2.0,0.2,$1.6,1,4
48,Zach Plesac,CLE,0.2,0.0,0.1,0.0,1.5,0.2,$1.3,1,4
49,German Marquez,COL,-0.1,-0.2,0.0,-0.2,1.3,0.1,$1.0,1,4
50,Kyle Hendricks,CHC,0.0,-0.1,0.0,-0.1,0.9,0.1,$0.7,1,4
51,Cole Irvin,OAK,0.8,0.3,0.4,0.7,0.7,0.1,$0.6,1,4
52,Luis Garcia,HOU,0.3,0.4,-0.2,0.2,0.5,0.1,$0.4,1,4
53,Jose Berrios,TOR,0.3,-0.2,0.5,0.3,0.5,0.1,$0.4,1,4
54,Joan Adon,WSN,-0.4,-0.1,-0.2,-0.3,-1.0,-0.1,($0.8),1,4
55,Elieser Hernandez,MIA,-0.1,0.0,0.0,0.1,-1.4,-0.1,($1.1),1,4
