#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
1,Zack Wheeler,PHI,1.4,-0.3,0.3,-0.1,12.1,1.5,$11.7,2,2022-05-01
2,Martin Perez,TEX,2.3,0.5,0.4,0.9,12.1,1.4,$11.3,2,2022-05-01
3,Kevin Gausman,TOR,1.0,-0.2,-0.1,-0.3,11.6,1.4,$10.9,2,2022-05-01
4,Nick Pivetta,BOS,1.6,0.5,-0.1,0.4,11.1,1.3,$10.3,2,2022-05-01
5,Gerrit Cole,NYY,0.8,-0.1,-0.4,-0.4,10.3,1.2,$9.7,2,2022-05-01
6,Tarik Skubal,DET,1.6,0.2,0.4,0.5,9.4,1.1,$8.7,2,2022-05-01
7,Frankie Montas,OAK,1.3,0.0,0.2,0.2,9.4,1.1,$8.5,2,2022-05-01
8,Sandy Alcantara,MIA,1.3,0.6,-0.4,0.2,9.5,1.1,$8.4,2,2022-05-01
9,Framber Valdez,HOU,1.7,0.4,0.3,0.7,9.1,1.0,$8.1,2,2022-05-01
10,Jameson Taillon,NYY,1.3,0.4,-0.1,0.3,8.5,1.0,$7.8,2,2022-05-01
11,Corbin Burnes,MIL,1.5,0.3,0.3,0.6,8.5,0.9,$7.5,2,2022-05-01
12,Joe Musgrove,SDP,1.5,0.2,0.4,0.6,8.3,0.9,$7.4,2,2022-05-01
13,Carlos Carrasco,NYM,0.6,-0.5,0.1,-0.4,8.1,0.9,$7.3,2,2022-05-01
14,Shane McClanahan,TBR,1.8,0.2,0.7,0.9,8.0,0.9,$7.2,2,2022-05-01
15,Jordan Lyles,BAL,0.3,-0.4,-0.1,-0.6,8.0,0.9,$7.1,2,2022-05-01
16,Tyler Wells,BAL,0.9,0.3,-0.3,0.0,7.8,0.9,$7.0,2,2022-05-01
17,Aaron Nola,PHI,0.8,0.1,-0.2,0.0,7.5,0.8,$6.6,2,2022-05-01
18,Yusei Kikuchi,TOR,1.0,0.2,0.0,0.2,7.1,0.8,$6.4,2,2022-05-01
19,Jose Quintana,PIT,0.8,0.2,-0.2,0.0,7.1,0.8,$6.3,2,2022-05-01
20,Tyler Anderson,LAD,0.9,0.0,0.2,0.1,7.0,0.8,$6.2,2,2022-05-01
21,Alek Manoah,TOR,0.9,0.1,0.0,0.1,6.8,0.8,$6.0,2,2022-05-01
22,Nestor Cortes,NYY,1.3,0.7,-0.1,0.6,6.6,0.7,$5.8,2,2022-05-01
23,Dylan Cease,CHW,0.4,-0.3,0.0,-0.3,6.5,0.7,$5.7,2,2022-05-01
24,Zac Gallen,ARI,1.1,0.2,0.2,0.4,6.6,0.7,$5.7,2,2022-05-01
25,JT Brubaker,PIT,0.5,0.0,-0.2,-0.2,6.1,0.7,$5.4,2,2022-05-01
26,Patrick Sandoval,LAA,0.4,0.0,-0.3,-0.3,6.0,0.7,$5.3,2,2022-05-01
27,Max Fried,ATL,1.0,0.0,0.4,0.4,6.1,0.7,$5.2,2,2022-05-01
28,Walker Buehler,LAD,0.6,-0.4,0.3,-0.1,5.8,0.6,$4.9,2,2022-05-01
29,Shane Bieber,CLE,0.3,-0.5,0.2,-0.3,5.3,0.6,$4.7,2,2022-05-01
30,Michael Lorenzen,LAA,0.8,0.3,0.0,0.3,5.4,0.6,$4.6,2,2022-05-01
