#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
61,Daniel Lynch,KCR,0.5,-0.2,0.4,0.2,2.9,0.3,$2.4,5,8
62,Martin Perez,TEX,0.2,-0.2,0.1,-0.1,2.9,0.3,$2.4,5,8
63,Dylan Cease,CHW,0.7,0.8,-0.3,0.5,2.7,0.3,$2.3,5,8
64,Marcus Stroman,CHC,0.2,0.2,-0.2,-0.1,2.4,0.2,$2.0,5,8
65,Tommy Henry,ARI,0.3,0.0,0.1,0.1,2.1,0.2,$1.7,5,8
66,Kris Bubic,KCR,-0.1,-0.7,0.4,-0.3,2.0,0.2,$1.6,5,8
67,Marco Gonzales,SEA,-0.1,-0.5,0.2,-0.3,2.0,0.2,$1.6,5,8
68,Miles Mikolas,STL,-0.3,0.0,-0.6,-0.5,2.0,0.2,$1.6,5,8
69,Brandon Woodruff,MIL,0.9,0.2,0.5,0.7,1.8,0.2,$1.4,5,8
70,Adam Oller,OAK,0.8,0.3,0.2,0.6,1.7,0.2,$1.4,5,8
71,Jose Urquidy,HOU,0.9,0.5,0.2,0.7,1.4,0.1,$1.1,5,8
72,James Kaprielian,OAK,-0.5,-0.3,-0.3,-0.6,0.9,0.1,$0.7,5,8
73,Alex Wood,SFG,-0.8,-0.3,-0.6,-0.9,0.9,0.1,$0.7,5,8
74,Mike Clevinger,SDP,0.5,0.5,0.0,0.5,0.8,0.1,$0.6,5,8
75,Corey Kluber,TBR,0.1,-0.1,0.1,0.0,0.7,0.1,$0.6,5,8
76,Eric Lauer,MIL,0.9,0.3,0.6,0.9,-0.4,0.0,($0.3),5,8
77,Tyler Alexander,DET,-0.1,0.0,0.0,0.0,-0.8,-0.1,($0.6),5,8
78,Kutter Crawford,BOS,-0.6,-0.5,0.0,-0.5,-0.8,-0.1,($0.7),5,8
79,Zach Davies,ARI,0.7,0.5,0.4,0.9,-1.4,-0.1,($1.1),5,8
80,Jameson Taillon,NYY,0.0,0.6,-0.4,0.2,-1.6,-0.2,($1.3),5,8
81,Jose Urena,COL,-0.2,-0.1,0.1,0.0,-1.6,-0.2,($1.3),5,8
82,Ryan Feltner,COL,0.0,0.0,0.1,0.2,-1.8,-0.2,($1.4),5,8
83,Anibal Sanchez,WSN,0.5,0.6,0.3,0.9,-3.4,-0.3,($2.6),5,8
