#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
31,Taijuan Walker,NYM,0.5,0.0,-0.1,-0.2,6.4,0.7,$5.5,6,2022-09-01
32,Marcus Stroman,CHC,1.6,0.3,0.5,0.9,6.4,0.7,$5.5,6,2022-09-01
33,Lucas Giolito,CHW,0.7,0.0,0.0,0.0,6.2,0.7,$5.4,6,2022-09-01
34,Brady Singer,KCR,1.0,-0.1,0.4,0.3,6.2,0.7,$5.4,6,2022-09-01
35,Kevin Gausman,TOR,0.5,-0.3,0.1,-0.2,6.2,0.7,$5.4,6,2022-09-01
36,Jameson Taillon,NYY,0.6,0.0,0.0,0.0,6.2,0.7,$5.3,6,2022-09-01
37,Lance McCullers Jr.,HOU,1.1,0.1,0.4,0.5,6.0,0.7,$5.2,6,2022-09-01
38,Jesus Luzardo,MIA,1.0,0.1,0.3,0.3,6.1,0.6,$5.2,6,2022-09-01
39,Kyle Bradish,BAL,0.6,0.6,-0.7,-0.1,5.9,0.6,$5.1,6,2022-09-01
40,Rich Hill,BOS,0.2,-0.4,0.0,-0.4,5.7,0.6,$4.9,6,2022-09-01
41,Adrian Sampson,CHC,1.8,0.5,0.8,1.2,5.5,0.6,$4.6,6,2022-09-01
42,Mitch Keller,PIT,1.5,0.2,0.9,1.0,4.7,0.5,$3.9,6,2022-09-01
43,Miles Mikolas,STL,1.1,0.5,0.2,0.7,4.5,0.5,$3.7,6,2022-09-01
44,Luis Cessa,CIN,0.8,0.5,-0.1,0.4,4.0,0.4,$3.3,6,2022-09-01
45,Jordan Montgomery,STL,0.1,-0.2,0.0,-0.2,3.5,0.4,$2.9,6,2022-09-01
46,Julio Urias,LAD,1.5,0.8,0.4,1.2,3.2,0.3,$2.6,6,2022-09-01
47,Dean Kremer,BAL,0.8,0.2,0.3,0.5,3.0,0.3,$2.6,6,2022-09-01
48,Joe Musgrove,SDP,1.0,0.0,0.7,0.7,3.0,0.3,$2.5,6,2022-09-01
49,Ken Waldichuk,OAK,0.1,0.0,-0.2,-0.2,2.7,0.3,$2.3,6,2022-09-01
50,Chris Bassitt,NYM,0.5,0.2,0.1,0.3,2.5,0.3,$2.1,6,2022-09-01
51,Ranger Suarez,PHI,0.4,0.1,0.1,0.2,1.4,0.1,$1.1,6,2022-09-01
52,Glenn Otto,TEX,0.3,0.2,0.0,0.3,0.8,0.1,$0.6,6,2022-09-01
53,Gerrit Cole,NYY,0.2,0.2,-0.1,0.1,0.6,0.1,$0.5,6,2022-09-01
54,German Marquez,COL,0.3,0.2,0.1,0.3,0.6,0.1,$0.5,6,2022-09-01
55,Jon Heasley,KCR,0.0,0.2,-0.2,0.0,0.6,0.1,$0.5,6,2022-09-01
56,Michael Wacha,BOS,0.0,-0.3,0.3,0.0,0.3,0.0,$0.3,6,2022-09-01
57,Bryse Wilson,PIT,0.4,0.3,0.1,0.4,-0.1,0.0,$0.0,6,2022-09-01
58,Eduardo Rodriguez,DET,0.3,0.1,0.1,0.3,-0.3,0.0,($0.2),6,2022-09-01
59,Tyler Alexander,DET,0.1,0.1,0.0,0.1,-0.5,-0.1,($0.4),6,2022-09-01
60,Robbie Ray,SEA,0.2,-0.3,0.6,0.3,-0.9,-0.1,($0.7),6,2022-09-01
