#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
31,Carlos Rodon,SFG,0.8,0.1,-0.1,0.1,6.5,0.7,$5.7,5,2022-08-01
32,Logan Webb,SFG,0.1,-0.2,-0.4,-0.6,6.4,0.7,$5.5,5,2022-08-01
33,Alex Cobb,SFG,0.8,-0.4,0.5,0.1,6.2,0.7,$5.4,5,2022-08-01
34,Merrill Kelly,ARI,0.9,0.0,0.2,0.2,6.1,0.7,$5.3,5,2022-08-01
35,Lance Lynn,CHW,1.2,0.3,0.2,0.5,6.1,0.7,$5.3,5,2022-08-01
36,Brady Singer,KCR,1.3,-0.1,0.7,0.6,6.1,0.7,$5.3,5,2022-08-01
37,Framber Valdez,HOU,1.5,0.2,0.7,0.9,5.7,0.6,$5.0,5,2022-08-01
38,Cristian Javier,HOU,1.1,0.6,0.0,0.5,5.2,0.6,$4.6,5,2022-08-01
39,Jordan Lyles,BAL,0.8,-0.6,0.8,0.2,5.3,0.6,$4.5,5,2022-08-01
40,Edward Cabrera,MIA,1.3,0.6,0.1,0.7,5.2,0.6,$4.4,5,2022-08-01
41,Charlie Morton,ATL,0.8,0.1,0.1,0.3,5.0,0.5,$4.3,5,2022-08-01
42,Joe Musgrove,SDP,0.1,-0.3,-0.1,-0.4,5.1,0.5,$4.3,5,2022-08-01
43,Matt Manning,DET,0.4,-0.2,0.1,-0.1,4.8,0.5,$4.1,5,2022-08-01
44,Jose Quintana,STL,0.2,-0.4,0.2,-0.3,4.8,0.5,$4.0,5,2022-08-01
45,Luis Garcia,HOU,0.0,-0.5,0.1,-0.5,4.5,0.5,$3.9,5,2022-08-01
46,Lucas Giolito,CHW,-0.1,-0.6,0.0,-0.6,4.4,0.5,$3.8,5,2022-08-01
47,Alek Manoah,TOR,0.6,0.1,0.0,0.1,4.4,0.5,$3.8,5,2022-08-01
48,Joe Ryan,MIN,0.3,-0.1,0.0,-0.1,4.4,0.5,$3.8,5,2022-08-01
49,German Marquez,COL,0.8,0.1,0.3,0.4,4.3,0.4,$3.6,5,2022-08-01
50,Kyle Wright,ATL,1.2,0.3,0.5,0.8,4.1,0.4,$3.4,5,2022-08-01
51,Yu Darvish,SDP,0.5,0.2,-0.1,0.1,4.1,0.4,$3.4,5,2022-08-01
52,Spenser Watkins,BAL,0.3,0.1,-0.2,-0.1,3.7,0.4,$3.3,5,2022-08-01
53,Austin Voth,BAL,1.0,0.6,0.0,0.6,3.6,0.4,$3.0,5,2022-08-01
54,Freddy Peralta,MIL,1.1,1.0,-0.3,0.7,3.6,0.4,$3.0,5,2022-08-01
55,Nick Pivetta,BOS,0.5,0.0,0.2,0.1,3.5,0.4,$2.9,5,2022-08-01
56,Nick Lodolo,CIN,0.5,0.0,0.1,0.1,3.4,0.3,$2.8,5,2022-08-01
57,Corbin Burnes,MIL,0.0,0.2,-0.6,-0.4,3.2,0.3,$2.6,5,2022-08-01
58,Mike Minor,CIN,0.2,-0.2,0.0,-0.2,3.1,0.3,$2.6,5,2022-08-01
59,Kyle Bradish,BAL,0.8,0.0,0.4,0.5,3.1,0.3,$2.6,5,2022-08-01
60,Cole Irvin,OAK,0.2,0.1,-0.2,-0.1,3.0,0.3,$2.5,5,2022-08-01
