#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
61,Kris Bubic,KCR,31.3%,72.8%,50.6%,74.4%,88.5%,83.8%,46.5%,59.4%,8.2%,15.4%,23.5%,5,2022-08-01
62,Carlos Rodon,SFG,31.0%,71.0%,47.8%,60.0%,80.5%,72.8%,42.0%,63.2%,13.0%,15.4%,28.4%,5,2022-08-01
63,Adam Wainwright,STL,30.9%,60.4%,43.6%,76.1%,88.9%,83.8%,43.2%,67.7%,7.1%,22.1%,29.1%,5,2022-08-01
64,Framber Valdez,HOU,30.8%,63.6%,45.8%,53.6%,87.8%,75.3%,45.8%,60.7%,11.3%,19.4%,30.8%,5,2022-08-01
65,Jesus Luzardo,MIA,30.7%,75.2%,49.0%,56.6%,80.6%,71.7%,41.2%,64.1%,13.8%,13.3%,27.1%,5,2022-08-01
66,Corbin Burnes,MIL,30.4%,64.7%,43.1%,54.5%,86.3%,72.1%,36.9%,57.3%,12.0%,18.7%,30.7%,5,2022-08-01
67,Brady Singer,KCR,30.1%,64.2%,46.4%,71.7%,85.1%,80.6%,48.0%,65.1%,9.0%,20.1%,29.1%,5,2022-08-01
68,Mike Clevinger,SDP,29.7%,70.5%,47.2%,67.7%,87.9%,80.6%,42.8%,65.0%,9.1%,15.7%,24.9%,5,2022-08-01
69,Miles Mikolas,STL,29.6%,70.6%,47.9%,74.2%,91.6%,85.6%,44.5%,62.9%,6.9%,17.7%,24.6%,5,2022-08-01
70,Alex Cobb,SFG,29.2%,66.3%,45.3%,57.7%,86.8%,76.2%,43.4%,64.5%,10.8%,18.2%,29.0%,5,2022-08-01
71,Austin Voth,BAL,29.1%,69.1%,46.0%,62.5%,84.0%,76.1%,42.3%,62.5%,11.0%,17.5%,28.5%,5,2022-08-01
72,Martin Perez,TEX,29.1%,62.1%,42.6%,71.6%,88.7%,81.8%,41.0%,64.1%,7.8%,20.9%,28.7%,5,2022-08-01
73,Daniel Lynch,KCR,28.7%,68.2%,46.1%,60.7%,87.4%,78.1%,44.1%,59.6%,10.1%,15.7%,25.8%,5,2022-08-01
74,Nick Lodolo,CIN,28.5%,64.1%,43.2%,58.0%,85.0%,74.5%,41.1%,71.3%,11.0%,17.8%,28.8%,5,2022-08-01
75,Kyle Bradish,BAL,27.8%,70.1%,47.1%,67.1%,86.5%,80.3%,45.6%,63.6%,9.3%,14.9%,24.2%,5,2022-08-01
76,Tommy Henry,ARI,27.5%,75.1%,49.1%,63.8%,86.2%,79.3%,45.3%,58.3%,10.2%,14.8%,25.0%,5,2022-08-01
77,Anibal Sanchez,WSN,27.0%,73.1%,43.4%,77.7%,86.5%,83.0%,35.7%,62.8%,7.4%,16.1%,23.5%,5,2022-08-01
78,Eric Lauer,MIL,26.8%,68.7%,46.1%,73.6%,85.4%,81.7%,46.1%,62.7%,8.4%,18.0%,26.5%,5,2022-08-01
79,Adam Oller,OAK,26.5%,77.3%,49.0%,74.2%,88.9%,84.5%,44.3%,63.3%,7.6%,14.1%,21.7%,5,2022-08-01
80,James Kaprielian,OAK,25.8%,73.6%,46.6%,74.0%,88.2%,83.8%,43.6%,59.6%,7.5%,16.4%,24.0%,5,2022-08-01
81,Marcus Stroman,CHC,25.1%,69.2%,44.3%,68.8%,88.4%,82.2%,43.6%,72.7%,7.9%,18.0%,25.9%,5,2022-08-01
82,Zach Davies,ARI,24.2%,64.7%,40.1%,76.8%,91.6%,86.2%,39.2%,57.6%,5.5%,18.3%,23.9%,5,2022-08-01
83,Ryan Feltner,COL,24.0%,68.7%,42.5%,68.5%,89.8%,82.7%,41.3%,58.8%,7.3%,19.3%,26.6%,5,2022-08-01
