#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Kevin Gausman,TOR,43.7%,74.8%,57.1%,61.0%,84.7%,74.4%,43.2%,67.8%,14.6%,13.3%,27.9%,2,2022-05-01
2,Carlos Carrasco,NYM,43.5%,75.2%,55.1%,66.1%,89.0%,77.5%,36.7%,72.0%,12.4%,13.1%,25.5%,2,2022-05-01
3,Tyler Anderson,LAD,43.0%,70.2%,54.9%,63.5%,78.8%,72.0%,43.7%,78.1%,15.3%,16.0%,31.4%,2,2022-05-01
4,Julio Urias,LAD,42.7%,67.3%,54.0%,66.7%,87.8%,78.8%,45.8%,74.3%,11.5%,16.7%,28.1%,2,2022-05-01
5,Corbin Burnes,MIL,40.8%,65.2%,49.1%,48.1%,87.0%,65.6%,33.9%,62.7%,16.9%,16.2%,33.1%,2,2022-05-01
6,Tyler Wells,BAL,40.3%,70.1%,53.8%,67.0%,85.3%,77.8%,45.1%,65.5%,11.9%,16.2%,28.1%,2,2022-05-01
7,Frankie Montas,OAK,38.6%,77.8%,55.0%,63.6%,83.7%,75.5%,41.9%,65.0%,13.5%,12.7%,26.2%,2,2022-05-01
8,Gerrit Cole,NYY,38.5%,68.5%,51.2%,53.4%,77.6%,67.2%,42.4%,66.4%,16.8%,17.0%,33.8%,2,2022-05-01
9,Alex Cobb,SFG,38.5%,60.5%,46.8%,65.2%,86.9%,75.8%,37.8%,71.8%,11.3%,19.2%,30.6%,2,2022-05-01
10,Jameson Taillon,NYY,38.4%,75.9%,53.4%,69.4%,89.1%,80.6%,40.0%,63.1%,10.4%,13.6%,24.0%,2,2022-05-01
11,Sandy Alcantara,MIA,38.4%,73.3%,52.6%,61.7%,79.3%,71.7%,40.6%,57.7%,14.9%,14.1%,28.9%,2,2022-05-01
12,Tarik Skubal,DET,38.4%,68.5%,51.8%,62.5%,85.4%,76.0%,44.4%,66.1%,12.4%,17.8%,30.2%,2,2022-05-01
13,Zack Wheeler,PHI,38.2%,71.6%,52.7%,54.9%,82.2%,71.0%,43.3%,67.7%,15.3%,16.6%,31.8%,2,2022-05-01
14,Alek Manoah,TOR,38.1%,72.0%,52.3%,72.7%,77.2%,75.3%,42.1%,69.7%,12.9%,15.6%,28.5%,2,2022-05-01
15,Logan Webb,SFG,37.7%,65.9%,48.5%,62.4%,90.7%,77.1%,38.2%,66.1%,11.1%,19.4%,30.6%,2,2022-05-01
16,Zach Plesac,CLE,37.6%,70.0%,52.5%,72.8%,89.8%,83.3%,46.2%,66.4%,8.8%,15.2%,24.0%,2,2022-05-01
17,Nestor Cortes,NYY,36.9%,66.7%,49.0%,67.6%,90.3%,80.2%,40.7%,70.2%,9.7%,18.4%,28.1%,2,2022-05-01
18,Joe Musgrove,SDP,36.8%,60.7%,46.3%,60.9%,88.2%,75.1%,39.6%,58.2%,11.5%,18.4%,29.9%,2,2022-05-01
19,Miles Mikolas,STL,36.7%,73.0%,53.0%,71.2%,90.5%,83.1%,44.8%,70.0%,9.0%,17.0%,25.9%,2,2022-05-01
20,Robbie Ray,SEA,36.4%,79.5%,54.6%,42.2%,76.1%,63.0%,42.3%,68.3%,20.2%,9.3%,29.5%,2,2022-05-01
21,Jordan Montgomery,NYY,36.4%,69.9%,50.1%,56.9%,85.2%,73.0%,40.8%,64.1%,13.5%,15.9%,29.4%,2,2022-05-01
22,Max Fried,ATL,36.2%,69.7%,49.4%,53.5%,87.4%,72.4%,39.4%,62.6%,13.6%,15.7%,29.4%,2,2022-05-01
23,Zac Gallen,ARI,36.0%,65.3%,46.9%,69.8%,90.6%,80.6%,37.3%,60.4%,9.1%,17.0%,26.1%,2,2022-05-01
24,Michael Lorenzen,LAA,35.7%,69.7%,50.6%,70.5%,88.3%,81.3%,43.9%,67.2%,9.5%,14.7%,24.2%,2,2022-05-01
25,Zack Greinke,KCR,35.6%,60.8%,45.4%,76.5%,89.9%,83.5%,38.8%,68.4%,7.5%,18.9%,26.4%,2,2022-05-01
26,Nathan Eovaldi,BOS,35.4%,72.5%,52.6%,62.4%,82.7%,75.3%,46.3%,73.6%,13.0%,16.3%,29.3%,2,2022-05-01
27,Jose Quintana,PIT,35.4%,66.9%,46.8%,67.7%,84.1%,76.2%,36.4%,59.8%,11.1%,14.7%,25.9%,2,2022-05-01
28,Framber Valdez,HOU,35.0%,69.2%,51.3%,61.1%,94.6%,82.6%,47.7%,64.5%,8.9%,16.5%,25.4%,2,2022-05-01
29,Bruce Zimmermann,BAL,34.9%,69.4%,50.3%,78.9%,88.2%,84.6%,44.6%,66.9%,7.7%,16.3%,24.0%,2,2022-05-01
30,Cal Quantrill,CLE,34.9%,69.7%,49.9%,79.2%,91.7%,86.7%,43.1%,69.5%,6.6%,17.8%,24.4%,2,2022-05-01
