#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
31,Jose Quintana,STL,35.6%,71.5%,48.5%,71.9%,93.0%,83.1%,35.9%,59.5%,8.2%,13.6%,21.8%,5,2022-08-01
32,Charlie Morton,ATL,35.5%,62.8%,46.1%,49.5%,85.6%,68.6%,38.8%,59.8%,14.5%,19.4%,33.9%,5,2022-08-01
33,Jordan Montgomery,STL,35.3%,74.0%,49.8%,74.5%,82.8%,79.1%,37.4%,59.6%,10.4%,14.7%,25.1%,5,2022-08-01
34,Dylan Cease,CHW,35.3%,69.1%,46.8%,57.3%,75.9%,66.7%,34.2%,52.6%,15.6%,12.9%,28.5%,5,2022-08-01
35,Domingo German,NYY,35.2%,67.9%,50.6%,66.7%,90.6%,81.7%,47.0%,71.1%,9.2%,18.1%,27.3%,5,2022-08-01
36,Mike Minor,CIN,35.2%,70.2%,49.5%,70.2%,92.8%,83.3%,40.9%,56.5%,8.2%,16.2%,24.4%,5,2022-08-01
37,Spenser Watkins,BAL,34.8%,62.7%,46.6%,73.9%,90.1%,83.1%,42.2%,64.1%,7.9%,19.3%,27.1%,5,2022-08-01
38,George Kirby,SEA,34.6%,74.4%,54.2%,75.7%,85.7%,82.5%,49.2%,70.0%,9.5%,16.4%,25.9%,5,2022-08-01
39,Brandon Woodruff,MIL,34.4%,73.6%,52.2%,66.3%,84.3%,77.8%,45.5%,71.7%,11.6%,16.0%,27.6%,5,2022-08-01
40,Chris Bassitt,NYM,34.3%,65.9%,48.9%,75.0%,82.1%,79.4%,46.1%,58.7%,10.1%,18.9%,29.0%,5,2022-08-01
41,Jordan Lyles,BAL,34.2%,68.9%,48.3%,68.6%,91.4%,81.8%,40.5%,68.7%,8.8%,17.2%,26.0%,5,2022-08-01
42,Tyler Alexander,DET,34.2%,75.4%,51.9%,85.3%,86.2%,85.8%,43.1%,66.2%,7.4%,14.7%,22.1%,5,2022-08-01
43,Dean Kremer,BAL,34.0%,67.5%,49.1%,66.3%,89.6%,80.7%,45.0%,72.6%,9.5%,18.7%,28.2%,5,2022-08-01
44,Alex Wood,SFG,34.0%,71.5%,50.3%,62.4%,81.6%,74.2%,43.4%,62.5%,13.0%,14.5%,27.4%,5,2022-08-01
45,Lucas Giolito,CHW,33.9%,73.1%,49.6%,66.4%,86.5%,78.3%,40.1%,64.0%,10.8%,15.1%,25.9%,5,2022-08-01
46,Logan Webb,SFG,33.6%,63.3%,46.6%,60.2%,90.4%,78.1%,43.6%,70.9%,10.2%,19.3%,29.5%,5,2022-08-01
47,Luis Garcia,HOU,33.6%,66.7%,47.1%,64.1%,84.1%,75.7%,40.8%,58.4%,11.4%,18.1%,29.6%,5,2022-08-01
48,German Marquez,COL,33.3%,75.1%,52.1%,63.0%,88.8%,79.7%,44.9%,69.0%,10.6%,14.4%,25.0%,5,2022-08-01
49,Luis Castillo,SEA,33.3%,72.5%,51.4%,56.8%,78.5%,71.0%,46.1%,60.3%,14.9%,15.5%,30.4%,5,2022-08-01
50,Alek Manoah,TOR,33.3%,70.1%,47.3%,66.3%,87.8%,78.4%,38.2%,57.5%,10.2%,16.3%,26.5%,5,2022-08-01
51,Jameson Taillon,NYY,32.5%,67.8%,46.6%,67.0%,92.8%,82.0%,40.0%,56.7%,8.4%,16.2%,24.6%,5,2022-08-01
52,Jose Urena,COL,32.4%,70.0%,45.7%,74.8%,93.7%,85.0%,35.3%,56.4%,6.9%,14.3%,21.2%,5,2022-08-01
53,Edward Cabrera,MIA,32.1%,62.8%,43.0%,49.0%,86.4%,68.3%,35.4%,51.8%,13.6%,18.4%,32.0%,5,2022-08-01
54,Merrill Kelly,ARI,31.9%,69.0%,48.1%,72.1%,86.2%,81.0%,43.8%,62.0%,9.1%,18.3%,27.4%,5,2022-08-01
55,Gerrit Cole,NYY,31.7%,71.3%,47.7%,63.9%,84.0%,76.0%,40.4%,58.2%,11.4%,17.8%,29.3%,5,2022-08-01
56,Cal Quantrill,CLE,31.6%,70.8%,46.6%,73.0%,89.5%,82.6%,38.1%,64.1%,8.1%,16.2%,24.3%,5,2022-08-01
57,Nick Pivetta,BOS,31.6%,71.6%,48.4%,64.8%,82.6%,75.8%,41.9%,62.3%,11.7%,16.1%,27.8%,5,2022-08-01
58,Matt Manning,DET,31.6%,69.0%,49.5%,67.9%,83.4%,78.3%,47.9%,57.6%,10.8%,16.4%,27.2%,5,2022-08-01
59,Kutter Crawford,BOS,31.5%,67.3%,46.2%,59.3%,88.2%,76.7%,41.1%,65.2%,10.8%,16.9%,27.7%,5,2022-08-01
60,Freddy Peralta,MIL,31.4%,62.2%,43.6%,64.4%,81.2%,73.9%,39.6%,60.2%,11.4%,16.8%,28.2%,5,2022-08-01
