#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Kevin Gausman,TOR,56.5%,66.9%,61.1%,53.7%,78.8%,65.7%,43.7%,73.7%,20.9%,14.2%,35.1%,1,2022-04-01
2,Max Fried,ATL,43.0%,67.8%,51.7%,76.0%,80.5%,78.1%,35.2%,58.5%,11.3%,16.0%,27.3%,1,2022-04-01
3,Dylan Cease,CHW,40.7%,71.5%,51.8%,63.8%,76.3%,70.1%,36.0%,56.5%,15.5%,13.6%,29.1%,1,2022-04-01
4,Joe Musgrove,SDP,39.2%,60.8%,48.8%,62.2%,83.9%,74.3%,44.7%,68.4%,12.5%,21.9%,34.4%,1,2022-04-01
5,Pablo Lopez,MIA,38.8%,59.1%,47.4%,64.1%,76.1%,70.5%,42.6%,68.2%,14.0%,19.7%,33.7%,1,2022-04-01
6,Walker Buehler,LAD,38.6%,73.4%,52.3%,67.1%,84.8%,76.8%,39.4%,67.7%,12.1%,15.4%,27.5%,1,2022-04-01
7,Frankie Montas,OAK,38.3%,73.9%,50.9%,60.2%,85.7%,73.3%,35.3%,63.2%,13.6%,14.5%,28.1%,1,2022-04-01
8,Nathan Eovaldi,BOS,37.8%,76.1%,55.4%,61.1%,85.6%,76.5%,45.8%,65.8%,13.0%,15.5%,28.5%,1,2022-04-01
9,Kyle Wright,ATL,37.2%,61.4%,47.5%,53.2%,81.9%,69.0%,42.5%,69.6%,14.7%,19.7%,34.4%,1,2022-04-01
10,Carlos Rodon,SFG,37.1%,69.4%,50.5%,56.1%,78.0%,68.6%,41.5%,61.4%,15.9%,16.7%,32.5%,1,2022-04-01
11,Brad Keller,KCR,36.7%,71.6%,50.8%,71.2%,88.5%,81.1%,40.2%,61.1%,9.6%,14.1%,23.7%,1,2022-04-01
12,Max Scherzer,NYM,36.4%,69.5%,49.9%,62.2%,78.5%,71.4%,40.6%,64.9%,14.2%,17.4%,31.7%,1,2022-04-01
13,Shane McClanahan,TBR,36.4%,67.1%,49.4%,44.2%,76.7%,62.9%,42.3%,59.8%,18.3%,18.6%,36.9%,1,2022-04-01
14,Logan Webb,SFG,36.3%,66.3%,49.0%,69.1%,84.1%,77.7%,42.3%,62.7%,10.9%,17.8%,28.7%,1,2022-04-01
15,Clayton Kershaw,LAD,36.0%,62.3%,47.1%,60.3%,83.7%,73.4%,42.2%,65.9%,12.5%,18.7%,31.2%,1,2022-04-01
16,Alek Manoah,TOR,35.5%,75.2%,52.8%,58.3%,83.9%,74.2%,43.6%,64.9%,13.6%,13.3%,26.9%,1,2022-04-01
17,Shane Bieber,CLE,35.3%,73.7%,49.8%,52.6%,88.6%,72.7%,37.8%,61.4%,13.6%,14.5%,28.1%,1,2022-04-01
18,Sean Manaea,SDP,35.2%,71.7%,51.3%,62.5%,86.6%,77.4%,44.2%,69.4%,11.6%,15.4%,27.0%,1,2022-04-01
19,Tyler Mahle,CIN,35.0%,64.4%,45.5%,65.6%,83.3%,74.6%,35.9%,60.8%,11.6%,17.1%,28.7%,1,2022-04-01
20,Cole Irvin,OAK,34.9%,66.3%,49.2%,72.0%,88.5%,82.1%,45.5%,73.5%,8.8%,17.9%,26.7%,1,2022-04-01
21,Merrill Kelly,ARI,34.7%,65.3%,46.9%,65.6%,91.0%,79.6%,39.6%,64.9%,9.6%,18.9%,28.4%,1,2022-04-01
22,Carlos Carrasco,NYM,34.7%,68.7%,50.2%,57.4%,82.2%,72.8%,45.5%,60.0%,13.6%,16.4%,30.0%,1,2022-04-01
23,Eric Lauer,MIL,34.6%,71.0%,50.5%,65.3%,77.4%,72.7%,43.8%,54.8%,13.8%,16.2%,30.0%,1,2022-04-01
24,Justin Verlander,HOU,34.4%,77.9%,53.9%,73.8%,85.0%,81.1%,44.9%,68.1%,10.2%,16.0%,26.2%,1,2022-04-01
25,Corbin Burnes,MIL,34.3%,66.9%,46.3%,47.1%,73.2%,61.0%,36.9%,53.7%,18.1%,17.0%,35.1%,1,2022-04-01
26,Gerrit Cole,NYY,34.0%,66.9%,46.5%,49.4%,86.4%,69.7%,38.1%,53.0%,14.1%,16.8%,30.9%,1,2022-04-01
27,Dylan Bundy,MIN,34.0%,68.4%,50.8%,63.0%,82.7%,75.9%,48.9%,61.9%,12.2%,17.7%,29.9%,1,2022-04-01
28,Aaron Nola,PHI,33.8%,67.0%,48.4%,68.4%,83.1%,77.3%,44.2%,74.8%,11.0%,19.8%,30.8%,1,2022-04-01
29,Martin Perez,TEX,33.5%,55.1%,41.3%,70.3%,88.1%,78.9%,35.9%,67.5%,8.7%,20.8%,29.5%,1,2022-04-01
30,Chris Flexen,SEA,33.5%,74.6%,49.6%,61.4%,91.0%,78.8%,39.1%,60.4%,10.5%,13.7%,24.2%,1,2022-04-01
