#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
31,Jeffrey Springs,TBR,35.1%,68.6%,48.8%,64.2%,78.3%,72.3%,41.0%,61.3%,13.5%,16.1%,29.6%,3,6
32,Jameson Taillon,NYY,34.8%,70.3%,49.3%,73.3%,85.7%,80.5%,40.7%,66.9%,9.6%,16.7%,26.3%,3,6
33,Shane McClanahan,TBR,34.8%,64.9%,48.0%,52.7%,75.6%,66.2%,43.8%,57.4%,16.2%,19.4%,35.6%,3,6
34,Dylan Cease,CHW,34.5%,64.9%,45.3%,50.9%,74.2%,62.7%,35.5%,61.9%,16.9%,16.1%,33.0%,3,6
35,Dane Dunning,TEX,34.5%,68.4%,46.1%,70.9%,88.4%,79.8%,34.3%,60.3%,9.3%,16.3%,25.6%,3,6
36,Tarik Skubal,DET,34.2%,69.4%,49.0%,53.9%,89.3%,74.9%,41.9%,68.1%,12.3%,16.3%,28.5%,3,6
37,Shane Bieber,CLE,34.1%,66.1%,48.4%,42.3%,87.0%,69.5%,44.5%,70.1%,14.7%,20.5%,35.3%,3,6
38,Johnny Cueto,CHW,34.0%,72.8%,49.2%,66.4%,90.3%,80.2%,39.1%,70.2%,9.7%,15.2%,25.0%,3,6
39,Zach Davies,ARI,33.9%,61.7%,43.5%,74.0%,84.0%,78.9%,34.5%,52.8%,9.2%,20.0%,29.2%,3,6
40,Yu Darvish,SDP,33.8%,66.5%,48.6%,59.6%,84.3%,74.9%,45.3%,64.0%,12.2%,18.1%,30.3%,3,6
41,Joe Musgrove,SDP,33.6%,60.3%,45.4%,58.3%,89.1%,76.5%,44.5%,63.1%,10.7%,21.6%,32.2%,3,6
42,Sean Manaea,SDP,33.5%,69.5%,49.5%,61.4%,86.3%,76.9%,44.4%,61.9%,11.4%,15.6%,27.1%,3,6
43,Zack Wheeler,PHI,33.3%,68.1%,47.9%,64.9%,79.9%,73.8%,42.0%,68.1%,12.6%,17.5%,30.0%,3,6
44,Logan Webb,SFG,33.3%,61.5%,43.5%,67.3%,83.0%,75.3%,36.2%,60.0%,10.7%,18.3%,29.0%,3,6
45,Merrill Kelly,ARI,33.2%,67.2%,47.7%,68.1%,83.9%,77.6%,42.7%,58.2%,10.7%,17.6%,28.2%,3,6
46,Jose Urquidy,HOU,33.1%,72.0%,48.5%,67.0%,88.1%,79.4%,39.6%,63.9%,10.0%,16.8%,26.8%,3,6
47,Frankie Montas,OAK,32.9%,76.5%,50.5%,63.6%,85.3%,76.9%,40.4%,60.5%,11.7%,13.1%,24.8%,3,6
48,Cole Irvin,OAK,32.7%,71.5%,50.6%,68.5%,86.5%,80.2%,46.0%,64.2%,10.0%,15.6%,25.6%,3,6
49,Shohei Ohtani,LAA,32.7%,68.5%,47.7%,55.4%,84.2%,72.7%,41.9%,57.8%,13.0%,16.7%,29.8%,3,6
50,Keegan Thompson,CHC,32.7%,62.9%,44.2%,67.0%,90.7%,79.8%,37.9%,60.8%,8.9%,18.8%,27.7%,3,6
51,Justin Steele,CHC,32.5%,71.5%,51.2%,69.3%,88.9%,82.5%,48.1%,62.7%,9.0%,16.0%,24.9%,3,6
52,Ian Anderson,ATL,32.2%,74.4%,46.8%,59.6%,82.1%,72.0%,34.7%,62.1%,13.1%,13.3%,26.4%,3,6
53,Adam Wainwright,STL,32.0%,64.5%,46.1%,75.8%,87.1%,82.7%,43.3%,62.2%,8.0%,18.6%,26.5%,3,6
54,Michael Wacha,BOS,31.9%,74.1%,49.2%,75.3%,90.2%,84.5%,40.9%,67.5%,7.6%,14.4%,22.0%,3,6
55,Antonio Senzatela,COL,31.8%,70.8%,48.2%,71.4%,90.4%,83.2%,42.1%,57.8%,8.1%,15.4%,23.5%,3,6
56,Dean Kremer,BAL,31.6%,74.1%,48.4%,67.5%,87.8%,79.8%,39.6%,61.3%,9.8%,15.5%,25.3%,3,6
57,Tyler Wells,BAL,31.6%,73.4%,51.3%,72.3%,88.9%,83.5%,47.2%,61.8%,8.5%,14.6%,23.1%,3,6
58,Martin Perez,TEX,31.1%,69.5%,44.7%,75.8%,91.7%,84.5%,35.4%,56.1%,6.9%,19.3%,26.2%,3,6
59,Paul Blackburn,OAK,31.0%,61.3%,42.2%,75.3%,87.4%,81.8%,36.9%,58.3%,7.7%,19.6%,27.3%,3,6
60,Beau Brieske,DET,31.0%,76.0%,51.0%,83.8%,79.5%,80.9%,44.5%,64.5%,9.7%,14.4%,24.1%,3,6
