#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
61,Tyler Mahle,CIN,30.9%,69.4%,46.6%,63.3%,79.6%,73.2%,40.9%,66.2%,12.5%,18.3%,30.8%,3,2022-06-01
62,Kyle Freeland,COL,30.8%,73.9%,47.1%,71.9%,89.2%,82.2%,37.8%,61.5%,8.4%,14.6%,23.0%,3,2022-06-01
63,Chris Flexen,SEA,30.7%,73.2%,46.7%,71.2%,90.7%,82.7%,37.7%,58.3%,8.1%,13.4%,21.5%,3,2022-06-01
64,Alek Manoah,TOR,30.6%,62.5%,45.4%,70.5%,88.0%,81.7%,46.3%,57.4%,8.3%,19.6%,27.9%,3,2022-06-01
65,Eric Lauer,MIL,30.4%,68.1%,47.4%,76.3%,89.1%,84.6%,45.1%,66.9%,7.3%,17.7%,25.1%,3,2022-06-01
66,Luis Severino,NYY,30.1%,71.0%,47.8%,58.5%,82.3%,73.8%,43.2%,62.9%,12.5%,16.5%,29.0%,3,2022-06-01
67,Rich Hill,BOS,30.1%,64.2%,45.7%,60.9%,88.7%,78.8%,45.7%,58.6%,9.7%,21.1%,30.8%,3,2022-06-01
68,Framber Valdez,HOU,30.1%,61.9%,45.0%,58.7%,89.6%,78.6%,46.7%,56.6%,9.6%,19.9%,29.5%,3,2022-06-01
69,Tony Gonsolin,LAD,29.9%,74.2%,48.6%,57.9%,82.6%,73.8%,42.3%,57.4%,12.7%,14.1%,26.8%,3,2022-06-01
70,Luis Castillo,CIN,29.9%,66.8%,46.1%,55.4%,82.6%,72.7%,43.9%,58.2%,12.6%,16.6%,29.1%,3,2022-06-01
71,Hunter Greene,CIN,29.9%,72.8%,48.1%,54.3%,80.7%,71.3%,42.5%,63.0%,13.8%,14.7%,28.5%,3,2022-06-01
72,Chris Bassitt,NYM,29.8%,65.1%,47.1%,72.0%,84.7%,80.6%,48.9%,57.7%,9.1%,18.9%,28.0%,3,2022-06-01
73,Charlie Morton,ATL,29.3%,67.6%,45.1%,50.0%,82.1%,69.9%,41.3%,48.4%,13.6%,18.4%,31.9%,3,2022-06-01
74,Jordan Lyles,BAL,29.3%,70.7%,45.2%,60.5%,89.2%,77.8%,38.5%,56.9%,10.0%,16.1%,26.2%,3,2022-06-01
75,Miles Mikolas,STL,29.3%,62.8%,43.7%,67.4%,87.1%,79.6%,43.1%,60.9%,8.9%,20.5%,29.4%,3,2022-06-01
76,Brady Singer,KCR,28.9%,63.2%,44.5%,60.9%,92.9%,81.6%,45.7%,59.3%,8.2%,19.8%,28.0%,3,2022-06-01
77,Adrian Houser,MIL,28.8%,70.9%,44.3%,76.5%,94.3%,87.0%,36.9%,53.0%,5.8%,15.0%,20.8%,3,2022-06-01
78,German Marquez,COL,28.8%,67.1%,44.9%,62.2%,92.8%,81.5%,42.1%,67.8%,8.3%,17.9%,26.2%,3,2022-06-01
79,Lucas Giolito,CHW,28.7%,75.3%,47.5%,58.2%,85.7%,75.8%,40.3%,57.9%,11.5%,15.0%,26.5%,3,2022-06-01
80,Kyle Wright,ATL,28.7%,68.3%,46.9%,63.6%,82.7%,76.4%,46.0%,61.4%,11.1%,17.4%,28.5%,3,2022-06-01
81,Nick Pivetta,BOS,28.4%,68.8%,47.2%,68.8%,85.7%,80.3%,46.6%,55.9%,9.3%,18.0%,27.3%,3,2022-06-01
82,Logan Gilbert,SEA,28.0%,76.8%,50.8%,63.6%,85.4%,79.0%,46.8%,64.2%,10.7%,14.2%,24.9%,3,2022-06-01
83,Chad Kuhl,COL,27.9%,73.8%,46.5%,70.0%,87.5%,81.3%,40.5%,63.7%,8.7%,15.5%,24.2%,3,2022-06-01
84,Dakota Hudson,STL,27.9%,66.7%,44.3%,66.7%,91.1%,82.3%,42.3%,58.7%,7.9%,16.1%,23.9%,3,2022-06-01
85,Jason Alexander,MIL,27.6%,61.6%,41.2%,81.0%,91.5%,87.2%,39.9%,65.2%,5.3%,19.7%,25.0%,3,2022-06-01
86,Madison Bumgarner,ARI,27.1%,73.7%,47.4%,74.7%,86.4%,82.6%,43.5%,55.5%,8.2%,15.0%,23.2%,3,2022-06-01
87,Ranger Suarez,PHI,26.5%,67.5%,44.1%,72.2%,92.8%,85.8%,43.1%,57.8%,6.3%,17.2%,23.4%,3,2022-06-01
88,Rony Garcia,DET,26.1%,71.8%,45.6%,70.5%,87.2%,81.7%,42.6%,62.4%,8.3%,16.9%,25.2%,3,2022-06-01
89,Andre Pallante,STL,24.9%,71.8%,46.3%,65.0%,89.7%,82.4%,45.6%,59.0%,8.1%,15.3%,23.5%,3,2022-06-01
