#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
61,Nick Pivetta,BOS,29.4%,74.4%,48.9%,67.9%,85.0%,79.2%,43.4%,57.1%,10.2%,13.3%,23.5%,6,9
62,Ranger Suarez,PHI,29.2%,71.7%,45.0%,71.0%,85.1%,79.3%,37.0%,54.7%,9.3%,16.2%,25.5%,6,9
63,Jon Heasley,KCR,28.7%,73.6%,47.4%,79.5%,90.7%,86.8%,41.7%,55.6%,6.3%,13.7%,19.9%,6,9
64,Kyle Bradish,BAL,26.9%,69.9%,44.2%,64.6%,88.5%,79.9%,40.4%,58.0%,8.9%,16.2%,25.1%,6,9
65,Chris Bassitt,NYM,26.0%,66.8%,44.7%,78.7%,85.9%,83.6%,45.9%,62.2%,7.3%,19.4%,26.7%,6,9
