#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Aaron Nola,PHI,41.8%,71.1%,53.5%,60.2%,88.4%,75.1%,39.8%,73.0%,13.3%,17.4%,30.7%,4,7
2,Braxton Garrett,MIA,40.8%,60.2%,49.1%,52.9%,92.9%,73.8%,42.7%,67.5%,12.8%,19.5%,32.3%,4,7
3,Jon Gray,TEX,39.0%,63.8%,49.0%,62.3%,81.6%,72.4%,40.2%,72.0%,13.5%,18.2%,31.8%,4,7
4,Patrick Sandoval,LAA,39.0%,70.6%,50.1%,59.8%,80.0%,69.8%,35.2%,54.3%,15.1%,13.0%,28.1%,4,7
5,Alek Manoah,TOR,39.0%,73.8%,53.8%,57.5%,88.6%,75.7%,42.6%,61.5%,13.1%,12.7%,25.7%,4,7
6,Kutter Crawford,BOS,38.7%,64.9%,50.6%,69.8%,82.5%,77.2%,45.5%,67.0%,11.5%,18.2%,29.7%,4,7
7,Zack Wheeler,PHI,38.5%,74.5%,53.5%,78.6%,83.9%,81.6%,41.7%,68.3%,9.8%,14.0%,23.8%,4,7
8,Jose Berrios,TOR,38.4%,65.5%,49.6%,65.9%,89.2%,78.6%,41.4%,68.5%,10.6%,20.1%,30.8%,4,7
9,Corey Kluber,TBR,38.4%,68.0%,51.2%,66.3%,85.7%,77.5%,43.2%,66.2%,11.5%,17.6%,29.1%,4,7
10,Carlos Carrasco,NYM,38.3%,73.1%,51.8%,56.4%,85.7%,72.4%,38.8%,70.9%,14.3%,12.4%,26.7%,4,7
11,Shane McClanahan,TBR,38.1%,65.2%,50.6%,52.7%,74.1%,65.4%,45.9%,67.5%,17.5%,17.5%,35.0%,4,7
12,Sandy Alcantara,MIA,38.1%,73.3%,53.0%,63.4%,88.7%,78.2%,42.5%,67.9%,11.5%,14.7%,26.2%,4,7
13,Robbie Ray,SEA,38.0%,78.8%,53.3%,63.9%,82.1%,74.0%,37.4%,64.5%,13.9%,12.6%,26.4%,4,7
14,Tyler Anderson,LAD,37.9%,68.5%,51.1%,66.0%,83.9%,76.4%,43.1%,50.8%,12.1%,16.8%,28.9%,4,7
15,Dylan Bundy,MIN,37.6%,73.2%,53.4%,65.8%,87.8%,79.2%,44.4%,65.3%,11.1%,16.7%,27.8%,4,7
16,Marco Gonzales,SEA,37.1%,78.9%,53.3%,81.2%,89.6%,86.0%,38.6%,58.5%,7.4%,14.2%,21.7%,4,7
17,Jordan Montgomery,NYY,37.1%,71.1%,51.5%,58.5%,81.3%,71.9%,42.5%,73.8%,14.5%,16.7%,31.2%,4,7
18,Tony Gonsolin,LAD,37.0%,69.1%,52.1%,60.4%,82.7%,74.3%,46.9%,64.5%,13.4%,17.1%,30.5%,4,7
19,Jake Odorizzi,HOU,36.9%,78.0%,55.1%,71.0%,85.9%,80.3%,44.2%,63.2%,10.8%,13.7%,24.6%,4,7
20,Shohei Ohtani,LAA,36.8%,66.7%,50.6%,39.7%,75.4%,61.5%,46.3%,62.7%,19.5%,17.2%,36.7%,4,7
21,Jose Urquidy,HOU,36.8%,73.9%,53.5%,71.8%,90.0%,83.2%,45.1%,65.6%,9.0%,14.9%,23.9%,4,7
22,German Marquez,COL,36.7%,69.2%,50.6%,61.8%,90.3%,78.5%,42.8%,62.8%,10.9%,14.8%,25.7%,4,7
23,Nestor Cortes,NYY,36.6%,70.8%,50.6%,68.1%,84.1%,77.3%,40.9%,63.2%,11.5%,16.8%,28.3%,4,7
24,Cole Irvin,OAK,36.5%,72.4%,52.1%,79.5%,88.1%,84.7%,43.4%,61.8%,8.0%,16.2%,24.2%,4,7
25,Max Scherzer,NYM,36.1%,68.7%,50.9%,52.2%,75.2%,66.2%,45.3%,70.6%,17.2%,18.5%,35.6%,4,7
26,Jose Quintana,PIT,36.1%,66.9%,47.4%,66.3%,95.4%,81.4%,36.8%,58.6%,8.8%,16.3%,25.1%,4,7
27,Kyle Wright,ATL,35.8%,66.4%,50.3%,54.2%,86.4%,74.4%,47.6%,69.5%,12.9%,20.5%,33.4%,4,7
28,Gerrit Cole,NYY,35.4%,64.8%,47.4%,62.1%,79.5%,71.8%,40.7%,61.3%,13.4%,18.8%,32.1%,4,7
29,Luis Castillo,CIN,35.4%,70.2%,51.1%,66.7%,82.6%,76.5%,45.1%,58.2%,12.0%,15.8%,27.8%,4,7
30,Adrian Sampson,CHC,35.3%,70.1%,48.1%,72.1%,89.2%,81.2%,36.6%,55.7%,9.0%,14.8%,23.8%,4,7
