#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
31,Glenn Otto,TEX,34.4%,70.0%,49.1%,57.1%,89.4%,76.2%,41.4%,51.3%,11.7%,13.8%,25.5%,6,2022-09-01
32,Shohei Ohtani,LAA,34.3%,71.5%,49.8%,58.3%,85.4%,74.5%,41.6%,60.6%,12.7%,14.6%,27.4%,6,2022-09-01
33,Merrill Kelly,ARI,34.3%,70.7%,49.2%,72.9%,83.8%,79.3%,41.0%,61.8%,10.2%,15.7%,25.8%,6,2022-09-01
34,Lance McCullers Jr.,HOU,34.2%,61.5%,44.5%,52.8%,91.3%,72.9%,37.6%,55.5%,12.1%,18.5%,30.6%,6,2022-09-01
35,Joe Musgrove,SDP,34.2%,60.3%,44.4%,62.2%,88.1%,75.9%,39.1%,66.9%,10.7%,19.7%,30.3%,6,2022-09-01
36,Brayan Bello,BOS,33.9%,65.5%,45.8%,55.3%,87.2%,72.5%,37.7%,64.3%,12.6%,16.3%,28.9%,6,2022-09-01
37,Charlie Morton,ATL,33.9%,61.8%,44.6%,53.9%,87.8%,72.0%,38.5%,65.0%,12.5%,20.1%,32.7%,6,2022-09-01
38,Brandon Woodruff,MIL,33.8%,69.3%,49.0%,53.4%,79.1%,69.0%,42.8%,64.9%,15.2%,17.1%,32.3%,6,2022-09-01
39,Rich Hill,BOS,33.6%,69.4%,48.8%,69.6%,84.1%,78.4%,42.4%,63.6%,10.6%,17.8%,28.4%,6,2022-09-01
40,Jameson Taillon,NYY,33.5%,70.5%,48.3%,57.9%,88.8%,75.9%,40.0%,67.3%,11.6%,18.1%,29.8%,6,2022-09-01
41,Pablo Lopez,MIA,33.3%,73.2%,49.1%,69.7%,81.4%,76.6%,39.4%,67.9%,11.5%,14.8%,26.3%,6,2022-09-01
42,Adrian Sampson,CHC,33.2%,72.6%,47.7%,68.3%,92.9%,82.1%,36.8%,58.1%,8.5%,14.9%,23.4%,6,2022-09-01
43,Alek Manoah,TOR,33.2%,66.0%,47.2%,58.8%,91.1%,78.1%,42.7%,61.3%,10.4%,18.4%,28.7%,6,2022-09-01
44,Logan Gilbert,SEA,33.1%,73.0%,50.1%,67.6%,80.7%,75.7%,42.5%,63.1%,12.2%,13.4%,25.6%,6,2022-09-01
45,Robbie Ray,SEA,32.9%,78.5%,53.0%,69.9%,89.2%,82.5%,44.1%,60.3%,9.3%,12.7%,22.0%,6,2022-09-01
46,Julio Urias,LAD,32.8%,68.6%,48.9%,70.2%,86.4%,80.5%,45.1%,62.1%,9.6%,18.2%,27.7%,6,2022-09-01
47,Blake Snell,SDP,32.4%,71.6%,46.2%,43.2%,83.4%,65.2%,35.3%,64.9%,16.1%,14.4%,30.5%,6,2022-09-01
48,Taijuan Walker,NYM,32.4%,69.9%,47.8%,56.4%,86.9%,74.8%,41.2%,64.1%,12.1%,16.9%,29.0%,6,2022-09-01
49,Bryse Wilson,PIT,31.8%,69.9%,48.5%,70.6%,92.5%,84.4%,43.9%,65.5%,7.6%,16.6%,24.2%,6,2022-09-01
50,Miles Mikolas,STL,31.6%,66.8%,49.0%,70.9%,85.9%,81.0%,49.3%,65.9%,9.3%,17.9%,27.2%,6,2022-09-01
51,Jesus Luzardo,MIA,31.5%,65.4%,44.9%,52.7%,81.2%,69.1%,39.5%,63.3%,13.9%,18.4%,32.2%,6,2022-09-01
52,Kyle Freeland,COL,30.9%,71.4%,48.9%,67.4%,90.3%,82.3%,44.5%,67.4%,8.7%,17.0%,25.6%,6,2022-09-01
53,Brady Singer,KCR,30.8%,62.2%,44.7%,66.7%,93.1%,82.9%,44.3%,63.8%,7.6%,21.6%,29.2%,6,2022-09-01
54,Ken Waldichuk,OAK,30.2%,76.0%,50.7%,61.2%,84.9%,77.1%,44.7%,61.6%,11.6%,13.5%,25.1%,6,2022-09-01
55,Framber Valdez,HOU,30.1%,68.4%,47.4%,43.3%,87.2%,71.8%,45.0%,59.9%,13.3%,16.9%,30.3%,6,2022-09-01
56,Alex Cobb,SFG,30.0%,62.6%,44.4%,57.0%,85.8%,74.9%,44.0%,61.1%,11.1%,18.3%,29.5%,6,2022-09-01
57,Mitch Keller,PIT,29.7%,63.9%,44.6%,67.0%,85.9%,78.8%,43.5%,56.9%,9.4%,18.9%,28.3%,6,2022-09-01
58,Martin Perez,TEX,29.6%,73.7%,45.2%,76.6%,84.2%,81.0%,35.4%,66.7%,8.6%,17.1%,25.7%,6,2022-09-01
59,German Marquez,COL,29.5%,70.8%,48.4%,53.7%,86.8%,75.9%,45.9%,64.4%,11.7%,15.8%,27.4%,6,2022-09-01
60,Luis Cessa,CIN,29.5%,66.4%,45.3%,66.3%,89.7%,81.0%,43.0%,62.0%,8.6%,17.9%,26.5%,6,2022-09-01
