#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
31,Lance Lynn,CHW,35.3%,72.2%,50.4%,71.7%,85.4%,79.7%,41.1%,61.9%,10.2%,15.1%,25.3%,4,7
32,Max Fried,ATL,35.2%,71.4%,49.5%,74.0%,87.7%,81.8%,39.4%,56.6%,9.0%,14.1%,23.1%,4,7
33,Logan Gilbert,SEA,35.0%,77.0%,53.6%,63.0%,84.5%,76.7%,44.3%,70.0%,12.5%,12.9%,25.4%,4,7
34,Pablo Lopez,MIA,34.7%,68.9%,47.9%,67.0%,80.3%,74.3%,38.4%,54.3%,12.3%,15.5%,27.7%,4,7
35,James Kaprielian,OAK,34.3%,70.2%,49.4%,64.3%,88.8%,78.9%,42.1%,64.5%,10.4%,14.9%,25.3%,4,7
36,Jose Urena,COL,34.2%,72.1%,46.7%,76.5%,90.6%,83.7%,33.0%,59.8%,7.6%,13.7%,21.3%,4,7
37,Spencer Strider,ATL,34.2%,71.5%,50.3%,58.9%,77.6%,70.4%,43.2%,62.9%,14.9%,14.5%,29.4%,4,7
38,Dylan Cease,CHW,34.2%,64.3%,45.0%,44.3%,83.9%,64.6%,35.7%,55.6%,15.9%,16.3%,32.2%,4,7
39,Yu Darvish,SDP,33.8%,66.3%,49.9%,66.3%,82.5%,76.9%,49.5%,70.6%,11.5%,19.6%,31.1%,4,7
40,Zac Gallen,ARI,33.7%,67.6%,46.5%,73.5%,87.4%,81.1%,37.7%,63.2%,8.8%,17.1%,25.9%,4,7
41,Clayton Kershaw,LAD,33.3%,70.2%,49.3%,51.1%,88.9%,74.4%,43.2%,71.0%,12.6%,18.7%,31.4%,4,7
42,Johnny Cueto,CHW,32.8%,69.1%,46.8%,86.1%,91.0%,88.9%,38.6%,58.5%,5.2%,16.9%,22.1%,4,7
43,Blake Snell,SDP,32.7%,69.8%,47.2%,52.0%,81.3%,69.0%,39.0%,67.3%,14.6%,13.8%,28.5%,4,7
44,Brandon Woodruff,MIL,32.6%,63.5%,45.5%,50.5%,78.8%,67.0%,41.7%,59.3%,15.0%,19.2%,34.3%,4,7
45,Carlos Rodon,SFG,32.4%,70.0%,49.4%,50.5%,80.1%,69.5%,45.3%,60.4%,15.1%,16.9%,32.0%,4,7
46,Charlie Morton,ATL,32.4%,65.4%,46.1%,56.4%,79.1%,69.7%,41.4%,55.1%,13.9%,17.0%,30.9%,4,7
47,Madison Bumgarner,ARI,32.4%,72.4%,49.7%,78.3%,91.7%,86.7%,43.3%,70.5%,6.6%,15.7%,22.3%,4,7
48,Triston McKenzie,CLE,32.4%,70.9%,48.5%,62.9%,86.5%,77.4%,42.0%,53.6%,11.0%,15.8%,26.8%,4,7
49,Aaron Ashby,MIL,32.2%,57.9%,43.1%,52.9%,84.1%,70.7%,42.5%,61.7%,12.6%,21.1%,33.8%,4,7
50,Taijuan Walker,NYM,32.1%,63.8%,44.2%,75.5%,88.3%,82.6%,38.1%,61.0%,7.7%,19.5%,27.2%,4,7
51,Tyler Wells,BAL,32.1%,70.0%,47.7%,69.2%,77.3%,74.1%,41.2%,60.0%,12.3%,16.0%,28.3%,4,7
52,Kyle Gibson,PHI,31.6%,69.1%,47.7%,74.7%,89.2%,83.7%,42.9%,58.3%,7.8%,16.2%,24.0%,4,7
53,Julio Urias,LAD,31.6%,66.7%,48.3%,74.6%,88.2%,83.6%,47.6%,69.7%,7.9%,19.1%,27.0%,4,7
54,Mitch Keller,PIT,31.5%,64.4%,45.8%,68.4%,88.8%,80.9%,43.6%,54.8%,8.8%,18.4%,27.2%,4,7
55,Chris Bassitt,NYM,31.3%,68.1%,48.5%,58.5%,79.8%,72.5%,46.7%,65.0%,13.3%,18.2%,31.5%,4,7
56,Corbin Burnes,MIL,31.0%,70.4%,45.0%,50.5%,80.2%,66.9%,35.4%,54.5%,14.9%,16.0%,30.9%,4,7
57,Chris Flexen,SEA,31.0%,79.0%,48.9%,65.5%,93.9%,82.6%,37.3%,56.4%,8.5%,12.7%,21.2%,4,7
58,Martin Perez,TEX,31.0%,69.6%,43.5%,71.2%,89.3%,80.6%,32.4%,63.4%,8.5%,17.7%,26.2%,4,7
59,Josiah Gray,WSN,30.7%,68.3%,44.8%,46.7%,84.6%,68.4%,37.5%,57.5%,14.1%,15.8%,29.9%,4,7
60,Alex Cobb,SFG,30.5%,61.0%,42.7%,66.7%,91.2%,80.7%,40.0%,63.5%,8.3%,20.3%,28.5%,4,7
