#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
31,Logan Gilbert,SEA,1.1,0.3, ,0.5,1.1, , ,0.35,0.21, ,0.75,2.10, , ,2,5
32,Alex Cobb,SFG,0.8, , ,-2.5,-1.1, , ,0.39, , ,-3.07,-0.58, , ,2,5
33,JT Brubaker,PIT,0.7,0.3, ,1.3,-0.9, , ,0.31,0.17, ,3.52,-5.16, , ,2,5
34,Justin Verlander,HOU,0.7,0.8, ,3.0,0.4, , ,0.29,0.49, ,3.37,3.43, , ,2,5
35,Erick Fedde,WSN,0.6,-1.2,1.0, ,-0.7, , ,0.33,-0.83,0.55, ,-10.89, , ,2,5
36,Framber Valdez,HOU,0.6, ,1.0,5.7,2.3, , ,0.17, ,2.06,3.46,3.07, , ,2,5
37,Alek Manoah,TOR,0.4,0.1, , ,0.6, , ,0.16,0.05, , ,1.26, , ,2,5
38,Lucas Giolito,CHW,0.4,-2.7, ,0.7,-1.0, , ,0.17,-2.30, ,3.54,-0.88, , ,2,5
39,Tyler Wells,BAL,0.3,0.5,2.7,-0.4,2.4, , ,0.17,0.87,2.52,-1.60,2.68, , ,2,5
40,Jordan Montgomery,NYY,0.3, ,1.5,1.6,-1.1, , ,0.11, ,5.26,1.80,-0.88, , ,2,5
41,Jordan Lyles,BAL,0.2,-1.4, ,0.8,-0.2, , ,0.08,-0.91, ,1.17,-0.20, , ,2,5
42,Zach Davies,ARI,-0.1, ,0.0,-2.1,-0.6, , ,-0.05, ,0.04,-4.88,-0.31, , ,2,5
43,Kyle Freeland,COL,-0.3,0.6, ,-0.5,-3.2, , ,-0.12,0.47, ,-0.49,-4.43, , ,2,5
44,Pablo Lopez,MIA,-0.3, ,-1.7,-0.1,3.7, , ,-0.14, ,-1.71,-0.38,1.72, , ,2,5
45,Zach Plesac,CLE,-0.3,-1.5, ,-0.7,-0.8, , ,-0.17,-1.40, ,-1.74,-0.85, , ,2,5
46,Patrick Sandoval,LAA,-0.4,3.7, ,-0.2,-0.7, , ,-0.24,2.76, ,-0.57,-0.66, , ,2,5
47,Zac Gallen,ARI,-0.7,-1.9,2.1,1.8,2.5, , ,-0.26,-4.14,3.65,1.88,2.16, , ,2,5
48,Kyle Hendricks,CHC,-0.8, , ,-1.5,-0.5, , ,-0.32, , ,-2.60,-0.41, , ,2,5
49,Logan Webb,SFG,-0.9,1.6, , ,4.1, , ,-0.51,1.04, , ,2.92, , ,2,5
50,Chris Bassitt,NYM,-1.0,-3.7,0.6,-1.0,-0.5, , ,-0.35,-4.01,0.57,-1.73,-0.99, , ,2,5
51,Robbie Ray,SEA,-1.0,0.3, ,-0.5, , , ,-0.39,0.15, ,-12.00, , , ,2,5
52,Kyle Wright,ATL,-1.3,0.9, ,0.1,2.4, , ,-0.63,2.17, ,0.04,3.54, , ,2,5
53,Nathan Eovaldi,BOS,-1.6,-2.2,-2.6,-3.1, ,4.0, ,-0.87,-3.75,-6.72,-4.17, ,4.50, ,2,5
54,Tyler Mahle,CIN,-1.9,-2.2,-0.3, , ,3.9, ,-0.60,-2.44,-0.61, , ,2.39, ,2,5
55,Humberto Castellanos,ARI,-2.0,-1.8,-1.7, ,-0.8, , ,-0.93,-1.89,-1.19, ,-1.41, , ,2,5
56,Max Fried,ATL,-2.0,2.7, ,-0.2,0.5, , ,-0.81,2.11, ,-0.15,0.60, , ,2,5
57,Sandy Alcantara,MIA,-2.1,5.3, ,0.1,3.5, , ,-0.73,3.58, ,4.86,1.95, , ,2,5
58,Corbin Burnes,MIL,-2.6,1.8,5.7,3.8,-1.5, , ,-5.86,2.53,1.84,2.99,-3.78, , ,2,5
59,Carlos Rodon,SFG,-2.7,0.1, ,-0.6, , , ,-0.86,0.04, ,-2.39, , , ,2,5
60,Shane Bieber,CLE,-2.8,0.4,1.8,-1.0,0.1, , ,-1.92,0.37,3.12,-1.59,0.93, , ,2,5
