#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
1,Zac Gallen,ARI,9.1,0.5,3.3,-1.3,3.9, , ,3.68,0.92,4.30,-0.96,5.99, , ,5,8
2,Justin Verlander,HOU,8.7,-0.4, ,1.8,-0.3, , ,3.70,-0.39, ,1.88,-2.59, , ,5,8
3,Jacob deGrom,NYM,7.5,6.2, ,0.6,0.2, , ,3.32,2.88, ,3.82,0.93, , ,5,8
4,Drew Rasmussen,TBR,7.2,0.5,1.0,0.1, , , ,3.31,0.55,0.74,0.21, , , ,5,8
5,Jordan Montgomery,STL,6.1, , ,1.6,1.8, , ,2.14, , ,1.78,2.11, , ,5,8
6,Anibal Sanchez,WSN,5.3,-2.4,-2.4,-1.4,-0.5, , ,2.48,-8.13,-1.70,-5.00,-0.41, , ,5,8
7,Merrill Kelly,ARI,5.0, ,-0.8,-0.8,0.7, , ,1.80, ,-1.41,-1.39,0.82, , ,5,8
8,George Kirby,SEA,4.9,1.2, ,-1.7,-0.1, , ,1.85,1.76, ,-2.72,-0.39, , ,5,8
9,Joe Ryan,MIN,4.9,-4.0, ,1.1,-1.7, , ,1.29,-4.26, ,3.40,-2.91, , ,5,8
10,Lance Lynn,CHW,4.7, ,0.0,1.7,-1.2, , ,1.47, ,-0.02,2.69,-6.93, , ,5,8
11,Alek Manoah,TOR,4.6,-1.1, , ,-1.3, , ,1.53,-0.75, , ,-3.01, , ,5,8
12,Luis Castillo,SEA,4.6,0.4, , ,-1.6, , ,1.43,0.37, , ,-1.50, , ,5,8
13,Triston McKenzie,CLE,4.4,-1.0, ,3.4, , , ,1.45,-0.76, ,2.33, , , ,5,8
14,Mike Clevinger,SDP,4.3,-4.8,1.2,-0.9,-0.9, , ,1.29,-5.19,1.56,-5.99,-3.27, , ,5,8
15,Julio Urias,LAD,4.3, , ,3.1,0.9, , ,1.70, , ,2.44,1.00, , ,5,8
16,Blake Snell,SDP,4.0,1.2, ,-2.1,-0.5, , ,1.16,0.90, ,-2.20,-3.23, , ,5,8
17,Patrick Sandoval,LAA,3.9,4.4, ,1.2,-0.8, , ,2.44,2.74, ,3.26,-0.76, , ,5,8
18,Drew Smyly,CHC,3.9, ,1.0,2.0, , , ,1.86, ,1.88,0.94, , , ,5,8
19,Robbie Ray,SEA,3.9,3.2, ,0.0, , , ,1.22,1.58, ,-0.76, , , ,5,8
20,Jose Urquidy,HOU,3.8,-1.2, ,-1.0,1.5, , ,1.68,-1.31, ,-1.13,1.80, , ,5,8
21,Matt Manning,DET,3.7,0.0, ,-1.0,-3.5, , ,1.26,-0.02, ,-1.78,-11.51, , ,5,8
22,Johnny Cueto,CHW,3.7,0.7,-1.8,0.0,-0.5, , ,1.52,1.10,-2.07,-0.75,-0.50, , ,5,8
23,Max Scherzer,NYM,3.6,5.7,-1.1,2.2,-2.7, , ,1.28,3.57,-2.08,4.10,-3.97, , ,5,8
24,Jose Quintana,STL,3.3,0.4, ,-0.4,-2.5, , ,1.04,6.89, ,-0.31,-4.84, , ,5,8
25,Gerrit Cole,NYY,2.9,4.8,0.0,-1.7,-2.0, , ,0.78,3.78,-0.35,-2.31,-4.35, , ,5,8
26,Logan Webb,SFG,2.9,-4.4, , ,1.1, , ,1.39,-2.59, , ,0.59, , ,5,8
27,Domingo German,NYY,2.7, , ,1.8,2.0, , ,1.35, , ,0.99,1.71, , ,5,8
28,Eric Lauer,MIL,2.6,0.5,-0.7,1.1,-2.7, , ,1.19,0.57,-0.65,1.52,-17.72, , ,5,8
29,Carlos Rodon,SFG,2.6,0.7, ,0.4,0.1, , ,0.90,0.45, ,1.20,0.85, , ,5,8
30,Jesus Luzardo,MIA,2.6,-0.4, , ,7.2, , ,1.06,-0.25, , ,4.39, , ,5,8
