#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
31,Johnny Cueto,CHW,1.6,-1.6,0.1,1.1,2.6, , ,0.83,-2.13,0.09,21.27,2.10, , ,4,7
32,Shane McClanahan,TBR,1.6,2.1, ,3.4, ,1.3, ,1.16,3.45, ,3.11, ,0.89, ,4,7
33,Kutter Crawford,BOS,1.6,1.4,1.9,1.6,-1.2, , ,1.24,4.62,1.43,1.78,-4.65, , ,4,7
34,Sandy Alcantara,MIA,1.6,1.6, ,-0.1,4.1, , ,0.59,1.83, ,-3.65,2.63, , ,4,7
35,Jose Urena,COL,1.5,0.1, , ,-3.9, , ,0.53,0.18, , ,-5.40, , ,4,7
36,Eric Lauer,MIL,1.2,2.0,-0.5,-1.6,0.1, , ,0.48,4.44,-0.58,-1.85,0.26, , ,4,7
37,Jordan Montgomery,NYY,1.1, ,-2.1,-1.5,0.0, , ,0.41, ,-19.54,-1.18,0.00, , ,4,7
38,Madison Bumgarner,ARI,1.0,-2.9, ,-0.2,1.2, , ,0.55,-1.79, ,-0.23,1.81, , ,4,7
39,Marco Gonzales,SEA,0.9, ,-2.4,0.3,-2.8, , ,0.61, ,-3.27,0.45,-1.85, , ,4,7
40,Logan Gilbert,SEA,0.9,-0.9, ,-0.5,-1.2, , ,0.39,-0.75, ,-0.57,-3.61, , ,4,7
41,Brady Singer,KCR,0.7,3.8, , ,0.9, , ,0.26,2.07, , ,2.29, , ,4,7
42,Taijuan Walker,NYM,0.6,0.0,0.0,0.3, ,2.5, ,0.27,0.00,0.18,0.98, ,1.98, ,4,7
43,Yu Darvish,SDP,0.5,2.2,0.1,-1.9,-0.1,2.3, ,0.29,2.62,0.03,-4.30,-1.05,7.05, ,4,7
44,Chris Flexen,SEA,0.2,2.3,-0.6,0.1,0.7, , ,0.12,3.21,-0.40,1.79,1.24, , ,4,7
45,Zach Thompson,PIT,0.1, ,-1.8,-0.3,-1.7, , ,0.06, ,-0.98,-0.48,-4.10, , ,4,7
46,Mitch Keller,PIT,0.0,4.3, ,-1.3,-1.1, , ,0.00,3.57, ,-2.26,-4.05, , ,4,7
47,Kris Bubic,KCR,0.0, , ,1.3,-1.1, , ,-0.01, , ,1.14,-0.78, , ,4,7
48,Dylan Bundy,MIN,0.0,2.2, ,0.0,-2.9, , ,-0.02,2.45, ,-0.15,-3.47, , ,4,7
49,Framber Valdez,HOU,-0.2, ,2.0,2.6,0.6, , ,-0.06, ,3.16,1.59,3.14, , ,4,7
50,Charlie Morton,ATL,-0.2, ,0.6,3.6,0.7, , ,-0.10, ,0.85,1.88,1.50, , ,4,7
51,Jordan Lyles,BAL,-0.3,0.9,-0.2,-2.4,-0.9, , ,-0.09,0.72,-1.08,-3.52,-1.64, , ,4,7
52,Glenn Otto,TEX,-0.3,-0.4, ,-0.9,1.2, , ,-0.15,-0.40, ,-1.03,2.18, , ,4,7
53,Adam Wainwright,STL,-0.3, ,-0.4,0.3,1.4, , ,-0.14, ,-0.33,0.22,6.76, , ,4,7
54,Tony Gonsolin,LAD,-0.4,-1.2, ,1.3, ,2.1, ,-0.22,-1.40, ,2.37, ,1.59, ,4,7
55,Kyle Wright,ATL,-1.1,0.2, ,1.6,-1.6, , ,-0.62,0.88, ,0.87,-2.73, , ,4,7
56,Carlos Carrasco,NYM,-1.2,4.5, ,1.2,0.6, , ,-0.58,4.10, ,5.11,0.46, , ,4,7
57,Brad Keller,KCR,-1.4,3.9, , ,-0.1, , ,-0.51,2.20, , ,-0.61, , ,4,7
58,Zac Gallen,ARI,-1.4,-0.6,1.6,4.2,1.8, , ,-0.57,-1.92,5.18,4.51,2.49, , ,4,7
59,Pablo Lopez,MIA,-1.4, ,-1.6,1.3,1.4, , ,-0.59, ,-3.76,2.05,0.77, , ,4,7
60,Alek Manoah,TOR,-1.5,-1.6, , ,3.9, , ,-0.56,-1.32, , ,4.78, , ,4,7
