#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
61,Logan Gilbert,SEA,-1.8,-2.0, ,3.7,0.4, , ,-0.55,-1.57, ,4.48,0.75, , ,3,6
62,Eric Lauer,MIL,-1.9,1.9,-4.2,-0.8,-1.6, , ,-0.91,1.53,-7.04,-1.04,-14.37, , ,3,6
63,Justin Steele,CHC,-1.9,1.3, ,0.1,0.3, , ,-0.58,1.24, ,1.94,2.11, , ,3,6
64,Rich Hill,BOS,-1.9,-0.9,2.7,0.9, ,-0.2, ,-1.28,-2.86,3.95,0.52, ,-3.72, ,3,6
65,Hunter Greene,CIN,-2.0,3.4, , ,-1.4, , ,-0.81,1.34, , ,-5.36, , ,3,6
66,Zach Plesac,CLE,-2.1,2.2, ,-1.4,5.4, , ,-1.02,1.80, ,-2.99,5.42, , ,3,6
67,Dylan Cease,CHW,-2.2,7.3, ,-0.2,-1.4, , ,-1.02,3.33, ,-0.21,-11.66, , ,3,6
68,German Marquez,COL,-2.4,-3.9, ,1.7,-0.5, , ,-0.83,-3.70, ,1.32,-2.75, , ,3,6
69,Luis Castillo,CIN,-2.5,2.2, , ,0.5, , ,-0.91,1.56, , ,0.35, , ,3,6
70,Graham Ashcraft,CIN,-2.5,-1.2,0.6, ,-0.6, , ,-3.04,-0.69,0.23, ,-6.19, , ,3,6
71,Jordan Lyles,BAL,-2.8,0.0, ,-1.0,-3.4, , ,-1.20,0.03, ,-1.68,-5.22, , ,3,6
72,Cal Quantrill,CLE,-2.9,-1.4, ,-0.5,-0.9, , ,-1.32,-0.79, ,-6.38,-1.75, , ,3,6
73,Brady Singer,KCR,-3.0,-1.7, , ,0.1, , ,-1.20,-1.08, , ,0.17, , ,3,6
74,Adrian Houser,MIL,-3.4,1.8, ,-2.5,-0.6, , ,-0.94,2.29, ,-4.41,-1.34, , ,3,6
75,Chris Flexen,SEA,-3.7,1.6,0.7,0.0,0.2, , ,-1.66,3.23,0.41,-0.21,0.28, , ,3,6
76,Jameson Taillon,NYY,-3.8,0.5,-0.1,0.7,-2.1, , ,-1.58,0.46,-0.09,0.85,-3.74, , ,3,6
77,Triston McKenzie,CLE,-4.0,-5.8, ,1.5, , , ,-1.52,-5.91, ,1.67, , , ,3,6
78,Adam Wainwright,STL,-4.3, ,1.8,1.4,-1.2, , ,-2.36, ,1.19,0.96,-4.77, , ,3,6
79,Johnny Cueto,CHW,-4.4,3.6,-2.8,0.0,1.3, , ,-2.16,3.29,-3.24,0.32,0.92, , ,3,6
80,Paul Blackburn,OAK,-4.8,1.0,-2.8,-0.8,0.9, , ,-2.29,6.21,-2.97,-0.81,2.36, , ,3,6
81,Jose Berrios,TOR,-4.8, , ,-0.7,1.0, , ,-2.07, , ,-0.52,2.03, , ,3,6
82,Dane Dunning,TEX,-4.8,2.0,-0.3, ,0.4, , ,-2.38,1.29,-0.57, ,0.37, , ,3,6
83,Luis Garcia,HOU,-5.0,1.7,3.7,0.8,0.2, , ,-2.70,3.84,2.48,2.78,0.32, , ,3,6
84,Madison Bumgarner,ARI,-5.5,-3.4, ,0.4,-0.6, , ,-2.61,-1.63, ,0.44,-0.85, , ,3,6
85,Lucas Giolito,CHW,-5.8,-0.9, ,-0.4,-3.3, , ,-2.68,-0.68, ,-7.27,-2.96, , ,3,6
86,Carlos Carrasco,NYM,-5.9,-0.2, ,-0.8,-1.9, , ,-2.49,-0.18, ,-2.73,-1.81, , ,3,6
87,Patrick Corbin,WSN,-6.1,-3.8, , ,0.3, , ,-2.21,-2.25, , ,1.14, , ,3,6
88,JT Brubaker,PIT,-7.0,-1.4, ,0.7,-1.2, , ,-2.69,-0.74, ,0.72,-4.70, , ,3,6
89,Ian Anderson,ATL,-9.0, , ,-1.1,3.3, , ,-3.60, , ,-1.35,1.79, , ,3,6
