#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
31,Sandy Alcantara,MIA,2.5,-0.7, ,0.2,3.0, , ,0.97,-0.56, ,17.31,2.38, , ,5,8
32,Nick Lodolo,CIN,2.5,-1.6, , ,-2.6, , ,0.88,-1.04, , ,-6.22, , ,5,8
33,Dean Kremer,BAL,2.3, ,4.2,1.2,-0.4, , ,1.29, ,2.99,1.98,-0.70, , ,5,8
34,Kevin Gausman,TOR,2.3,-1.5, , ,-0.1,5.5, ,0.84,-2.47, , ,-0.77,2.55, ,5,8
35,Marcus Stroman,CHC,2.2,2.2,-1.9,-1.6,-0.7, , ,0.80,1.38,-6.71,-12.27,-1.13, , ,5,8
36,Shane Bieber,CLE,2.1,3.8,-0.9,1.2,0.3, , ,1.37,2.89,-0.93,1.46,3.87, , ,5,8
37,Cal Quantrill,CLE,2.0,7.2, ,1.9,-0.1, , ,0.72,3.89, ,4.79,-0.11, , ,5,8
38,Martin Perez,TEX,1.9,0.6,-0.8,-1.0,-4.3, , ,0.81,4.30,-0.54,-13.07,-3.13, , ,5,8
39,Austin Voth,BAL,1.9,0.9,1.3,-0.2,0.1, , ,1.20,3.18,1.33,-0.13,4.83, , ,5,8
40,Freddy Peralta,MIL,1.8,-0.1, ,3.1,2.1, , ,0.70,-0.14, ,3.07,3.95, , ,5,8
41,Dylan Cease,CHW,1.8,3.0, ,0.7,0.0, , ,0.92,1.47, ,1.02,-0.28, , ,5,8
42,Joe Musgrove,SDP,1.7,-2.5,2.4,-3.2,-1.1, , ,0.81,-2.22,1.99,-2.85,-4.29, , ,5,8
43,Tyler Anderson,LAD,1.7, ,2.7,0.0,0.5, , ,0.69, ,2.04,-3.65,0.28, , ,5,8
44,Jeffrey Springs,TBR,1.6,1.3, , ,1.1, , ,0.88,1.15, , ,0.82, , ,5,8
45,Aaron Nola,PHI,1.5, ,-1.0,1.7,-0.4, , ,0.62, ,-2.47,1.31,-0.58, , ,5,8
46,Brady Singer,KCR,1.4,1.6, , ,0.5, , ,0.43,0.69, , ,1.51, , ,5,8
47,Framber Valdez,HOU,1.3, ,3.4,1.7,-0.4, , ,0.49, ,5.61,1.33,-0.95, , ,5,8
48,Kyle Wright,ATL,1.2,0.3, ,1.5,1.4, , ,0.68,0.68, ,0.99,3.00, , ,5,8
49,Daniel Lynch,KCR,1.1,-3.4, ,0.6,0.1, , ,0.41,-1.97, ,1.70,0.07, , ,5,8
50,Cole Irvin,OAK,1.1,-1.3, ,-0.2,-0.3, , ,0.29,-2.02, ,-0.27,-0.37, , ,5,8
51,Edward Cabrera,MIA,1.0,1.7, ,2.8,2.7, , ,0.65,2.25, ,3.20,1.90, , ,5,8
52,Cristian Javier,HOU,1.0,6.0, ,-0.3,-0.8, , ,0.33,3.56, ,-0.74,-5.64, , ,5,8
53,Alex Cobb,SFG,1.0, , ,-0.6,1.2, , ,0.47, , ,-0.96,0.60, , ,5,8
54,German Marquez,COL,0.8,-2.5, ,2.8,-0.7, , ,0.27,-3.05, ,2.21,-11.73, , ,5,8
55,Tyler Alexander,DET,0.6,0.6,-4.9, ,0.3, , ,0.32,0.99,-3.49, ,0.34, , ,5,8
56,Chris Bassitt,NYM,0.4,1.8,1.6,2.5,-0.8, , ,0.15,2.80,2.04,3.07,-4.11, , ,5,8
57,Yu Darvish,SDP,0.1,2.5,-2.3,1.0,0.2,0.6, ,0.07,3.25,-1.31,2.69,9.46,1.28, ,5,8
58,Mike Minor,CIN,0.0,-2.3, ,-2.7,1.0, , ,-0.01,-1.78, ,-3.19,0.68, , ,5,8
59,Alex Wood,SFG,-0.2,-2.5, , ,-2.7, , ,-0.08,-1.26, , ,-3.08, , ,5,8
60,Zach Davies,ARI,-0.2,-0.4,-0.3,0.3,0.7, , ,-0.08,-4.91,-2.07,1.70,0.55, , ,5,8
