#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
1,Alek Manoah,TOR,8.7,2.5, , ,-0.1, , ,2.20,1.85, , ,-0.19, , ,6,2022-09-01
2,Jose Quintana,STL,8.2,0.6, ,3.9,0.0, , ,3.20,2.80, ,2.79,0.06, , ,6,2022-09-01
3,Adrian Sampson,CHC,6.9,0.1, , ,1.1, , ,1.70,0.12, , ,1.45, , ,6,2022-09-01
4,Zac Gallen,ARI,5.9,0.6,-1.1,2.5,1.4, , ,1.95,1.66,-2.05,1.41,3.77, , ,6,2022-09-01
5,Triston McKenzie,CLE,5.9,-1.0, ,2.4, , , ,2.05,-0.72, ,1.97, , , ,6,2022-09-01
6,Logan Gilbert,SEA,5.8,3.6, ,-2.1,0.1, , ,1.74,2.12, ,-8.07,0.32, , ,6,2022-09-01
7,Jesus Luzardo,MIA,5.7,-1.0, , ,-0.7, , ,1.92,-0.66, , ,-0.57, , ,6,2022-09-01
8,Brandon Woodruff,MIL,5.0,2.4, ,-1.4,1.7, , ,1.31,2.29, ,-1.99,1.47, , ,6,2022-09-01
9,Blake Snell,SDP,4.7,4.4, ,-0.5,-0.5, , ,1.41,2.46, ,-0.74,-2.05, , ,6,2022-09-01
10,Yu Darvish,SDP,4.3,2.4,-0.1,2.0,-1.3,0.9, ,1.92,3.17,-0.05,4.41,-10.49,3.40, ,6,2022-09-01
11,Luis Castillo,SEA,4.2,3.0, , ,-4.1, , ,1.26,2.30, , ,-5.06, , ,6,2022-09-01
12,Aaron Nola,PHI,3.8, ,3.2,0.1,1.2, , ,1.43, ,4.84,0.10,2.10, , ,6,2022-09-01
13,Brady Singer,KCR,3.5,0.7, , ,-2.3, , ,1.36,0.36, , ,-8.37, , ,6,2022-09-01
14,Chris Bassitt,NYM,3.5,-2.7,1.9,1.5,-1.0, , ,1.52,-6.51,1.55,1.36,-3.56, , ,6,2022-09-01
15,Clayton Kershaw,LAD,3.5,5.2, ,3.0, , , ,1.34,2.31, ,3.08, , , ,6,2022-09-01
16,Hayden Wesneski,CHC,3.3,1.8,0.4, ,-0.5, , ,1.39,1.13,0.74, ,-1.38, , ,6,2022-09-01
17,Pablo Lopez,MIA,3.0, ,0.5,0.7,-3.0, , ,1.12, ,2.14,1.06,-1.60, , ,6,2022-09-01
18,Johnny Cueto,CHW,2.8,1.2,-3.0,-1.0,-3.0, , ,1.10,1.97,-1.96,-9.02,-4.18, , ,6,2022-09-01
19,Mitch Keller,PIT,2.6,5.2, ,-1.1,-0.8, , ,0.84,3.85, ,-0.99,-6.95, , ,6,2022-09-01
20,Luis Cessa,CIN,2.4,-1.8, , ,0.4, , ,0.94,-0.93, , ,0.42, , ,6,2022-09-01
21,Kevin Gausman,TOR,2.1,-0.1, , , ,-2.4, ,0.84,-0.13, , , ,-1.39, ,6,2022-09-01
22,Dylan Cease,CHW,2.0,6.0, ,-0.3,-0.1, , ,0.82,2.16, ,-0.30,-3.72, , ,6,2022-09-01
23,Lance Lynn,CHW,1.6, ,2.7,-3.5,0.2, , ,0.45, ,1.57,-5.94,1.55, , ,6,2022-09-01
24,Jose Urena,COL,1.5,0.5, , ,-0.8, , ,0.49,0.32, , ,-1.02, , ,6,2022-09-01
25,Nick Lodolo,CIN,1.4,3.3, , ,0.1, , ,0.40,1.61, , ,0.27, , ,6,2022-09-01
26,Miles Mikolas,STL,1.1,3.8, ,0.2,-1.4, ,-0.6,0.38,3.76, ,0.14,-20.62, ,-55.12,6,2022-09-01
27,Marco Gonzales,SEA,0.7, ,-2.8,1.1,-0.8, , ,0.38, ,-1.95,1.76,-0.58, , ,6,2022-09-01
28,Alex Cobb,SFG,0.5, , ,3.3,-0.2, , ,0.19, , ,2.49,-0.06, , ,6,2022-09-01
29,Shane Bieber,CLE,0.4,5.5,-0.1,2.9,-1.3, , ,0.15,4.08,-0.04,2.47,-26.49, , ,6,2022-09-01
30,Shohei Ohtani,LAA,0.3,10.7,3.2,0.6, ,-0.1, ,0.20,3.64,4.27,1.84, ,-0.43, ,6,2022-09-01
