#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
61,Tyler Wells,BAL,-1.6,-0.2,0.3,0.0,-2.1, , ,-0.89,-1.06,0.21,-0.23,-2.87, , ,4,7
62,Jon Gray,TEX,-1.6,2.3, ,0.5,-0.5, , ,-0.77,1.13, ,2.49,-1.04, , ,4,7
63,Aaron Ashby,MIL,-1.7,-1.6, ,-0.7,-0.4, , ,-1.02,-1.16, ,-1.18,-0.44, , ,4,7
64,Jose Berrios,TOR,-1.8, , ,6.0,-2.2, , ,-0.71, , ,3.02,-2.42, , ,4,7
65,Corbin Burnes,MIL,-1.9,1.6,4.1,2.0,1.4, , ,-4.82,3.96,1.45,2.07,2.13, , ,4,7
66,Robbie Ray,SEA,-2.2,-0.5, ,-1.2,-0.1, , ,-0.74,-0.35, ,-20.80,-3.20, , ,4,7
67,Patrick Sandoval,LAA,-2.2,-0.3, ,-0.3,-1.7, , ,-1.24,-0.28, ,-0.90,-1.24, , ,4,7
68,Corey Kluber,TBR,-2.3, ,1.1,0.1,-1.9, , ,-1.39, ,0.75,0.10,-5.15, , ,4,7
69,Shohei Ohtani,LAA,-2.6,3.7,2.1,-1.4, ,0.9, ,-2.99,2.12,4.42,-4.17, ,1.70, ,4,7
70,Sonny Gray,MIN,-2.8,-0.9,0.2,1.0, , , ,-1.30,-1.90,0.60,0.88, , , ,4,7
71,Blake Snell,SDP,-2.8,2.3, ,1.4,0.1, , ,-1.03,2.27, ,1.38,0.64, , ,4,7
72,Martin Perez,TEX,-2.9,0.9,1.4,0.5,1.7, , ,-1.45,8.22,1.34,4.72,1.01, , ,4,7
73,Lance Lynn,CHW,-3.0, ,-0.5,0.3,-1.9, , ,-0.88, ,-0.30,0.94,-5.63, , ,4,7
74,Sean Manaea,SDP,-3.1,-3.8, , ,-2.5, , ,-1.15,-6.56, , ,-2.87, , ,4,7
75,Adrian Sampson,CHC,-3.1,0.2, , ,2.4, , ,-0.93,0.19, , ,2.13, , ,4,7
76,German Marquez,COL,-3.5,-0.7, ,4.7,0.1, , ,-1.20,-1.19, ,3.55,0.66, , ,4,7
77,Austin Gomber,COL,-3.9,0.0, ,1.3,0.7, , ,-2.16,-0.01, ,1.18,0.91, , ,4,7
78,Dylan Cease,CHW,-5.9,10.5, ,1.1,0.5, , ,-2.91,3.33, ,1.63,4.92, , ,4,7
79,Josiah Gray,WSN,-6.0,1.7, ,-1.0,-3.0, , ,-2.98,1.31, ,-0.71,-30.47, , ,4,7
80,Andre Pallante,STL,-6.6,2.8, ,-1.0,0.1, , ,-2.49,2.36, ,-1.26,5.53, , ,4,7
