#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
31,Adam Wainwright,STL,0.1, ,-2.4,1.3,-0.9, , ,0.06, ,-2.37,0.91,-1.79, , ,1,4
32,Eric Lauer,MIL,-0.1,2.0,2.2,-0.8,0.3, , ,-0.08,3.12,2.44,-0.97,3.82, , ,1,4
33,Zack Greinke,KCR,-0.1,2.8, ,1.2,-0.6, , ,-0.09,4.10, ,1.63,-0.98, , ,1,4
34,Chris Flexen,SEA,-0.6, ,3.8,-0.1,-1.3, , ,-0.39, ,3.15,-0.32,-2.08, , ,1,4
35,Austin Gomber,COL,-0.6,2.8, ,-0.2,-2.0, , ,-0.42,2.55, ,-0.44,-4.45, , ,1,4
36,Shane Bieber,CLE,-0.6,0.9,0.5,3.0,0.4, , ,-0.34,0.63,1.46,3.56,6.57, , ,1,4
37,Chad Kuhl,COL,-0.6,6.4, ,1.5,-0.1, , ,-0.45,5.24, ,5.25,-0.30, , ,1,4
38,Carlos Carrasco,NYM,-0.7,0.9, ,0.2,3.2, , ,-0.52,1.06, ,1.01,4.03, , ,1,4
39,Luis Garcia,HOU,-0.7,-1.3,-0.3,1.8,1.2, , ,-0.45,-6.98,-0.51,5.87,5.99, , ,1,4
40,Corbin Burnes,MIL,-0.9,-1.0,5.2,3.4,-0.1, , ,-3.06,-3.85,2.19,4.96,-0.18, , ,1,4
41,Yu Darvish,SDP,-1.0,0.0,0.4,2.5, ,1.6, ,-0.60,-0.01,0.35,7.32, ,4.00, ,1,4
42,Kyle Hendricks,CHC,-1.1, , ,-2.0,-0.2, , ,-0.42, , ,-4.94,-0.18, , ,1,4
43,Madison Bumgarner,ARI,-1.4,3.0, ,-1.5,2.4, , ,-1.38,1.51, ,-2.56,7.78, , ,1,4
44,Tarik Skubal,DET,-1.6,1.0, ,0.2,0.6, , ,-0.91,1.17, ,0.72,1.42, , ,1,4
45,Jesus Luzardo,MIA,-1.7,3.1, , ,0.3, , ,-1.06,2.08, , ,0.91, , ,1,4
46,Gerrit Cole,NYY,-2.0,-0.5,2.9,0.2,0.9, , ,-0.97,-0.73,5.37,0.51,1.98, , ,1,4
47,Frankie Montas,OAK,-2.0,1.3, , , ,4.5, ,-0.93,1.27, , , ,3.21, ,1,4
48,Logan Webb,SFG,-2.4,-0.2, , ,3.5, , ,-1.47,-0.20, , ,2.19, , ,1,4
49,Zach Plesac,CLE,-3.4,0.6, ,-0.3,0.9, , ,-2.48,1.00, ,-0.69,1.20, , ,1,4
50,Walker Buehler,LAD,-3.6,0.6,1.6,2.2,1.5, , ,-2.29,1.18,2.07,4.35,4.63, , ,1,4
51,Jose Berrios,TOR,-3.9, , ,0.2,-1.1, , ,-1.73, , ,0.17,-3.25, , ,1,4
52,German Marquez,COL,-4.4,0.2, ,-1.8,0.4, , ,-2.72,0.21, ,-3.23,3.45, , ,1,4
53,Shane McClanahan,TBR,-4.4,1.4, ,2.4, ,4.1, ,-3.01,1.90, ,2.17, ,5.13, ,1,4
54,Joan Adon,WSN,-5.9, , ,-1.9,0.0, , ,-2.12, , ,-1.80,0.11, , ,1,4
55,Elieser Hernandez,MIA,-5.9,1.4, , ,-0.2, , ,-3.44,1.01, , ,-0.41, , ,1,4
