#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
31,Chris Bassitt,NYM,33.1,93.5,89.2, ,92.7,84.7,80.8,71.4, , , ,6,9
32,Miles Mikolas,STL,34.0,93.5, , ,93.2,85.0,87.0,76.4,64.3, , ,6,9
33,Hayden Wesneski,CHC,33.0,93.4,89.1, ,92.3,87.3,81.4, , , , ,6,9
34,Robbie Ray,SEA,33.1,93.4, , ,92.7,87.7,87.5,79.9, , , ,6,9
35,Lance McCullers Jr.,HOU,31.2,93.3,88.6, ,93.1,87.4,85.2,82.7, , , ,6,9
36,Luis Cessa,CIN,37.0,93.1, , ,93.1,87.3,82.8, , , , ,6,9
37,Triston McKenzie,CLE,38.2,93.0, , , , ,87.1,79.0, , , ,6,9
38,Aaron Nola,PHI,34.1,93.0,86.6, ,92.5,85.9, ,78.9, , , ,6,9
39,Lance Lynn,CHW,37.1,93.0,88.7, ,91.2,85.3,81.4,82.1, , , ,6,9
40,Joe Musgrove,SDP,31.2,93.0,90.1, ,92.6,87.1,82.1,80.7, , , ,6,9
41,Ranger Suarez,PHI,31.2,93.0,89.7, ,92.4,84.1,85.6,75.8, , , ,6,9
42,Martin Perez,TEX,37.1,92.9,89.9, ,92.4,84.8,84.2,78.9, , , ,6,9
43,Michael Wacha,BOS,32.1,92.8,88.6, ,92.0,83.3, ,74.5, , , ,6,9
44,Marcus Stroman,CHC,37.0,92.7,90.1, ,91.9,86.8,85.5, , , , ,6,9
45,Julio Urias,LAD,35.1,92.5, , , ,85.8, ,80.5, , , ,6,9
46,Jon Heasley,KCR,33.1,92.4, , , ,84.1,83.9,77.3, , , ,6,9
47,Merrill Kelly,ARI,42.2,92.4,90.4, ,92.4,88.5,82.8,81.8, , , ,6,9
48,Glenn Otto,TEX,36.0,92.4,91.1, ,91.7, ,81.4,81.4, , , ,6,9
49,Bryse Wilson,PIT,33.1,92.3, ,83.6,91.2,83.4,82.7,77.2, , , ,6,9
50,Ross Stripling,TOR,33.1,92.1, , ,90.6,82.9,87.8,76.5, , , ,6,9
51,Adrian Sampson,CHC,38.2,92.0, , ,91.8,84.0,83.3, , , , ,6,9
52,Eduardo Rodriguez,DET,41.0,91.8,89.0, ,91.7,86.1,83.1, , , , ,6,9
53,Shane Bieber,CLE,48.0,91.7,87.3, , ,86.4,85.7,82.3, , , ,6,9
54,Lucas Giolito,CHW,33.2,91.7, , , ,79.7,84.2,78.8, , , ,6,9
55,Jose Quintana,STL,33.1,91.5, , ,91.7,86.3, ,78.2, , , ,6,9
56,Jeffrey Springs,TBR,34.1,91.5, , , ,81.4,86.4, , , , ,6,9
57,Johnny Cueto,CHW,34.2,91.3,87.4, ,91.4,82.7,85.0,76.1, , , ,6,9
58,Cole Irvin,OAK,33.1,90.7, , ,90.3,82.9,78.6,75.1, , , ,6,9
59,Clayton Kershaw,LAD,41.0,90.6, , , , ,86.4,73.1, , , ,6,9
60,Kyle Freeland,COL,32.2,90.4,85.5, ,89.7,85.2,81.8, , , , ,6,9
