#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
61,Kyle Gibson,PHI,31.1,92.3,90.1, ,92.3,85.1,83.6,79.0, , , ,5,2022-08-01
62,Brady Singer,KCR,37.0,92.2, , ,93.7,86.5,85.4, , , , ,5,2022-08-01
63,Joe Ryan,MIN,32.2,92.2, , , ,84.9,83.8,74.6, , , ,5,2022-08-01
64,Shane Bieber,CLE,33.1,92.1,87.2, , ,87.8,85.7,82.5, , , ,5,2022-08-01
65,Jordan Lyles,BAL,34.0,91.7, , ,90.8,85.4,81.3,79.4, , , ,5,2022-08-01
66,Jose Quintana,STL,29.1,91.7, , ,91.9,86.3, ,78.6, , , ,5,2022-08-01
67,Jeffrey Springs,TBR,27.2,91.7, , , ,81.1,85.6, , , , ,5,2022-08-01
68,Spenser Watkins,BAL,30.2,91.6,87.4, , ,86.2,78.1,77.1, , , ,5,2022-08-01
69,Tommy Henry,ARI,31.2,91.5, , , ,84.6,85.7,80.3, , , ,5,2022-08-01
70,Logan Webb,SFG,35.0,91.4,90.4, ,91.1,85.9,81.8, , , , ,5,2022-08-01
71,Johnny Cueto,CHW,35.2,91.4,87.7, ,91.3,82.7,85.3,79.3, , , ,5,2022-08-01
72,Cole Irvin,OAK,38.1,91.1, , ,90.3,83.6,78.8,75.7, , , ,5,2022-08-01
73,Mike Minor,CIN,33.0,90.6, , ,89.8,84.4,86.2,79.6, , , ,5,2022-08-01
74,Alex Wood,SFG,30.0,90.6, , ,92.1,85.1,83.8, , , , ,5,2022-08-01
75,Tyler Anderson,LAD,37.1,90.5,85.3, ,88.5,78.4, ,71.4, , , ,5,2022-08-01
76,Tyler Alexander,DET,30.2,90.0,85.6, ,90.1,82.3,77.2, , , , ,5,2022-08-01
77,Anibal Sanchez,WSN,30.2,89.5,87.3,69.3,89.0,82.8,82.5,75.3, , , ,5,2022-08-01
78,Marco Gonzales,SEA,33.2,89.1,85.8, ,88.8,79.2, ,76.8, , , ,5,2022-08-01
79,Corey Kluber,TBR,29.2,88.8,86.5, ,89.1,82.7,80.7, , , , ,5,2022-08-01
80,Adam Wainwright,STL,39.2,87.9,83.9, ,88.8,81.4, ,73.0, , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, ,89.9, ,93.3, , ,80.0, , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, ,87.9, ,89.7,80.2,76.0,73.9, , , ,5,2022-08-01
83,Kyle Bradish,BAL,28.2, ,94.9, , ,90.4,87.4,83.9, , , ,5,2022-08-01
