#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
31,Luis Garcia,HOU,29.0,93.9,84.7, ,90.2,84.1,79.0,76.5, , , ,5,8
32,Max Scherzer,NYM,40.2,93.9,89.2, , ,84.1,84.6,74.0, , , ,5,8
33,Nick Pivetta,BOS,28.2,93.9, ,89.1, , ,86.7,77.7, , , ,5,8
34,Miles Mikolas,STL,36.0,93.9, , ,93.3,82.5,87.8,76.6,65.5, , ,5,8
35,Jameson Taillon,NYY,31.2,93.8,90.4, ,93.9,87.8,86.1,80.8, , , ,5,8
36,Dean Kremer,BAL,32.0,93.8,88.1, ,91.9,83.4, ,76.1, , , ,5,8
37,Alek Manoah,TOR,29.2,93.8, , ,93.4,86.7,81.9, , , , ,5,8
38,Zac Gallen,ARI,40.0,93.8,90.0, , ,84.5,88.7,81.5, , , ,5,8
39,Julio Urias,LAD,30.0,93.8, , , ,87.0, ,81.6, , , ,5,8
40,Robbie Ray,SEA,33.0,93.7, , ,93.3, ,87.5,82.3, , , ,5,8
41,Matt Manning,DET,32.1,93.7, , ,93.0,86.6,84.2,80.0, , , ,5,8
42,Chris Bassitt,NYM,33.1,93.6,89.4, ,92.7,84.6,79.6,71.6, , , ,5,8
43,Austin Voth,BAL,28.0,93.6,89.1, , ,87.5,84.2,77.9, , , ,5,8
44,Lance Lynn,CHW,36.2,93.5,89.2, ,92.3,86.5,81.8, , , , ,5,8
45,Jose Urquidy,HOU,31.2,93.5, , , ,86.3,79.8,79.1, , , ,5,8
46,Marcus Stroman,CHC,34.0,93.4,91.0, ,92.3,87.7,85.0,81.4, , , ,5,8
47,Adam Oller,OAK,29.2,93.2,89.9, ,92.6,86.0,82.2, , , , ,5,8
48,Eric Lauer,MIL,30.0,93.1,89.0, , ,86.9,83.9,77.8, , , ,5,8
49,Mike Clevinger,SDP,32.0,93.1,85.1, ,92.3,85.7,79.5,76.7, , , ,5,8
50,Jordan Montgomery,STL,30.2,93.0, , ,93.1,82.6, ,80.2, , , ,5,8
51,Patrick Sandoval,LAA,32.1,93.0, , ,93.7,83.1,86.4,78.0, , , ,5,8
52,Aaron Nola,PHI,32.0,93.0,87.4, ,92.5,86.1, ,78.8, , , ,5,8
53,Martin Perez,TEX,34.0,92.9,90.3, ,92.8,84.3,85.1,79.0, , , ,5,8
54,Lucas Giolito,CHW,31.2,92.9, , , ,81.3,84.5,79.2, , , ,5,8
55,Domingo German,NYY,34.2,92.9, , ,92.7,85.9, ,81.1, , , ,5,8
56,Joe Musgrove,SDP,34.0,92.8,90.3, ,92.4,86.5,82.8,81.0, , , ,5,8
57,Triston McKenzie,CLE,38.2,92.5, , , , ,87.1,79.3, , , ,5,8
58,Freddy Peralta,MIL,29.2,92.5, , , ,85.8,79.7,74.7, , , ,5,8
59,Merrill Kelly,ARI,32.1,92.3,91.0, ,92.2,88.4, ,81.8, , , ,5,8
60,Kris Bubic,KCR,31.0,92.3, , , ,80.9, ,79.9, , , ,5,8
