#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
61,Merrill Kelly,ARI,41.1,92.0,90.4, ,91.8,88.3,85.1,81.9, , , ,4,2022-07-01
62,Zach Thompson,PIT,27.0,92.0,86.3, ,92.5,85.3, ,76.6, , , ,4,2022-07-01
63,Johnny Cueto,CHW,34.0,91.9,87.3, ,91.4,82.8,85.6,81.5, , , ,4,2022-07-01
64,Jordan Lyles,BAL,32.2,91.9, , ,90.6,86.3,80.2,78.8, , , ,4,2022-07-01
65,Glenn Otto,TEX,29.2,91.9, , ,91.9,88.3,81.2,81.1, , , ,4,2022-07-01
66,Joe Ryan,MIN,26.2,91.6, , , ,84.2,82.6,74.9, , , ,4,2022-07-01
67,Kris Bubic,KCR,35.2,91.5, , , ,80.1, ,78.4, , , ,4,2022-07-01
68,Madison Bumgarner,ARI,31.0,91.3,87.1, , ,85.9, ,78.6, , , ,4,2022-07-01
69,Jose Quintana,PIT,27.0,91.1,89.3, ,91.1,86.7, ,78.2, , , ,4,2022-07-01
70,Braxton Garrett,MIA,30.0,91.1, , ,90.7,85.8,84.1,79.2, , , ,4,2022-07-01
71,Clayton Kershaw,LAD,32.1,91.1, , ,91.2,83.9,87.4,73.3, , , ,4,2022-07-01
72,Tyler Anderson,LAD,32.1,91.0,86.1, ,88.6,79.0, ,73.5, , , ,4,2022-07-01
73,Austin Gomber,COL,27.1,90.7, , , ,81.6,84.2,76.0, , , ,4,2022-07-01
74,Kyle Freeland,COL,29.0,90.5,85.8, ,90.0,84.5,81.6, , , , ,4,2022-07-01
75,Cole Irvin,OAK,34.0,90.4, , ,90.1,83.1,78.9,75.2, , , ,4,2022-07-01
76,Dylan Bundy,MIN,24.1,89.2, ,81.2, , ,79.5,71.8, , , ,4,2022-07-01
77,Corey Kluber,TBR,32.0,89.1,86.6, ,88.8,83.1,81.0, , , , ,4,2022-07-01
78,Adam Wainwright,STL,32.1,88.4,84.0, ,89.0,82.1,78.5,72.7, , , ,4,2022-07-01
79,Marco Gonzales,SEA,31.1,88.1,85.7, ,87.6,78.7, ,76.2, , , ,4,2022-07-01
80,Sean Manaea,SDP,25.0, , , ,90.9,85.8,82.2, , , , ,4,2022-07-01
