#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
31,Jose Berrios,TOR,36.0,93.8, , ,93.8,84.5,82.6, , , , ,4,2022-07-01
32,Zac Gallen,ARI,29.2,93.7,89.4, , ,85.0,86.2,80.6, , , ,4,2022-07-01
33,Max Fried,ATL,38.0,93.7, , ,93.1,86.0,87.8,73.8, , , ,4,2022-07-01
34,Julio Urias,LAD,28.0,93.7, , , ,86.6, ,81.2, , , ,4,2022-07-01
35,Miles Mikolas,STL,37.2,93.6, , ,93.4,82.0,88.3,76.5,67.5, , ,4,2022-07-01
36,Reid Detmers,LAA,24.0,93.6, , , ,84.4,86.0,73.4, , , ,4,2022-07-01
37,Taijuan Walker,NYM,30.2,93.6,87.1,89.2,92.8, ,85.5,74.4, , , ,4,2022-07-01
38,Alek Manoah,TOR,31.1,93.5, , ,93.1,86.3,81.8, , , , ,4,2022-07-01
39,Pablo Lopez,MIA,31.0,93.5,89.0, ,93.5,87.1, ,80.6, , , ,4,2022-07-01
40,Tyler Wells,BAL,25.0,93.4, , , ,86.8,87.1,76.5, , , ,4,2022-07-01
41,Chris Bassitt,NYM,25.1,93.4,89.1, ,92.8,82.5,79.0,71.3, , , ,4,2022-07-01
42,Jose Urquidy,HOU,33.0,93.4, , , ,85.6,79.9,77.5, , , ,4,2022-07-01
43,Jordan Montgomery,NYY,29.1,93.2,88.6, ,93.5,82.6, ,81.0, , , ,4,2022-07-01
44,Eric Lauer,MIL,27.1,93.1,89.0, , ,86.1,83.6,78.0, , , ,4,2022-07-01
45,Aaron Nola,PHI,35.0,93.1,86.8, ,92.0,86.9, ,78.7, , , ,4,2022-07-01
46,Carlos Carrasco,NYM,30.0,93.0, , ,91.2,87.2,84.2,80.5, , , ,4,2022-07-01
47,Tony Gonsolin,LAD,30.2,92.9, ,83.2, , ,87.1,80.8, , , ,4,2022-07-01
48,Adrian Sampson,CHC,32.2,92.8, , ,92.4,85.7,83.5, , , , ,4,2022-07-01
49,Triston McKenzie,CLE,33.2,92.8, , , , ,87.6,80.0, , , ,4,2022-07-01
50,Lance Lynn,CHW,31.2,92.6,88.2, ,91.4,85.7,83.1,83.4, , , ,4,2022-07-01
51,Logan Webb,SFG,38.1,92.6, , ,91.8,86.5,82.6, , , , ,4,2022-07-01
52,Patrick Sandoval,LAA,24.2,92.6, , ,93.6,83.2,86.1,78.1, , , ,4,2022-07-01
53,Martin Perez,TEX,31.2,92.5,89.5, ,92.5,84.0,83.2,78.5, , , ,4,2022-07-01
54,Brady Singer,KCR,30.2,92.5, , ,94.0,86.9,85.8, , , , ,4,2022-07-01
55,Sonny Gray,MIN,24.1,92.5, , ,92.2, ,82.2,79.0, , , ,4,2022-07-01
56,Lucas Giolito,CHW,27.0,92.3, , , ,80.8,84.0,79.8, , , ,4,2022-07-01
57,Chris Flexen,SEA,27.2,92.2,88.0, , ,81.5,80.3,74.8, , , ,4,2022-07-01
58,Jake Odorizzi,HOU,28.1,92.2,87.4,85.2,92.8, ,82.8,71.7, , , ,4,2022-07-01
59,Nestor Cortes,NYY,27.2,92.1,87.4, , ,82.9,77.2,72.6, , , ,4,2022-07-01
60,Kyle Gibson,PHI,27.1,92.1,89.3, ,91.3,84.9,83.2,79.3, , , ,4,2022-07-01
