#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
1,Gerrit Cole,NYY,33.2,98.0,92.6, , ,89.8,88.6,83.4, , , ,2,5
2,Sandy Alcantara,MIA,42.1,97.7, , ,97.1,91.5,89.5,84.1, , , ,2,5
3,Shane McClanahan,TBR,31.1,97.3, , , ,88.1,89.3,82.0, , , ,2,5
4,Dylan Cease,CHW,31.2,97.1, ,77.1, , ,87.1,80.9, , , ,2,5
5,Nathan Eovaldi,BOS,28.2,96.9,92.8,88.8, , ,87.2,79.3, , , ,2,5
6,Zack Wheeler,PHI,32.2,96.5, ,89.3,95.8,90.8,91.3,81.9, , , ,2,5
7,Frankie Montas,OAK,35.0,96.4, ,86.7,96.0, ,87.7, , , , ,2,5
8,Carlos Rodon,SFG,27.0,96.4, , , , ,85.6,80.0, , , ,2,5
9,Luis Severino,NYY,29.0,96.2,89.9, , ,89.1,85.4, , , , ,2,5
10,Logan Gilbert,SEA,36.2,96.0, , , ,86.7,87.5,80.8, , , ,2,5
11,Corbin Burnes,MIL,39.0,95.8,94.5, ,96.0,89.9,88.1,81.8, , , ,2,5
12,Drew Rasmussen,TBR,28.2,95.5,92.7, , , ,84.8,79.5, , , ,2,5
13,Kyle Wright,ATL,29.2,95.5, , ,94.7,88.0,89.7,84.0, , , ,2,5
14,Walker Buehler,LAD,34.0,95.4,91.9, ,95.6,90.7,83.9,79.2, , , ,2,5
15,German Marquez,COL,29.0,95.2, , ,94.6,88.3,86.9,86.1, , , ,2,5
16,Charlie Morton,ATL,31.1,95.2, , ,94.5,87.1,87.7,81.0, , , ,2,5
17,Michael Lorenzen,LAA,32.2,95.1,91.3, ,94.3,86.8,83.5, , , , ,2,5
18,Alex Cobb,SFG,28.1,95.0, ,89.4,94.4, , ,83.3, , , ,2,5
19,Yusei Kikuchi,TOR,26.2,94.9,91.7, , ,86.8,88.6, , , , ,2,5
20,Justin Verlander,HOU,31.2,94.8, , , ,85.4,87.1,78.5, , , ,2,5
21,Josiah Gray,WSN,31.1,94.6, , ,95.3,88.0,85.6,83.1, , , ,2,5
22,Kevin Gausman,TOR,36.1,94.5, ,84.9, , ,83.3, , , , ,2,5
23,Framber Valdez,HOU,43.0,94.5, , ,94.2,89.4,84.0,79.3, , , ,2,5
24,Alek Manoah,TOR,31.0,94.2, , ,93.1,86.5,81.3, , , , ,2,5
25,Max Fried,ATL,37.0,94.2, , ,93.5,87.3,87.3,74.3, , , ,2,5
26,Tarik Skubal,DET,31.0,94.1, , ,95.0,84.3,89.9,77.4, , , ,2,5
27,Zac Gallen,ARI,35.1,94.1,89.8, ,94.6,87.0,87.3,81.2, , , ,2,5
28,Jameson Taillon,NYY,31.1,94.0,90.2, ,94.0,87.8,86.1,81.2, , , ,2,5
29,Robbie Ray,SEA,30.1,93.9, , , , ,87.3,79.3, , , ,2,5
30,Tyler Mahle,CIN,31.1,93.9,85.6,85.6, , ,83.9,80.5, , , ,2,5
