#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
31,Pablo Lopez,MIA,23.1,93.0,89.3, ,93.4,87.5, ,80.8, , , ,1,2022-04-01
32,Martin Perez,TEX,21.0,93.0,89.8, ,92.7,84.3, ,79.2, , , ,1,2022-04-01
33,Logan Webb,SFG,30.1,92.6,89.7, ,91.8,86.0,82.7, , , , ,1,2022-04-01
34,Cal Quantrill,CLE,22.0,92.5,87.0, ,92.7,84.0, ,80.3, , , ,1,2022-04-01
35,Chris Bassitt,NYM,24.0,92.5,88.8, ,92.1,86.8,78.4,71.3, , , ,1,2022-04-01
36,Aaron Nola,PHI,27.2,92.4,86.8, ,92.0,85.6, ,78.5, , , ,1,2022-04-01
37,Joe Ryan,MIN,23.0,92.4, , , ,83.7,82.3,73.0, , , ,1,2022-04-01
38,Merrill Kelly,ARI,28.1,92.4,90.9, ,92.4,88.2, ,81.7, , , ,1,2022-04-01
39,Joe Musgrove,SDP,25.0,92.3,89.3, ,91.7,85.8,82.7,80.8, , , ,1,2022-04-01
40,Kyle Gibson,PHI,27.2,92.1,89.2, ,91.7,84.7,83.8,80.3, , , ,1,2022-04-01
41,Chris Flexen,SEA,24.0,92.0,87.8, , ,81.7, ,75.2, , , ,1,2022-04-01
42,Cole Irvin,OAK,27.2,91.8,87.7, ,91.4,84.0,80.3,76.6, , , ,1,2022-04-01
43,Elieser Hernandez,MIA,20.1,91.5, , , ,84.0,79.7, , , , ,1,2022-04-01
44,Zach Plesac,CLE,21.1,91.5, , ,89.7,85.0,84.4,78.8, , , ,1,2022-04-01
45,Shane Bieber,CLE,29.1,91.4,88.7, , ,86.5,85.5,82.6, , , ,1,2022-04-01
46,Austin Gomber,COL,21.0,91.1, , , ,82.4,83.8,75.8, , , ,1,2022-04-01
47,Madison Bumgarner,ARI,23.0,91.0,87.9, ,91.1,84.2, ,78.3,63.2, , ,1,2022-04-01
48,Clayton Kershaw,LAD,23.0,90.9, , ,91.4,83.8,85.9,73.2, , , ,1,2022-04-01
49,Dylan Bundy,MIN,21.1,89.7, ,81.8,90.3, ,79.6,73.1, , , ,1,2022-04-01
50,Zack Greinke,KCR,22.0,89.0, , ,90.2,86.9,84.2,71.5, , , ,1,2022-04-01
51,Adam Wainwright,STL,27.0,88.5,85.1, ,88.8,82.9, ,72.8, , , ,1,2022-04-01
52,Kyle Hendricks,CHC,24.2,87.4, , ,86.8,80.3, ,73.6, , , ,1,2022-04-01
53,Sean Manaea,SDP,30.0, , , ,90.5,84.5,79.3, , , , ,1,2022-04-01
54,Corbin Burnes,MIL,25.2, ,94.8, ,96.2,90.3,87.9,82.3, , , ,1,2022-04-01
55,Dane Dunning,TEX,26.0, ,86.4, ,89.8,83.9,78.5, , , , ,1,2022-04-01
