#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
1,Hunter Greene,CIN,29.2,98.5, , , ,89.8,87.7, , , , ,3,6
2,Gerrit Cole,NYY,29.2,97.9,92.5, , ,90.2,88.7,83.0, , , ,3,6
3,Sandy Alcantara,MIA,47.2,97.8, , ,97.7,91.6,89.4, , , , ,3,6
4,Shohei Ohtani,LAA,29.2,97.4,90.1,88.9, , ,85.1,77.2, , , ,3,6
5,Graham Ashcraft,CIN,33.0,97.2, , ,96.9,89.9,86.3, , , , ,3,6
6,Corbin Burnes,MIL,28.2,97.2,95.0, ,96.5,90.4,86.7,82.1, , , ,3,6
7,Dylan Cease,CHW,27.1,97.0, ,74.9, , ,87.7,81.9, , , ,3,6
8,Luis Castillo,CIN,30.1,97.0, , ,97.1,88.7,86.7, , , , ,3,6
9,Shane McClanahan,TBR,33.0,96.9, , , ,87.9,89.1,81.8, , , ,3,6
10,Frankie Montas,OAK,31.0,96.6, ,86.9,95.8, ,88.7, , , , ,3,6
11,Logan Gilbert,SEA,35.2,96.4, , , ,86.3,87.9,80.9, , , ,3,6
12,Jon Gray,TEX,37.2,96.1, , , ,89.0,85.2,77.8, , , ,3,6
13,Zack Wheeler,PHI,29.2,95.8, ,89.5,95.4,89.8,90.5,80.9, , , ,3,6
14,Luis Severino,NYY,30.0,95.8,91.0, ,94.7,87.9,85.2, , , , ,3,6
15,German Marquez,COL,34.0,95.7, , ,95.2,88.5,88.0,87.1, , , ,3,6
16,Andre Pallante,STL,30.1,95.6, , ,95.0, ,87.4,77.0, , , ,3,6
17,Charlie Morton,ATL,30.2,95.3, , ,94.8,87.2,88.1,80.9, , , ,3,6
18,Carlos Rodon,SFG,36.0,95.3, , , ,85.3,85.0,79.8, , , ,3,6
19,Yu Darvish,SDP,35.2,95.1,91.6,90.6,95.2,86.9,85.4,74.4,66.7, , ,3,6
20,Justin Verlander,HOU,39.2,95.0, , , ,86.6,87.9,79.2, , , ,3,6
21,Adrian Houser,MIL,30.0,95.0, ,85.6,94.0, ,84.9,81.6, , , ,3,6
22,Kyle Wright,ATL,38.1,94.9, , ,93.8,87.7,89.6,84.1, , , ,3,6
23,Max Fried,ATL,33.1,94.5, , ,93.8,86.6,87.1,74.4, , , ,3,6
24,Antonio Senzatela,COL,28.1,94.5, , ,92.8,86.8,86.5,77.7, , , ,3,6
25,Beau Brieske,DET,27.1,94.4, , ,93.4,82.7,86.4,78.5, , , ,3,6
26,Taijuan Walker,NYM,37.2,94.2,88.9,88.9,93.0, ,85.0,74.7, , , ,3,6
27,Keegan Thompson,CHC,27.1,94.1,90.3, ,93.3,85.8,84.5,81.7, , , ,3,6
28,Jameson Taillon,NYY,33.1,94.1,90.7, ,94.3,87.4,86.1,80.9, , , ,3,6
29,Ian Anderson,ATL,28.2,94.1, , , ,88.3, ,82.0, , , ,3,6
30,Luis Garcia,HOU,27.2,94.1,85.9, , ,85.0,80.3,77.3, , , ,3,6
