#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
61,JT Brubaker,PIT,34.1,92.6, , ,93.2,87.2,87.1,80.3, , , ,3,2022-06-01
62,Zach Plesac,CLE,30.0,92.6, , , ,86.6,85.7,79.9, , , ,3,2022-06-01
63,Triston McKenzie,CLE,29.1,92.5, , , , ,87.4,80.0, , , ,3,2022-06-01
64,Justin Steele,CHC,29.2,92.3, , ,91.8,87.2,82.0,79.7, , , ,3,2022-06-01
65,Pablo Lopez,MIA,28.2,92.2,87.8, ,92.1,86.9, ,79.7, , , ,3,2022-06-01
66,Chad Kuhl,COL,29.1,92.1, , ,92.3,87.2,86.5,78.6,63.6, , ,3,2022-06-01
67,Dakota Hudson,STL,35.1,92.1,89.4, ,92.1,86.7,80.7, , , , ,3,2022-06-01
68,Ross Stripling,TOR,28.1,92.0, , ,89.5,82.0,87.2,75.8, , , ,3,2022-06-01
69,Jordan Lyles,BAL,28.2,91.8, , ,91.0,86.2,79.5,78.5, , , ,3,2022-06-01
70,Chris Flexen,SEA,33.0,91.6,87.4, , ,80.9,81.5,73.5, , , ,3,2022-06-01
71,Paul Blackburn,OAK,26.1,91.6,87.3, ,91.8,85.8,79.4,78.6, , , ,3,2022-06-01
72,Jeffrey Springs,TBR,26.2,91.5, , , ,80.8,85.5, , , , ,3,2022-06-01
73,Jose Quintana,PIT,30.0,91.3,89.9, ,91.5,86.7, ,78.6, , , ,3,2022-06-01
74,Shane Bieber,CLE,37.1,91.2,86.6, , ,86.6,84.7,81.8, , , ,3,2022-06-01
75,Madison Bumgarner,ARI,31.0,91.1,87.3, , ,84.8, ,78.0, , , ,3,2022-06-01
76,Tyler Anderson,LAD,28.1,91.1,85.9, ,89.8,79.3, ,72.6, , , ,3,2022-06-01
77,Johnny Cueto,CHW,35.1,90.9,86.9, ,91.0,82.2,84.9,81.9, , , ,3,2022-06-01
78,Cole Irvin,OAK,35.1,90.5,87.3, ,89.5,82.4,77.5,75.1, , , ,3,2022-06-01
79,Kyle Freeland,COL,33.0,90.5,86.2, ,89.8,85.1,81.3, , , , ,3,2022-06-01
80,Dane Dunning,TEX,33.2,89.0,85.5, ,88.6,83.4,77.7, , , , ,3,2022-06-01
81,Rich Hill,BOS,27.0,88.8,84.3, ,83.0,81.3,69.4,72.1,63.2, , ,3,2022-06-01
82,Corey Kluber,TBR,28.1,88.2,86.4, ,88.8,83.0,80.9, , , , ,3,2022-06-01
83,Marco Gonzales,SEA,31.0,88.2,86.1, ,87.6,79.3, ,76.1, , , ,3,2022-06-01
84,Adam Wainwright,STL,32.0,88.0,84.9, ,89.0,82.8, ,72.6, , , ,3,2022-06-01
85,Kyle Hendricks,CHC,27.2,86.7, , ,86.4,80.1, ,72.0, , , ,3,2022-06-01
86,Zach Davies,ARI,31.2, ,87.0, ,89.2,79.2,76.0,74.0, , , ,3,2022-06-01
87,Alex Wood,SFG,30.1, , , ,91.8,84.8,84.0, , , , ,3,2022-06-01
88,Sean Manaea,SDP,29.0, , , ,90.9,83.5,82.4, , , , ,3,2022-06-01
89,Brady Singer,KCR,28.2, , , ,93.6,86.8,85.1, , , , ,3,2022-06-01
