Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Year,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
Alec Mills,No,25.6,63.53333333333333,-1.288333333333333,0.1833333333333333,9.183333333333334,2021,5.899999999999999,3.7833333333333314,4.781666666666667,0.4333333333333333,-20.066666666666666
Alejo Lopez,No,18.450000000000003,87.5,-0.155,-0.05,0.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alek Manoah,No,27.366666666666664,62.05,6.708333333333333,0.7000000000000001,16.666666666666668,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alek Manoah,No,28.84,59.17999999999999,2.716,0.42,20.18,2021,1.4733333333333363,-2.8700000000000045,-3.992333333333333,-0.2800000000000001,3.513333333333332
Alex Blandino,,21.166666666666668,63.55,-0.7233333333333333,-0.0333333333333333,-11.433333333333332,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Claudio,No,18.0,38.5,1.36,0.0,0.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Claudio,No,26.875,56.775,-2.005,-0.075,10.725,2021,8.875,18.275,-3.365,-0.075,10.725
Alex Cobb,Yes,29.616666666666664,64.08333333333333,0.0616666666666666,0.6166666666666667,17.933333333333334,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Cobb,Yes,29.860000000000003,61.54,0.736,0.5,16.72,2021,0.2433333333333394,-2.5433333333333294,0.6743333333333333,-0.1166666666666667,-1.2133333333333347
Alex Colome,No,21.98333333333333,53.55,-1.5599999999999998,0.0333333333333333,2.45,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Colome,No,27.766666666666666,54.73333333333333,-1.6016666666666666,0.0166666666666666,11.883333333333333,2021,5.783333333333335,1.18333333333333,-0.04166666666666674,-0.016666666666666698,9.433333333333334
Alex Faedo,No,26.1,59.16666666666666,-2.303333333333333,0.1333333333333333,3.733333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Lange,No,34.36666666666667,54.35,-0.8383333333333335,0.1166666666666666,18.666666666666668,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Lange,No,27.933333333333334,53.55,-0.8633333333333334,0.0166666666666666,9.483333333333333,2021,-6.433333333333334,-0.8000000000000043,-0.02499999999999991,-0.1,-9.183333333333335
Alex McRae,,26.5,80.0,0.08,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Reyes,,29.566666666666663,53.43333333333334,0.1399999999999999,0.0333333333333333,13.15,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Vesia,No,30.75,60.31666666666666,2.07,0.2333333333333333,25.48333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Vesia,No,36.52,60.24,0.7060000000000001,0.06,35.14,2021,5.770000000000003,-0.07666666666666089,-1.3639999999999999,-0.1733333333333333,9.65666666666667
Alex Wood,No,29.0,63.28,-2.462,0.36,18.18,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Wood,No,32.733333333333334,65.03333333333333,1.155,0.4333333333333333,21.066666666666663,2021,3.7333333333333343,1.7533333333333303,3.617,0.0733333333333333,2.886666666666663
Alex Young,No,30.466666666666665,58.2,0.5633333333333334,0.1333333333333333,21.9,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Alex Young,No,25.03333333333333,57.05,-3.331666666666667,-0.1166666666666666,3.633333333333333,2021,-5.433333333333334,-1.1500000000000057,-3.8950000000000005,-0.2499999999999999,-18.266666666666666
Alexander Wells,No,25.7,54.225,-2.3775,-0.025,4.325,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Alexander Wells,No,31.8,75.0,0.34,-0.1,37.5,2022,6.100000000000001,20.775,2.7175,-0.07500000000000001,33.175
Alexis Diaz,No,29.78333333333333,60.0,2.595,0.1833333333333333,18.33333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Amir Garrett,No,27.98333333333333,58.01666666666667,0.665,0.1,9.05,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Amir Garrett,No,33.1,60.15,-1.655,0.0166666666666666,13.4,2021,5.116666666666671,2.1333333333333258,-2.3200000000000003,-0.0833333333333334,4.35
Anderson Espinoza,No,23.166666666666668,38.46666666666667,0.0333333333333333,-0.1666666666666666,3.9333333333333336,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anderson Severino,No,31.6,47.1,-1.48,0.0,14.7,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andre Jackson,No,25.0,59.5,0.94,0.2,11.9,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andre Jackson,No,28.8,64.35,1.265,0.05,12.9,2021,3.8000000000000007,4.849999999999994,0.32499999999999996,-0.15000000000000002,1.0
Andre Pallante,No,24.55,59.6,1.3416666666666666,0.1,6.45,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andre Scrubb,,30.450000000000003,47.725,-0.0225000000000001,-0.0999999999999999,11.025,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrelton Simmons,No,16.0,55.6,-4.45,0.0,-11.1,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andres Machado,No,28.95,45.725,-0.2825000000000001,-0.0249999999999999,19.8,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andres Machado,No,25.48333333333333,58.06666666666666,0.3,-0.0166666666666666,7.916666666666667,2022,-3.4666666666666686,12.341666666666661,0.5825,0.0083333333333333,-11.883333333333333
Andres Munoz,No,35.3,50.0,-0.1,0.0,-25.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andres Munoz,No,35.583333333333336,67.39999999999999,2.2066666666666666,0.3166666666666666,32.68333333333333,2022,0.28333333333333854,17.39999999999999,2.3066666666666666,0.3166666666666666,57.68333333333333
Andrew Albers,,23.4,62.650000000000006,-3.4800000000000004,-0.3,4.6,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Bellatti,No,26.75,76.65,-0.985,0.0,15.85,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Bellatti,No,30.666666666666668,57.23333333333333,0.7400000000000001,0.1833333333333333,24.366666666666664,2022,3.916666666666668,-19.41666666666668,1.725,0.1833333333333333,8.516666666666664
Andrew Chafin,No,28.21666666666667,62.05,2.845,0.2166666666666666,17.416666666666668,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Chafin,No,30.816666666666663,63.38333333333333,0.93,0.1166666666666666,21.916666666666668,2022,2.5999999999999943,1.3333333333333357,-1.915,-0.09999999999999999,4.5
Andrew Heaney,Yes,28.55,67.64999999999999,-2.295,0.1999999999999999,19.28333333333333,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Heaney,Yes,31.1,64.62,0.0839999999999999,0.24,25.3,2022,2.5500000000000007,-3.029999999999987,2.379,0.04000000000000009,6.016666666666669
Andrew Kittredge,No,24.766666666666666,69.76666666666667,0.8833333333333333,-0.0666666666666666,12.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Kittredge,No,31.55,69.68333333333332,1.7066666666666668,0.2333333333333333,22.23333333333333,2021,6.783333333333335,-0.08333333333334281,0.8233333333333335,0.29999999999999993,10.23333333333333
Andrew Knapp,,0.0,,0.11,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Knizner,No,9.1,,-0.65,0.0,0.0,2022,-0.0,,-0.0,-0.0,-0.0
Andrew Miller,,31.96,58.760000000000005,-1.182,0.0,16.160000000000004,2021,-0.0,,-0.0,-0.0,-0.0
Andrew Nardi,No,27.5,55.3,-6.245,-0.2,12.2,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Romine,,40.0,20.0,-0.48,-0.1,20.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Vasquez,No,37.8,60.6,-0.0374999999999999,0.0,17.95,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Vasquez,No,33.3,83.3,-0.4,0.1,50.0,2021,-4.5,22.699999999999996,-0.3625000000000001,0.1,32.05
Andrew Wantz,No,29.98,58.74,1.612,0.0,16.6,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Andrew Wantz,No,30.96666666666667,67.0,-2.146666666666667,0.0666666666666666,26.2,2021,0.9866666666666681,8.259999999999998,-3.758666666666667,0.0666666666666666,9.599999999999998
Andy Burns,,29.2,50.0,-1.52,0.0,16.7,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Aneurys Zabala,No,33.95,45.85,0.195,0.0,16.65,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Angel De Jesus,No,25.1,70.39999999999999,0.69,-0.0333333333333333,3.9666666666666655,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Perdomo,,31.3,61.7,-0.4375,-0.05,21.575000000000003,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Rondon,No,19.8,50.0,2.5,0.1,5.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Rondon,No,17.2,42.9,0.99,0.0,0.0,2021,-2.6000000000000014,-7.100000000000001,-1.51,-0.1,-5.0
Angel Zerpa,No,23.9,59.1,1.97,-0.1,0.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Angel Zerpa,No,25.0,55.0,0.72,0.2,15.0,2021,1.1000000000000014,-4.100000000000001,-1.25,0.30000000000000004,15.0
Anibal Sanchez,No,22.433333333333334,55.8,0.2899999999999998,-0.0333333333333333,5.933333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Banda,No,26.33333333333333,55.36666666666667,-1.968333333333333,0.0166666666666666,-0.3333333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Banda,No,25.96666666666667,54.56666666666666,-1.01,-0.0666666666666666,12.9,2021,-0.36666666666666003,-0.8000000000000043,0.958333333333333,-0.0833333333333332,13.233333333333334
Anthony Bass,No,32.11666666666667,66.3,3.31,0.2166666666666666,19.133333333333333,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Bass,No,31.6,62.93333333333334,-0.4633333333333334,-0.0166666666666666,12.966666666666669,2021,-0.5166666666666657,-3.36666666666666,-3.7733333333333334,-0.2333333333333332,-6.166666666666664
Anthony Bemboom,,19.0,42.9,-1.88,-0.1,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Bender,No,32.7,61.73333333333333,0.2766666666666666,-0.0666666666666666,10.9,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Bender,No,35.36,62.08,1.054,0.18,20.5,2021,2.6599999999999966,0.3466666666666711,0.7773333333333334,0.2466666666666666,9.6
Anthony Castro,No,26.975,55.925,-2.4075,-0.125,6.125,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Castro,No,29.28,54.620000000000005,-0.07,0.06,20.160000000000004,2021,2.3049999999999997,-1.3049999999999926,2.3375000000000004,0.185,14.035000000000004
Anthony DeSclafani,No,27.21666666666667,66.78333333333333,3.6966666666666654,0.5499999999999999,16.349999999999998,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony DeSclafani,No,27.45,60.85,-5.985,0.0,12.0,2022,0.23333333333333073,-5.93333333333333,-9.681666666666665,-0.5499999999999999,-4.349999999999998
Anthony Gose,No,31.175,61.325,-0.3349999999999999,-0.025,8.95,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Gose,No,27.8,54.2,2.45,0.2,29.2,2021,-3.375,-7.125,2.785,0.225,20.25
Anthony Kay,No,23.0,54.65,-0.9999999999999998,0.0,11.9,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Kay,No,30.8,60.0,-0.07,0.0,20.0,2022,7.800000000000001,5.350000000000001,0.9299999999999997,-0.0,8.1
Anthony Misiewicz,No,26.5,66.41666666666667,-0.2883333333333334,0.0499999999999999,15.883333333333333,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Misiewicz,No,23.8,59.2,-0.776,0.02,-1.7199999999999989,2022,-2.6999999999999993,-7.216666666666669,-0.48766666666666664,-0.0299999999999999,-17.60333333333333
Anthony Rizzo,,33.3,,0.29,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Anthony Swarzak,,26.666666666666668,56.43333333333334,-2.09,-0.0333333333333333,14.533333333333331,2021,-0.0,,-0.0,-0.0,-0.0
Antonio Santos,,24.166666666666668,42.6,0.1666666666666666,0.0333333333333333,10.4,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Antonio Senzatela,No,24.766666666666666,64.66666666666667,1.46,0.6166666666666667,11.35,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Antonio Senzatela,No,21.7,59.2,-0.5,0.3,6.659999999999999,2022,-3.0666666666666664,-5.466666666666669,-1.96,-0.3166666666666667,-4.69
Archie Bradley,No,27.73333333333333,58.93333333333334,-0.2166666666666666,0.0666666666666666,10.833333333333334,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Archie Bradley,No,23.933333333333334,64.18333333333334,-0.0583333333333332,0.0666666666666666,7.466666666666666,2021,-3.799999999999997,5.25,0.15833333333333338,-0.0,-3.366666666666668
Arodys Vizcaino,No,34.8,60.25,-0.7999999999999999,-0.1,7.049999999999999,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aroldis Chapman,No,30.94,54.32000000000001,-1.018,-0.06,8.940000000000001,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aroldis Chapman,No,33.28333333333333,59.01666666666667,0.9333333333333336,0.0833333333333333,25.350000000000005,2021,2.34333333333333,4.696666666666665,1.9513333333333336,0.1433333333333333,16.410000000000004
Art Warren,No,28.416666666666668,60.16666666666666,-2.276666666666667,-0.05,4.566666666666666,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Art Warren,No,28.525,58.375,2.26,0.15,25.325,2021,0.10833333333333073,-1.7916666666666572,4.536666666666667,0.2,20.758333333333333
Asdrubal Cabrera,,18.05,50.0,0.415,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Asher Wojciechowski,,24.1,52.6,0.07,-0.1,5.3,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Ashton Goudeau,No,21.4,54.75,1.19,-0.025,2.525,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Ashton Goudeau,No,23.85,57.2,-2.085,0.0,6.65,2022,2.450000000000003,2.450000000000003,-3.275,0.025,4.125
Austin Adams,No,32.7,51.73333333333333,-0.0616666666666668,0.05,17.683333333333334,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Adams,No,31.3,55.6,1.19,0.0,-11.1,2022,-1.4000000000000021,3.8666666666666742,1.2516666666666667,-0.05,-28.78333333333333
Austin Brice,No,25.73333333333333,48.13333333333333,-1.6366666666666667,-0.0666666666666666,11.933333333333332,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Brice,No,30.566666666666663,65.56666666666666,0.1199999999999999,0.0,12.766666666666666,2022,4.833333333333332,17.43333333333333,1.7566666666666666,0.0666666666666666,0.8333333333333339
Austin Davis,No,23.925,48.0,-0.7725,0.0,8.975,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Davis,No,27.65,53.75,-2.401666666666667,0.05,8.799999999999999,2022,3.724999999999998,5.75,-1.6291666666666669,0.05,-0.1750000000000007
Austin Gomber,No,30.52,64.62,0.634,0.2799999999999999,14.74,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Gomber,No,25.28333333333333,59.78333333333334,-1.4183333333333337,0.1833333333333333,12.033333333333331,2022,-5.236666666666668,-4.836666666666666,-2.052333333333334,-0.09666666666666662,-2.7066666666666688
Austin Pruitt,No,20.8,62.75,0.43,-0.05,18.55,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Pruitt,No,25.64,65.78,-1.276,-0.06,10.58,2022,4.84,3.030000000000001,-1.706,-0.009999999999999995,-7.970000000000001
Austin Slater,,16.7,50.0,0.11,0.0,-50.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Voth,No,26.2,58.46666666666667,-0.7733333333333335,-0.0333333333333333,11.05,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Voth,No,26.15,61.76666666666667,-0.2866666666666668,0.1666666666666666,13.483333333333334,2022,-0.05000000000000071,3.3000000000000043,0.48666666666666675,0.1999999999999999,2.4333333333333336
Austin Warren,No,33.333333333333336,65.56666666666666,1.3966666666666665,0.2333333333333333,18.33333333333333,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Warren,No,22.866666666666664,55.333333333333336,-2.5866666666666664,-0.0666666666666666,8.733333333333333,2022,-10.466666666666672,-10.233333333333327,-3.983333333333333,-0.29999999999999993,-9.599999999999996
Austin Wynns,No,22.2,75.0,-0.43,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Austin Wynns,No,11.25,37.5,-1.035,-0.05,-8.35,2022,-10.95,-37.5,-0.605,-0.05,-8.35
Bailey Falter,No,27.360000000000003,63.4,-0.37,0.06,21.32,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Bailey Falter,No,29.266666666666666,67.0,0.0616666666666666,0.0999999999999999,14.1,2022,1.9066666666666627,3.6000000000000014,0.4316666666666666,0.0399999999999999,-7.220000000000001
Bailey Ober,No,27.8,68.9,0.8600000000000001,0.2,19.6,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Bailey Ober,No,26.65,68.3,1.1574999999999998,0.375,17.775,2022,-1.1500000000000021,-0.6000000000000085,0.29749999999999965,0.175,-1.8250000000000028
Beau Brieske,No,21.325000000000003,57.675,0.0649999999999999,0.0499999999999999,8.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Beau Burrows,,20.7,54.333333333333336,-3.6766666666666654,-0.1666666666666666,-0.2666666666666669,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Beau Sulser,No,20.46,65.46000000000001,-0.994,0.0,10.44,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Ben Bowden,,27.933333333333334,54.18333333333334,-1.778333333333333,0.0166666666666666,12.216666666666669,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Ben Rowen,,29.2,59.95,-1.835,-0.05,15.55,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Bennett Sousa,No,25.23333333333333,59.86666666666667,-3.473333333333334,-0.0999999999999999,1.9666666666666668,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Bernardo Flores Jr.,,8.3,33.3,-1.82,0.0,-66.7,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Blaine Hardy,,12.9,42.9,-2.48,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Blake Parker,,27.675,61.400000000000006,1.12,0.05,12.35,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Blake Snell,No,28.76,63.46,1.9983333333333333,0.6166666666666666,17.55,2022,-0.0,-0.0,-0.0,-0.0,-0.0
