Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,Year
Albert Abreu,No,23.65,53.95,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.95,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,54.1,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Pujols,No,18.5,42.9,-3.54,-0.1,-14.3,Reliever,2022
Alcides Escobar,No,16.7,50.0,-1.2,0.0,-10.0,Reliever,2022
Alec Mills,No,19.700000000000003,59.75,-6.07,-0.25,29.25,Reliever,2022
Alejo Lopez,No,18.450000000000003,87.5,-0.155,-0.05,0.0,Reliever,2022
Alek Manoah,No,27.366666666666664,62.05,6.708333333333333,0.7000000000000001,16.666666666666668,Starter,2022
Alex Claudio,No,18.0,38.5,1.36,0.0,0.0,Reliever,2022
Alex Cobb,Yes,29.616666666666664,64.08333333333333,0.0616666666666666,0.6166666666666667,17.933333333333334,Starter,2022
