Name,Team,K-BB%
Chris Mazza,TBR,-2.9
Chris Owings,BAL,0.0
Chris Paddack,MIN,19.1
Chris Sale,BOS,16.0
Chris Stratton,STL,11.3
Chris Stratton,PIT,13.2
Christian Bethancourt,TBR,5.0
Christian Bethancourt,OAK,-25.0
Cionel Perez,BAL,14.516666666666666
Clarke Schmidt,NYY,13.200000000000001
Clay Holmes,NYY,16.933333333333334
Clayton Kershaw,LAD,19.983333333333334
Cody Morris,CLE,11.0
Cody Poteet,MIA,9.0
Cody Sedlock,BAL,12.5
Cody Stashak,MIN,24.0
Cole Irvin,OAK,12.299999999999999
Cole Ragans,TEX,5.9
Cole Sands,MIN,11.600000000000001
Cole Sulser,MIA,15.24
Cole Waites,SFG,0.0
Colin Holderman,NYM,11.399999999999999
Colin Holderman,PIT,-2.0
Colin Poche,TBR,15.5
Collin McHugh,ATL,23.0
Collin Snider,KCR,4.339999999999999
Collin Wiles,OAK,17.1
Conner Menez,CHC,20.0
Connor Brogdon,PHI,20.583333333333332
Connor Overton,CIN,2.7999999999999994
Connor Sadzeck,MIL,7.7
Connor Seabold,BOS,12.633333333333333
Cooper Criswell,TBR,23.1
Corbin Burnes,MIL,24.383333333333336
Corbin Martin,ARI,5.666666666666667
Corey Dickerson,STL,-16.7
Corey Kluber,TBR,17.216666666666665
Corey Knebel,PHI,6.42
Cory Abbott,WSN,19.75
Craig Kimbrel,LAD,18.066666666666666
Craig Stammen,SDP,16.080000000000002
Cristian Javier,HOU,24.5
Cristofer Ogando,TBR,5.55
Cristopher Sanchez,PHI,12.433333333333332
DL Hall,BAL,19.0
Dakota Hudson,STL,2.8666666666666667
Dallas Keuchel,TEX,6.5
Dallas Keuchel,ARI,14.3
Dallas Keuchel,CHW,0.39999999999999997
Damon Jones,PHI,0.0
Dane Dunning,TEX,11.183333333333332
Daniel Bard,COL,18.816666666666666
Daniel Castano,MIA,8.325
Daniel Duarte,CIN,-7.1
Daniel Hudson,LAD,25.833333333333332
Daniel Lynch,KCR,12.633333333333333
Daniel Mengden,KCR,20.2
Daniel Norris,CHC,15.125
Daniel Norris,DET,14.05
Danny Coulombe,MIN,-1.2999999999999998
Danny Young,SEA,15.0
Danny Young,ATL,8.3
Dany Jimenez,OAK,9.125
Darick Hall,PHI,0.0
Darin Ruf,NYM,0.0
Darren O'Day,ATL,16.375
Darwinzon Hernandez,BOS,1.1999999999999993
Daulton Jefferies,OAK,11.45
Dauri Moreta,CIN,20.466666666666665
David Bednar,PIT,24.240000000000002
David McKay,NYY,-11.1
David McKay,- - -,0.0
David Peterson,NYM,16.333333333333332
David Phelps,TOR,12.416666666666666
David Price,LAD,14.1
David Robertson,CHC,19.825
David Robertson,PHI,14.65
Davis Martin,CHW,11.66
Dean Kremer,BAL,11.05
Dee Strange-Gordon,WSN,-37.5
Dennis Santana,TEX,10.683333333333332
Denyi Reyes,BAL,4.55
Dereck Rodriguez,MIN,0.7000000000000002
Derek Law,DET,14.3
Derek Law,- - -,0.0
Derek Law,CIN,11.8
Devin Smeltzer,MIN,5.85
Devin Williams,MIL,27.483333333333334
Diego Castillo,SEA,14.450000000000001
Diego Castillo,PIT,-13.4
Dillon Peters,PIT,3.8600000000000003
Dillon Tate,BAL,15.783333333333331
Dinelson Lamet,COL,21.1
Dinelson Lamet,SDP,7.266666666666666
Domingo Acevedo,OAK,15.783333333333333
Domingo German,NYY,13.666666666666666
Domingo Tapia,OAK,-3.3600000000000003
Dominic Leone,SFG,12.85
Donovan Walton,SFG,-14.3
Drew Carlton,DET,19.9
Drew Hutchison,DET,4.3
Drew Rasmussen,TBR,14.983333333333333
Drew Smith,NYM,21.44
Drew Smyly,CHC,14.419999999999998
Drew Steckenrider,SEA,7.4
Drew VerHagen,STL,4.525
Drey Jameson,ARI,17.3
Duane Underwood Jr.,PIT,10.716666666666667
Dusten Knight,TBR,11.175
Dustin May,LAD,15.1
Dylan Bundy,MIN,11.416666666666666
Dylan Cease,CHW,20.099999999999998
Dylan Coleman,KCR,12.283333333333333
Dylan Floro,MIA,13.66
Dylan Lee,ATL,23.580000000000002
Easton McGee,TBR,7.1
Eduard Bazardo,BOS,10.8
Eduardo Rodriguez,DET,8.425
Edward Cabrera,MIA,13.733333333333334
Edwin Diaz,NYM,43.21666666666667
Edwin Uceta,ARI,4.840000000000001
Ehire Adrianza,WSN,0.0
Eli Morgan,CLE,23.05
Elieser Hernandez,MIA,13.733333333333334
Elvin Rodriguez,DET,6.7
Elvis Peguero,LAA,-1.6666666666666667
Emilio Pagan,MIN,20.53333333333333
Emmanuel Clase,CLE,24.366666666666664
Enoli Paredes,HOU,-7.15
Enyel De Los Santos,CLE,21.733333333333334
Erasmo Ramirez,WSN,13.883333333333333
Eric Lauer,MIL,15.716666666666667
Eric Stout,PIT,11.466666666666667
Eric Stout,CHC,33.3
Erich Uelmen,CHC,10.766666666666666
Erick Fedde,WSN,8.1
Erik Swanson,SEA,29.799999999999997
Ernie Clement,CLE,0.0
Ethan Roberts,CHC,7.9
Ethan Small,MIL,-2.8
Evan Lee,WSN,0.0
Evan Phillips,LAD,26.7
Felix Bautista,BAL,24.650000000000002
Fernando Cruz,CIN,18.8
Foster Griffin,TOR,12.5
Foster Griffin,KCR,-4.45
Framber Valdez,HOU,14.666666666666666
Francisco Morales,PHI,-14.55
Francisco Perez,WSN,1.0333333333333332
Frank German,BOS,0.0
Frank Schwindel,CHC,-5.6
Frankie Montas,OAK,18.375
Frankie Montas,NYY,9.25
Franmil Reyes,CHC,33.3
Freddy Peralta,MIL,19.775
Freddy Tarnok,ATL,33.3
Gabe Speier,KCR,8.666666666666666
Garrett Cleavinger,TBR,30.85
Garrett Cleavinger,LAD,28.3
Garrett Hill,DET,4.866666666666666
Garrett Richards,TEX,12.919999999999998
Garrett Stubbs,PHI,1.3999999999999997
Garrett Whitlock,BOS,22.53333333333333
Gavin Hollowell,COL,12.5
Genesis Cabrera,STL,6.38
George Kirby,SEA,20.62
Gerardo Reyes,LAA,-25.0
German Marquez,COL,11.216666666666667
Gerrit Cole,NYY,25.766666666666666
Giovanny Gallegos,STL,22.583333333333332
Glenn Otto,TEX,6.633333333333333
Graham Ashcraft,CIN,6.720000000000001
Greg Holland,TEX,20.0
Greg Weissert,NYY,13.65
Gregory Santos,SFG,1.6500000000000004
Gregory Soto,DET,10.533333333333333
Griffin Jax,MIN,20.583333333333332
Hansel Robles,BOS,0.7000000000000002
Hanser Alberto,LAD,-3.175
Harold Castro,DET,0.0
Hayden Wesneski,CHC,19.7
Heath Hembree,PIT,-4.833333333333333
Heath Hembree,LAD,12.1
Hector Neris,HOU,23.416666666666668
Hirokazu Sawamura,BOS,7.12
Hoby Milner,MIL,17.416666666666668
Huascar Brazoban,MIA,17.2
Huascar Ynoa,ATL,5.4
Humberto Castellanos,ARI,8.4
Hunter Brown,HOU,18.8
Hunter Dozier,KCR,-16.7
Hunter Gaddis,CLE,4.75
Hunter Greene,CIN,24.016666666666666
Hunter Harvey,WSN,23.025
Hunter Strickland,CIN,9.133333333333333
Hyun-Jin Ryu,TOR,13.9
Ian Anderson,ATL,8.059999999999999
Ian Gibaut,CLE,0.0
Ian Gibaut,CIN,19.533333333333335
Ian Hamilton,MIN,-9.1
Ian Kennedy,ARI,10.799999999999999
Ildemaro Vargas,WSN,0.0
J.B. Wendelken,ARI,-0.025000000000000355
J.P. Feyereisen,TBR,13.166666666666666
JC Mejia,MIL,-25.0
JP Sears,NYY,10.75
JP Sears,OAK,8.0
JT Brubaker,PIT,14.333333333333334
JT Chargois,TBR,24.766666666666666
Jace Peterson,MIL,0.0
Jack Flaherty,STL,2.05
Jack Mayfield,LAA,0.0
Jackie Bradley Jr.,BOS,-28.6
Jackson Kowar,KCR,10.233333333333334
Jackson Stephens,ATL,10.516666666666667
Jackson Tetreault,WSN,-7.5
Jacob Barnes,NYY,25.0
Jacob Barnes,DET,0.13333333333333344
Jacob deGrom,NYM,39.2
Jaime Barria,LAA,12.066666666666668
Jake Bird,COL,10.375
Jake Brentz,KCR,-5.3
Jake Cousins,MIL,22.450000000000003
Jake Diekman,CHW,16.3
Jake Diekman,BOS,12.075000000000001
Jake Fishman,MIA,11.533333333333331
Jake Hager,ARI,8.35
Jake Lemoine,OAK,8.15
Jake McGee,- - -,11.0
Jake McGee,WSN,-13.3
Jake McGee,SFG,6.933333333333334
Jake Odorizzi,ATL,10.55
Jake Odorizzi,HOU,10.700000000000001
Jake Reed,- - -,15.0
Jake Reed,BAL,14.8
Jake Reed,NYM,-7.7
Jake Reed,LAD,0.0
Jake Walsh,STL,20.0
Jake Woodford,STL,6.1
Jakob Junis,SFG,17.150000000000002
Jalen Beeks,TBR,19.25
James Kaprielian,OAK,7.26
James Karinchak,CLE,26.7
James Naile,STL,5.199999999999999
James Norwood,PHI,16.3
Jameson Taillon,NYY,16.45
Jandel Gustave,MIL,15.524999999999999
Janson Junk,LAA,20.0
Jared Koenig,OAK,3.1
Jared Solomon,CIN,25.333333333333332
Jarlin Garcia,SFG,12.35
Jason Adam,TBR,24.166666666666668
Jason Alexander,MIL,7.425000000000001
Jason Foley,DET,11.383333333333333
Javier Assad,CHC,2.3499999999999996
Javy Guerra,TBR,-12.950000000000001
Javy Guerra,- - -,0.0
Jay Jackson,ATL,20.0
Jeff Brigham,MIA,17.666666666666668
Jeff Hoffman,CIN,11.3
Jeffrey Springs,TBR,20.599999999999998
Jerad Eickhoff,PIT,11.1
Jeremiah Estrada,CHC,22.0
Jeremy Beasley,TOR,21.15
Jermaine Palacios,MIN,33.3
Jesse Chavez,ATL,19.525
Jesse Chavez,LAA,12.0
Jesse Chavez,- - -,21.4
Jesus Cruz,ATL,13.95
Jesus Luzardo,MIA,20.55
Jesus Tinoco,TEX,13.75
Jeurys Familia,PHI,11.475
Jeurys Familia,BOS,-1.25
Jharel Cotton,SFG,10.8
Jharel Cotton,MIN,10.540000000000001
Jhoan Duran,MIN,27.566666666666666
Jhon Romero,MIN,20.8
Jhonathan Diaz,LAA,1.85
Jhoulys Chacin,COL,5.8
Jimmy Herget,LAA,18.16
Jimmy Lambert,CHW,10.32
Jimmy Yacabonis,MIA,19.0
Jimmy Yacabonis,TBR,-1.25
JoJo Romero,STL,21.2
JoJo Romero,PHI,0.0
Joan Adon,WSN,6.325
Joe Barlow,TEX,8.883333333333333
Joe Jimenez,DET,27.25
Joe Kelly,CHW,18.2
Joe Mantiply,ARI,22.03333333333333
Joe Musgrove,SDP,19.166666666666668
Joe Ryan,MIN,16.65
Joe Smith,MIN,14.24
Joel Kuhnel,CIN,17.240000000000002
Joel Payamps,OAK,13.9
Joel Payamps,- - -,12.8
Joel Payamps,KCR,6.525
Joely Rodriguez,NYM,13.466666666666667
Joey Krehbiel,BAL,13.966666666666667
Joey Wentz,DET,10.350000000000001
Johan Oviedo,PIT,9.0
Johan Oviedo,STL,19.45
John Brebbia,SFG,12.916666666666666
John King,TEX,6.95
John Means,BAL,14.7
John Schreiber,BOS,20.583333333333332
Johnny Cueto,CHW,10.379999999999999
Jon Gray,TEX,17.316666666666666
Jon Heasley,KCR,5.000000000000001
Jonathan Hernandez,TEX,8.766666666666667
Jonathan Loaisiga,NYY,9.440000000000001
Jordan Hicks,STL,11.36
Jordan Holloway,MIA,9.1
Jordan Lyles,BAL,11.700000000000001
Jordan Montgomery,STL,19.05
Jordan Montgomery,NYY,15.45
Jordan Romano,TOR,19.416666666666668
Jordan Sheffield,COL,-12.5
Jordan Weems,WSN,24.6
Jorge Alcala,MIN,0.0
Jorge Lopez,MIN,4.95
Jorge Lopez,BAL,18.8
Jose Alvarado,PHI,26.066666666666666
Jose Alvarez,SFG,13.1
Jose Berrios,TOR,13.566666666666668
Jose Butto,NYM,13.0
Jose Castillo,SDP,0.0
Jose Cisnero,DET,0.7666666666666663
Jose Cuas,KCR,10.94
Jose Leclerc,TEX,14.575000000000001
Jose Marte,LAA,11.1
Jose Quijada,LAA,11.983333333333334
Jose Quintana,STL,13.05
Jose Quintana,PIT,13.15
Jose Ruiz,CHW,14.683333333333335
Jose Suarez,LAA,12.283333333333333
Jose Urena,COL,5.366666666666667
Jose Urena,MIL,-5.6
Jose Urquidy,HOU,14.0
Josh Fleming,TBR,8.025
Josh Hader,MIL,34.6
Josh Hader,SDP,16.65
Josh Harrison,CHW,0.0
Josh Rogers,WSN,-6.1000000000000005
Josh Sborz,TEX,18.72
Josh Staumont,KCR,5.32
Josh VanMeter,PIT,-8.35
Josh Winckowski,BOS,5.7
Josh Winder,MIN,7.26
Josiah Gray,WSN,14.200000000000001
Jovani Moran,MIN,24.86
Juan Minaya,MIN,14.799999999999999
