Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,Year
Adam Wainwright,No,29.883333333333336,63.85,4.608333333333333,0.65,15.116666666666667,Starter,2021
Adam Wainwright,No,27.85,62.48333333333333,2.115,0.5000000000000001,11.066666666666668,Starter,2022
Adbert Alzolay,No,28.28333333333333,64.38333333333334,0.2533333333333336,0.1666666666666666,17.8,Reliever,2021
Adbert Alzolay,No,31.6,75.0,0.93,0.5,32.7,Reliever,2022
Adonis Medina,Yes,27.7,41.7,0.6,0.1,5.6,Reliever,2021
Adonis Medina,Yes,23.53333333333333,66.23333333333333,-1.2583333333333335,-0.0166666666666666,20.23333333333333,Reliever,2022
Adrian Houser,No,23.0,58.85,2.533333333333333,0.25,6.416666666666667,Starter,2021
Adrian Houser,No,23.9,57.86,-2.74,0.2,5.0200000000000005,Starter,2022
Adrian Martinez,No,26.78,61.48,-2.992,-0.04,12.36,Starter,2022
Adrian Morejon,No,30.0,55.0,0.15,-0.2,5.0,Reliever,2021
Adrian Morejon,No,23.925,60.6,0.5924999999999999,0.075,13.45,Reliever,2022
Adrian Sampson,No,21.9,53.85,1.325,-0.15,13.6,Starter,2021
Adrian Sampson,No,22.16,52.16,2.306,0.3,10.42,Starter,2022
Akeem Bostick,,28.6,75.0,0.44,0.0,-25.0,,2021
Albert Abreu,No,29.8,53.86666666666667,-0.95,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,-0.15,5.4,Reliever,2022
Albert Abreu,No,23.65,54.1,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,-0.15,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,0.0666666666666666,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,0.0,-3.95,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,-0.15,12.433333333333332,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,1.34,-0.15,5.4,Reliever,2022
Albert Abreu,No,29.8,53.86666666666667,-0.95,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0666666666666666,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,0.0,-3.95,Reliever,2022
Albert Abreu,No,23.65,54.1,1.34,0.0666666666666666,12.433333333333332,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,-0.15,-3.95,Reliever,2022
Albert Abreu,No,23.65,53.95,-0.8466666666666667,-0.15,5.4,Reliever,2022
