Name,Team,RE24
Chi Chi Gonzalez,MIL,-1.16
Chi Chi Gonzalez,- - -,-4.78
Chris Archer,MIN,-0.7200000000000001
Chris Bassitt,NYM,2.25
Chris Devenski,ARI,-0.855
Chris Devenski,PHI,-2.02
Chris Ellis,BAL,-2.77
Chris Flexen,SEA,0.42999999999999994
Chris Martin,CHC,0.24750000000000005
Chris Martin,LAD,5.195
Chris Mazza,TBR,-9.28
Chris Owings,BAL,-0.52
Chris Paddack,MIN,0.27499999999999997
Chris Sale,BOS,-0.61
Chris Stratton,PIT,-2.565
Chris Stratton,STL,1.9649999999999999
Christian Bethancourt,OAK,0.53
Christian Bethancourt,TBR,0.20499999999999996
Cionel Perez,BAL,2.231666666666667
Clarke Schmidt,NYY,0.7583333333333333
Clay Holmes,NYY,1.3416666666666668
Clayton Kershaw,LAD,4.376666666666667
Cody Morris,CLE,3.31
Cody Poteet,MIA,-0.6633333333333332
Cody Sedlock,BAL,-2.96
Cody Stashak,MIN,-1.155
Cole Irvin,OAK,-0.555
Cole Ragans,TEX,-2.29
Cole Sands,MIN,-1.53
Cole Sulser,MIA,-0.40800000000000003
Cole Waites,SFG,0.18
Colin Holderman,PIT,-2.13
Colin Holderman,NYM,1.1266666666666667
Colin Poche,TBR,-0.5199999999999999
Collin McHugh,ATL,3.0033333333333334
Collin Snider,KCR,-0.324
Collin Wiles,OAK,-0.9
Conner Menez,CHC,0.25
Connor Brogdon,PHI,0.5933333333333334
Connor Overton,CIN,2.84
Connor Sadzeck,MIL,-1.55
Connor Seabold,BOS,-4.786666666666666
Cooper Criswell,TBR,0.01
Corbin Burnes,MIL,4.621666666666666
Corbin Martin,ARI,-0.5366666666666667
Corey Dickerson,STL,0.47
Corey Kluber,TBR,-1.54
Corey Knebel,PHI,-0.11399999999999988
Cory Abbott,WSN,-1.295
Craig Kimbrel,LAD,-0.7816666666666667
Craig Stammen,SDP,-1.406
Cristian Javier,HOU,3.9583333333333335
Cristofer Ogando,TBR,-0.015
Cristopher Sanchez,PHI,-0.6333333333333332
DL Hall,BAL,-2.83
Dakota Hudson,STL,-0.3683333333333334
Dallas Keuchel,ARI,-5.68
Dallas Keuchel,TEX,-4.195
Dallas Keuchel,CHW,-9.49
Damon Jones,PHI,-1.05
Dane Dunning,TEX,-0.9866666666666667
Daniel Bard,COL,2.703333333333333
Daniel Castano,MIA,-1.0175
Daniel Duarte,CIN,-2.55
Daniel Hudson,LAD,1.87
Daniel Lynch,KCR,-2.8683333333333336
Daniel Mengden,KCR,-1.09
Daniel Norris,CHC,-2.8725
Daniel Norris,DET,1.3199999999999998
Danny Coulombe,MIN,1.38
Danny Young,ATL,1.31
Danny Young,SEA,-1.27
Dany Jimenez,OAK,0.8150000000000001
Darick Hall,PHI,-0.5
Darin Ruf,NYM,1.04
Darren O'Day,ATL,-0.555
Darwinzon Hernandez,BOS,-7.195
Daulton Jefferies,OAK,-4.375
Dauri Moreta,CIN,-0.3383333333333332
David Bednar,PIT,1.202
David McKay,- - -,-4.06
David McKay,NYY,0.91
David Peterson,NYM,-0.11999999999999995
David Phelps,TOR,1.5050000000000001
David Price,LAD,0.7933333333333334
David Robertson,PHI,1.87
David Robertson,CHC,2.63
Davis Martin,CHW,-1.032
Dean Kremer,BAL,3.235
Dee Strange-Gordon,WSN,-2.47
Dennis Santana,TEX,-1.36
Denyi Reyes,BAL,0.77
Dereck Rodriguez,MIN,-0.845
Derek Law,CIN,-2.12
Derek Law,- - -,1.14
Derek Law,DET,-3.53
Devin Smeltzer,MIN,0.615
Devin Williams,MIL,2.078333333333333
Diego Castillo,SEA,-0.7016666666666667
Diego Castillo (PIT),PIT,-3.495
Dillon Peters,PIT,-0.29200000000000004
Dillon Tate,BAL,2.4616666666666664
Dinelson Lamet,COL,0.5050000000000001
Dinelson Lamet,SDP,-3.686666666666667
Domingo Acevedo,OAK,0.9166666666666666
Domingo German,NYY,0.4466666666666667
Domingo Tapia,OAK,-1.956
Dominic Leone,SFG,-0.625
Donovan Walton,SFG,-2.53
Drew Carlton,DET,-0.125
Drew Hutchison,DET,-1.205
Drew Rasmussen,TBR,2.5250000000000004
Drew Smith,NYM,-0.38399999999999995
Drew Smyly,CHC,2.0759999999999996
Drew Steckenrider,SEA,-1.9799999999999998
Drew VerHagen,STL,-1.93
Drey Jameson,ARI,7.05
Duane Underwood Jr.,PIT,-0.7200000000000001
Dusten Knight,TBR,-0.8425
Dustin May,LAD,-0.9749999999999999
Dylan Bundy,MIN,-2.1683333333333334
Dylan Cease,CHW,5.625
Dylan Coleman,KCR,1.18
Dylan Floro,MIA,0.602
Dylan Lee,ATL,1.372
Easton McGee,TBR,0.41
Eduard Bazardo,BOS,2.0
Eduardo Rodriguez,DET,-1.765
Edward Cabrera,MIA,4.836666666666667
Edwin Diaz,NYM,3.395
Edwin Uceta,ARI,-0.828
Ehire Adrianza,WSN,0.52
Eli Morgan,CLE,0.9899999999999999
Elieser Hernandez,MIA,-3.265
Elvin Rodriguez,DET,-3.8639999999999994
Elvis Peguero,LAA,-2.9166666666666665
Emilio Pagan,MIN,-0.9866666666666667
Emmanuel Clase,CLE,2.356666666666667
Enoli Paredes,HOU,0.16999999999999998
Enyel De Los Santos,CLE,1.61
Erasmo Ramirez,WSN,1.9566666666666663
Eric Lauer,MIL,1.16
Eric Stout,CHC,-0.2
Eric Stout,PIT,-2.47
Erich Uelmen,CHC,-1.1033333333333333
Erick Fedde,WSN,-3.063333333333333
Erik Swanson,SEA,1.5899999999999999
Ernie Clement,CLE,-1.53
Ethan Roberts,CHC,-6.2
Ethan Small,MIL,-1.22
Evan Lee,WSN,-1.92
Evan Phillips,LAD,3.9533333333333336
Felix Bautista,BAL,2.9266666666666663
Fernando Cruz,CIN,0.71
Foster Griffin,TOR,0.85
Foster Griffin,KCR,-2.5149999999999997
Framber Valdez,HOU,3.5533333333333332
Francisco Morales,PHI,-1.32
Francisco Perez,WSN,-1.3766666666666667
Frank German,BOS,-4.82
Frank Schwindel,CHC,-4.51
Frankie Montas,OAK,1.1275000000000002
Frankie Montas,NYY,-4.640000000000001
Franmil Reyes,CHC,0.42
Freddy Peralta,MIL,1.755
Freddy Tarnok,ATL,-0.46
Gabe Speier,KCR,0.51
Garrett Cleavinger,TBR,2.1550000000000002
Garrett Cleavinger,LAD,-1.4833333333333334
Garrett Hill,DET,-0.5900000000000002
Garrett Richards,TEX,-1.266
Garrett Stubbs,PHI,-1.7533333333333332
Garrett Whitlock,BOS,1.27
Gavin Hollowell,COL,-2.12
Genesis Cabrera,STL,-1.334
George Kirby,SEA,0.6399999999999999
Gerardo Reyes,LAA,-0.06
German Marquez,COL,-1.385
Gerrit Cole,NYY,2.1816666666666666
Giovanny Gallegos,STL,0.7783333333333333
Glenn Otto,TEX,-1.6433333333333333
Graham Ashcraft,CIN,-0.9339999999999999
Greg Holland,TEX,-3.29
Greg Weissert,NYY,-0.34500000000000003
Gregory Santos,SFG,0.0
Gregory Soto,DET,-0.5950000000000001
Griffin Jax,MIN,0.37166666666666676
Hansel Robles,BOS,-1.365
Hanser Alberto,LAD,0.10249999999999998
Harold Castro,DET,-0.05
Hayden Wesneski,CHC,7.15
Heath Hembree,LAD,-1.7
Heath Hembree,PIT,-2.11
Hector Neris,HOU,0.34833333333333333
Hirokazu Sawamura,BOS,-1.1
Hoby Milner,MIL,1.0133333333333334
Huascar Brazoban,MIA,0.36999999999999994
Huascar Ynoa,ATL,-5.0
Humberto Castellanos,ARI,-3.0999999999999996
Hunter Brown,HOU,7.46
Hunter Dozier,KCR,-1.5
Hunter Gaddis,CLE,-5.955
Hunter Greene,CIN,0.7200000000000001
Hunter Harvey,WSN,1.4975
Hunter Strickland,CIN,-0.765
Hyun-Jin Ryu,TOR,-0.9466666666666669
Ian Anderson,ATL,-0.5199999999999999
Ian Gibaut,CIN,-0.29333333333333333
Ian Gibaut,CLE,0.57
Ian Hamilton,MIN,-0.09
Ian Kennedy,ARI,-1.405
Ildemaro Vargas,WSN,0.5
J.B. Wendelken,ARI,-0.355
J.P. Feyereisen,TBR,3.5500000000000003
JC Mejia,MIL,-6.06
JP Sears,NYY,1.51
JP Sears,OAK,-1.335
JT Brubaker,PIT,-2.3983333333333334
JT Chargois,TBR,1.21
Jace Peterson,MIL,0.64
Jack Flaherty,STL,-0.6000000000000001
Jack Mayfield,LAA,0.43
Jackie Bradley Jr.,BOS,-0.48
Jackson Kowar,KCR,-3.716666666666667
Jackson Stephens,ATL,-0.9733333333333333
Jackson Tetreault,WSN,-2.44
Jacob Barnes,NYY,0.71
Jacob Barnes,DET,-1.3533333333333335
Jacob deGrom,NYM,4.295
Jaime Barria,LAA,0.6333333333333334
Jake Bird,COL,-1.7424999999999997
Jake Brentz,KCR,-10.76
Jake Cousins,MIL,0.535
Jake Diekman,BOS,-1.69
Jake Diekman,CHW,-5.574999999999999
Jake Fishman,MIA,0.48666666666666664
Jake Hager,ARI,-0.36
Jake Lemoine,OAK,-3.245
Jake McGee,WSN,-0.9
Jake McGee,- - -,-0.99
Jake McGee,SFG,-1.2466666666666668
Jake Odorizzi,ATL,-4.125
Jake Odorizzi,HOU,0.31999999999999984
Jake Reed,- - -,0.93
Jake Reed,LAD,0.86
Jake Reed,NYM,-2.34
Jake Reed,BAL,-5.35
Jake Walsh,STL,-1.06
Jake Woodford,STL,2.1759999999999997
Jakob Junis,SFG,-0.08000000000000007
Jalen Beeks,TBR,0.9416666666666668
James Kaprielian,OAK,-0.45799999999999985
James Karinchak,CLE,2.4566666666666666
James Naile,STL,0.07250000000000001
James Norwood,PHI,-2.153333333333333
Jameson Taillon,NYY,0.7966666666666665
Jandel Gustave,MIL,-0.39999999999999997
Janson Junk,LAA,-0.7433333333333335
Jared Koenig,OAK,-1.8575
Jared Solomon,CIN,-1.2533333333333334
Jarlin Garcia,SFG,-1.54
Jason Adam,TBR,3.3366666666666664
Jason Alexander,MIL,-2.7325
Jason Foley,DET,-0.7016666666666667
Javier Assad,CHC,1.585
Javy Guerra,- - -,-5.22
Javy Guerra,TBR,0.98
Jay Jackson,ATL,0.61
Jeff Brigham,MIA,1.8099999999999998
Jeff Hoffman,CIN,0.175
Jeffrey Springs,TBR,3.1199999999999997
Jerad Eickhoff,PIT,-8.42
Jeremiah Estrada,CHC,-0.07
Jeremy Beasley,TOR,-1.215
Jermaine Palacios,MIN,0.73
Jesse Chavez,LAA,-7.64
Jesse Chavez,- - -,2.01
Jesse Chavez,ATL,0.5125
Jesus Cruz,ATL,-0.725
Jesus Luzardo,MIA,2.455
Jesus Tinoco,TEX,1.8450000000000002
Jeurys Familia,PHI,-3.05
Jeurys Familia,BOS,-1.02
Jharel Cotton,SFG,-1.07
Jharel Cotton,MIN,0.374
