Name,PreviousF-Strike%,ActualF-Strike%,Difference,DifferenceRate
Reese McGuire,,66.7,66.7,0
Reid Detmers,,59.98333333,59.98333333,0
Reiss Knehr,,53.025,53.025,0
Reiver Sanmartin,,60.16666667,60.16666667,0
Reynaldo Lopez,,61.8,61.8,0
Rich Hill,,63.78333333,63.78333333,0
Richard Bleier,,67.38333333,67.38333333,0
Rico Garcia,,56.25,56.25,0
Riley O'Brien,,60,60,0
Roansy Contreras,,61.15,61.15,0
Robbie Erlin,,77.8,77.8,0
Robbie Ray,,64.35,64.35,0
Robert Gsellman,,64.1,64.1,0
Robert Suarez,,65.16,65.16,0
Roenis Elias,,72.3,72.3,0
Ron Marinaccio,,58.36666667,58.36666667,0
Ronald Bolanos,,58.8,58.8,0
Ronel Blanco,,62.5,62.5,0
Ronny Henriquez,,54,54,0
Rony Garcia,,59.125,59.125,0
Ross Detwiler,,55.9,55.9,0
Ross Stripling,,70.13333333,70.13333333,0
Rowan Wick,,59.26666667,59.26666667,0
Ryan Brasier,,67.45,67.45,0
Ryan Burr,,43.9,43.9,0
Ryan Castellani,,72.7,72.7,0
Ryan Feltner,,60.88333333,60.88333333,0
Ryan Helsley,,62.6,62.6,0
Ryan Hendrix,,48.53333333,48.53333333,0
Ryan McKenna,,70,70,0
Ryan Pepiot,,62.675,62.675,0
Ryan Pressly,,66.73333333,66.73333333,0
Ryan Tepera,,58.63333333,58.63333333,0
Ryan Thompson,,58.72,58.72,0
Ryan Weathers,,47.6,47.6,0
Ryan Weber,,75.26666667,75.26666667,0
Ryan Yarbrough,,69.36,69.36,0
Ryne Nelson,,53.6,53.6,0
Ryne Stanek,,59.81666667,59.81666667,0
Sam Coonrod,,63.1,63.1,0
Sam Hentges,,60.68333333,60.68333333,0
Sam Howard,,75,75,0
Sam Moll,,52.28333333,52.28333333,0
Sam Selman,,56.86666667,56.86666667,0
Sammy Long,,59.72,59.72,0
Sandy Alcantara,,62.43333333,62.43333333,0
Sandy Leon,,66.7,66.7,0
Scott Alexander,,69.05,69.05,0
Scott Barlow,,61.18333333,61.18333333,0
Sean Doolittle,,76.5,76.5,0
Sean Hjelle,,55.475,55.475,0
Sean Manaea,,63.66666667,63.66666667,0
Sean Poppen,,59.52,59.52,0
Sean Reid-Foley,,65.9,65.9,0
Seranthony Dominguez,,59.68333333,59.68333333,0
Seth Lugo,,60.81666667,60.81666667,0
Seth Martinez,,67.41666667,67.41666667,0
Shane Baz,,58.8,58.8,0
Shane Bieber,,66.25,66.25,0
Shane McClanahan,,62.53333333,62.53333333,0
Shaun Anderson,,85.7,85.7,0
Shelby Miller,,70,70,0
Sheldon Neuse,,47.76666667,47.76666667,0
Shohei Ohtani,,60.95,60.95,0
Silvino Bracho,,73.2,73.2,0
Simeon Woods Richardson,,70,70,0
Sonny Gray,,62.16666667,62.16666667,0
Spencer Howard,,58.26666667,58.26666667,0
Spencer Patton,,44.8,44.8,0
Spencer Strider,,59.8,59.8,0
Spenser Watkins,,65.78333333,65.78333333,0
Stephen Nogosek,,63.16,63.16,0
Stephen Strasburg,,60.9,60.9,0
Steve Cishek,,59.83333333,59.83333333,0
Steven Brault,,43.25,43.25,0
Steven Matz,,63.8,63.8,0
Steven Okert,,54.75,54.75,0
Steven Wilson,,59.96666667,59.96666667,0
T.J. McFarland,,53.66,53.66,0
T.J. Zeuch,,59.4,59.4,0
Taijuan Walker,,58.65,58.65,0
Tanner Banks,,70.85,70.85,0
Tanner Houck,,47.5,47.5,0
Tanner Rainey,,56.775,56.775,0
Tanner Scott,,54.46666667,54.46666667,0
Tanner Tully,,49.96666667,49.96666667,0
Tarik Skubal,,65.88,65.88,0
Tayler Saucedo,,53.3,53.3,0
Tayler Scott,,55.55,55.55,0
Taylor Clarke,,69.01666667,69.01666667,0
Taylor Hearn,,64.5,64.5,0
Taylor Widener,,64.725,64.725,0
Thomas Hatch,,76.9,76.9,0
Tim Hill,,54.23333333,54.23333333,0
Tim Mayza,,63.93333333,63.93333333,0
Tommy Henry,,58.7,58.7,0
Tommy Hunter,,68.875,68.875,0
Tommy Kahnle,,72.5,72.5,0
Tommy Milone,,69.95,69.95,0
Tommy Nance,,59.66,59.66,0
Tony Gonsolin,,62.06666667,62.06666667,0
Tony Santillan,,48.63333333,48.63333333,0
Touki Toussaint,,43.93333333,43.93333333,0
Travis Lakins Sr.,,53.1,53.1,0
Trent Thornton,,66.58333333,66.58333333,0
Trevor Gott,,55.43333333,55.43333333,0
Trevor Kelley,,52.02,52.02,0
Trevor May,,51.775,51.775,0
Trevor Megill,,62.44,62.44,0
Trevor Richards,,53.45,53.45,0
Trevor Rogers,,61.96666667,61.96666667,0
Trevor Stephan,,64.28333333,64.28333333,0
Trevor Williams,,67.88333333,67.88333333,0
Triston McKenzie,,62.33333333,62.33333333,0
Tucker Barnhart,,60,60,0
Ty Blach,,70.73333333,70.73333333,0
Tyler Alexander,,66.36,66.36,0
Tyler Anderson,,65.06666667,65.06666667,0
Tyler Clippard,,40.5,40.5,0
Tyler Danish,,50.32,50.32,0
Tyler Duffey,,58.56,58.56,0
Tyler Gilbert,,56.125,56.125,0
Tyler Glasnow,,73.1,73.1,0
Tyler Holton,,66.875,66.875,0
Tyler Kinley,,56.63333333,56.63333333,0
Tyler Matzek,,55.32,55.32,0
Tyler Rogers,,64.93333333,64.93333333,0
Tyler Wells,,61.1,61.1,0
Tylor Megill,,59.775,59.775,0
Tyson Miller,,57.35,57.35,0
Victor Arano,,63.41666667,63.41666667,0
Victor Caratini,,42.9,42.9,0
Vince Velasquez,,61.8,61.8,0
Vinny Nittoli,,37.5,37.5,0
Vladimir Gutierrez,,44.13333333,44.13333333,0
Wade Miley,,67.13333333,67.13333333,0
Walker Buehler,,60.83333333,60.83333333,0
Wandy Peralta,,59.21666667,59.21666667,0
Whit Merrifield,,66.7,66.7,0
Wil Crowe,,57.05,57.05,0
Wil Myers,,60.23333333,60.23333333,0
Will Vest,,62.05,62.05,0
William Woods,,37.5,37.5,0
Willians Astudillo,,45.85,45.85,0
Wily Peralta,,57.66,57.66,0
Xzavion Curry,,57.55,57.55,0
Yadier Molina,,48.55,48.55,0
Yency Almonte,,63.58,63.58,0
Yerry De Los Santos,,67.65,67.65,0
Yerry Rodriguez,,75,75,0
Yimi Garcia,,61.86666667,61.86666667,0
Yoan Lopez,,56.84,56.84,0
Yolmer Sanchez,,83.3,83.3,0
Yonny Chirinos,,70,70,0
Yu Chang,,45.5,45.5,0
Yu Darvish,,63.6,63.6,0
Yunior Marte,,61.31666667,61.31666667,0
Yusei Kikuchi,,58.33333333,58.33333333,0
Zac Gallen,,63.5,63.5,0
Zac Lowther,,46.4,46.4,0
Zach Davies,,55.74,55.74,0
Zach Eflin,,69.425,69.425,0
Zach Jackson,,51.88,51.88,0
Zach Logue,,51.24,51.24,0
Zach Plesac,,60.33333333,60.33333333,0
Zach Thompson,,64.33333333,64.33333333,0
Zack Britton,,33.3,33.3,0
Zack Greinke,,65.06666667,65.06666667,0
Zack Kelly,,72.8,72.8,0
Zack Littell,,61.28333333,61.28333333,0
Zack Thompson,,55.125,55.125,0
Zack Weiss,,48.2,48.2,0
Zack Wheeler,,66.91666667,66.91666667,0
Luke Bard,100,61.05,-38.95,-0.3895
Eric Stout,58.16666667,66.7,8.53333333,0.146704871
Taylor Rogers,66.95,71.95,5,0.074682599
Shawn Armstrong,62.92,52.9,-10.02,-0.159249841
Anthony Banda,52.65833333,70.4,17.74166667,0.336920399
Jake McGee,63.7,59.46666667,-4.23333333,-0.066457352
Jeurys Familia,53.15,50.325,-2.825,-0.053151458
Chris Stratton,63.925,55.35,-8.575,-0.134141572
Luis Castillo,59.76666667,62.65,2.88333333,0.048243168
Paul Fry,56.95,28.6,-28.35,-0.497805092
Chris Martin,84.6,72,-12.6,-0.14893617
Matt Bush,67.5,59.25,-8.25,-0.122222222
Anthony Misiewicz,57.76666667,61.35,3.58333333,0.06203116
JoJo Romero,65.2,60,-5.2,-0.079754601
Austin Davis,56.5,40,-16.5,-0.292035398
Garrett Cleavinger,53.43333333,57.8,4.36666667,0.081721772
Tyler Cyr,33.3,57.7,24.4,0.732732733
Tucker Davidson,50.35,59.2,8.85,0.175769613
Aaron Sanchez,63.65,59.6,-4.05,-0.063629222
Thomas Szapucki,65.05,53.8,-11.25,-0.172943889
Zach Pop,62.33333333,58.25,-4.08333333,-0.065508021
Jake Reed,70.43333333,47.2,-23.23333333,-0.329862754
Jharel Cotton,56.04,62.2,6.16,0.109921485
Anthony Bass,67.425,64.05,-3.375,-0.050055617
Jose Quintana,62,60.625,-1.375,-0.022177419
Tyler Mahle,61.2,55.45,-5.75,-0.093954248
Mychal Givens,57.3,58.25,0.95,0.016579407
Tyler Thornburg,57.35,52.5,-4.85,-0.084568439
Max Castillo,62.85,66.15,3.3,0.052505967
Colin Holderman,60.8,60.83333333,0.03333333,0.000548246
Will Smith,62.6,72.15,9.55,0.152555911
Johan Oviedo,59.7,62.5,2.8,0.046901173
Chi Chi Gonzalez,61.05,75,13.95,0.228501229
Joel Payamps,52.78,49.35,-3.43,-0.064986737
Albert Abreu,54,53.87,-0.13,-0.002407407
Michael Fulmer,55.12,51.8,-3.32,-0.060232221
Robert Dugger,50,48.55,-1.45,-0.029
Javy Guerra,55.3,52.55,-2.75,-0.049728752
