Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Nate Fisher,,-9.1,-9.1,0
Nathan Eovaldi,,17.53333333,17.53333333,0
Nestor Cortes,,20.88333333,20.88333333,0
Nicholas Padilla,,-11.1,-11.1,0
Nick Duron,,25,25,0
Nick Gordon,,-12.96666667,-12.96666667,0
Nick Lodolo,,20.575,20.575,0
Nick Martinez,,12.28333333,12.28333333,0
Nick Maton,,0,0,0
Nick Mears,,12.5,12.5,0
Nick Neidert,,15,15,0
Nick Nelson,,10.63333333,10.63333333,0
Nick Pivetta,,12.35,12.35,0
Nick Sandlin,,10.65,10.65,0
Nick Vespi,,21.3,21.3,0
Nick Wittgren,,5.366666667,5.366666667,0
Nicklaus Snyder,,-42.9,-42.9,0
Nicky Lopez,,0,0,0
Noah Davis,,14.3,14.3,0
Noe Ramirez,,12.36,12.36,0
Norge Ruiz,,14.25,14.25,0
Oliver Ortega,,17.76,17.76,0
Oliver Perez,,0,0,0
Orlando Arcia,,-25,-25,0
Pablo Lopez,,16.61666667,16.61666667,0
Pablo Reyes,,0,0,0
Packy Naughton,,11.98333333,11.98333333,0
Paolo Espino,,13.75,13.75,0
Parker Markel,,-11.1,-11.1,0
Parker Mushinski,,12.2,12.2,0
Patrick Corbin,,11.05,11.05,0
Patrick Murphy,,-11.8,-11.8,0
Patrick Sandoval,,15.05,15.05,0
Paul Blackburn,,12.92,12.92,0
Paul Sewald,,23.95,23.95,0
Pedro Avila,,22.2,22.2,0
Pedro Baez,,-6.3,-6.3,0
Penn Murfee,,21.41666667,21.41666667,0
Pete Fairbanks,,38.73333333,38.73333333,0
Peter Strzelecki,,17.825,17.825,0
Phil Bickford,,20.23333333,20.23333333,0
Phil Gosselin,,0,0,0
Phil Maton,,17.46666667,17.46666667,0
Phillip Diehl,,0,0,0
Phillips Valdez,,-1.675,-1.675,0
Phoenix Sanders,,32.5,32.5,0
Pierce Johnson,,20.85,20.85,0
R.J. Alvarez,,-7.7,-7.7,0
Rafael Montero,,19.08333333,19.08333333,0
Ralph Garza,,-1.52,-1.52,0
Randal Grichuk,,0,0,0
Ranger Suarez,,11.48333333,11.48333333,0
Ray Kerr,,-7.3,-7.3,0
Raynel Espinal,,19,19,0
Reed Garrett,,-0.6,-0.6,0
Reese McGuire,,0,0,0
Reid Detmers,,13.98333333,13.98333333,0
Reiss Knehr,,5.975,5.975,0
Reiver Sanmartin,,3.983333333,3.983333333,0
Reynaldo Lopez,,20.65,20.65,0
Rich Hill,,10.98333333,10.98333333,0
Richard Bleier,,9.966666667,9.966666667,0
Rico Garcia,,-7.825,-7.825,0
Riley O'Brien,,0,0,0
Roansy Contreras,,13.13333333,13.13333333,0
Robbie Erlin,,0,0,0
Robbie Ray,,19.66666667,19.66666667,0
Robert Gsellman,,9.4,9.4,0
Robert Suarez,,15.7,15.7,0
Roenis Elias,,7.5,7.5,0
Ron Marinaccio,,18.93333333,18.93333333,0
Ronald Bolanos,,-5.333333333,-5.333333333,0
Ronel Blanco,,9.4,9.4,0
Ronny Henriquez,,12,12,0
Rony Garcia,,13.55,13.55,0
Ross Detwiler,,14.35,14.35,0
Ross Stripling,,17.21666667,17.21666667,0
Rowan Wick,,15.06666667,15.06666667,0
Ryan Brasier,,19.65,19.65,0
Ryan Burr,,4.55,4.55,0
Ryan Castellani,,9.1,9.1,0
Ryan Feltner,,12.3,12.3,0
Ryan Helsley,,33.85,33.85,0
Ryan Hendrix,,10,10,0
Ryan McKenna,,-10,-10,0
Ryan Pepiot,,11.25,11.25,0
Ryan Pressly,,26.38333333,26.38333333,0
Ryan Tepera,,10.63333333,10.63333333,0
Ryan Thompson,,15.76,15.76,0
Ryan Weathers,,-4.8,-4.8,0
Ryan Weber,,5.8,5.8,0
Ryan Yarbrough,,9.22,9.22,0
Ryne Nelson,,14.5,14.5,0
Ryne Stanek,,13.6,13.6,0
Sam Coonrod,,10.85,10.85,0
Sam Hentges,,22.4,22.4,0
Sam Howard,,-25,-25,0
Sam Moll,,11.16666667,11.16666667,0
Sam Selman,,18.03333333,18.03333333,0
Sammy Long,,8.9,8.9,0
Sandy Alcantara,,17.45,17.45,0
Sandy Leon,,0,0,0
Scott Alexander,,19.4,19.4,0
Scott Barlow,,18.91666667,18.91666667,0
Sean Doolittle,,35.3,35.3,0
Sean Hjelle,,22.6,22.6,0
Sean Manaea,,15.91666667,15.91666667,0
Sean Poppen,,7.8,7.8,0
Sean Reid-Foley,,2.3,2.3,0
Seranthony Dominguez,,20.15,20.15,0
Seth Lugo,,18.2,18.2,0
Seth Martinez,,13.9,13.9,0
Shane Baz,,17.6,17.6,0
Shane Bieber,,20,20,0
Shane McClanahan,,23.23333333,23.23333333,0
Shaun Anderson,,0,0,0
Shelby Miller,,36.7,36.7,0
Sheldon Neuse,,0,0,0
Shohei Ohtani,,27.21666667,27.21666667,0
Silvino Bracho,,10.7,10.7,0
Simeon Woods Richardson,,5,5,0
Sonny Gray,,15.4,15.4,0
Spencer Howard,,14.13333333,14.13333333,0
Spencer Patton,,6.9,6.9,0
Spencer Strider,,28.96666667,28.96666667,0
Spenser Watkins,,6.9,6.9,0
Stephen Nogosek,,23.56,23.56,0
Stephen Strasburg,,13,13,0
Steve Cishek,,16.1,16.1,0
Steven Brault,,7.55,7.55,0
Steven Matz,,20.175,20.175,0
Steven Okert,,16.38333333,16.38333333,0
Steven Wilson,,14.35,14.35,0
T.J. McFarland,,-1.42,-1.42,0
T.J. Zeuch,,-3.1,-3.1,0
Taijuan Walker,,12.55,12.55,0
Tanner Banks,,16.13333333,16.13333333,0
Tanner Houck,,13.8,13.8,0
Tanner Rainey,,18.3,18.3,0
Tanner Scott,,17.01666667,17.01666667,0
Tanner Tully,,-9.566666667,-9.566666667,0
Tarik Skubal,,16.74,16.74,0
Tayler Saucedo,,-6.7,-6.7,0
Tayler Scott,,10.65,10.65,0
Taylor Clarke,,25.75,25.75,0
Taylor Hearn,,14,14,0
Taylor Widener,,5.5,5.5,0
Thomas Hatch,,7.7,7.7,0
Tim Hill,,5.3,5.3,0
Tim Mayza,,16.53333333,16.53333333,0
Tommy Henry,,8.55,8.55,0
Tommy Hunter,,18.5,18.5,0
Tommy Kahnle,,22.75,22.75,0
Tommy Milone,,-0.5,-0.5,0
Tommy Nance,,18.64,18.64,0
Tony Gonsolin,,18.76666667,18.76666667,0
Tony Santillan,,4.533333333,4.533333333,0
Touki Toussaint,,13.43333333,13.43333333,0
Travis Lakins Sr.,,3.55,3.55,0
Trent Thornton,,7.983333333,7.983333333,0
Trevor Gott,,16,16,0
Trevor Kelley,,10.44,10.44,0
Trevor May,,11.55,11.55,0
Trevor Megill,,16.52,16.52,0
Trevor Richards,,16.61666667,16.61666667,0
Trevor Rogers,,14.33333333,14.33333333,0
Trevor Stephan,,24.36666667,24.36666667,0
Trevor Williams,,14.21666667,14.21666667,0
Triston McKenzie,,19.16666667,19.16666667,0
Tucker Barnhart,,0,0,0
Ty Blach,,10.01666667,10.01666667,0
Tyler Alexander,,8.64,8.64,0
Tyler Anderson,,14.91666667,14.91666667,0
Tyler Clippard,,4.75,4.75,0
Tyler Danish,,10.48,10.48,0
Tyler Duffey,,12.12,12.12,0
Tyler Gilbert,,7.625,7.625,0
Tyler Glasnow,,30.8,30.8,0
Tyler Holton,,11.25,11.25,0
Tyler Kinley,,20.56666667,20.56666667,0
Tyler Matzek,,1.5,1.5,0
Tyler Rogers,,9.25,9.25,0
Tyler Wells,,10.72,10.72,0
Tylor Megill,,18.225,18.225,0
Tyson Miller,,-5.15,-5.15,0
Victor Arano,,13.71666667,13.71666667,0
Victor Caratini,,-14.3,-14.3,0
Vince Velasquez,,12.21666667,12.21666667,0
Vinny Nittoli,,0,0,0
Vladimir Gutierrez,,-0.7,-0.7,0
Wade Miley,,8.066666667,8.066666667,0
Walker Buehler,,17.43333333,17.43333333,0
Wandy Peralta,,13.8,13.8,0
Whit Merrifield,,0,0,0
Wil Crowe,,8.6,8.6,0
Wil Myers,,0,0,0
Will Vest,,17.06666667,17.06666667,0
William Woods,,12.5,12.5,0
Willians Astudillo,,-29.15,-29.15,0
Wily Peralta,,3.66,3.66,0
Xzavion Curry,,-5.45,-5.45,0
Yadier Molina,,10,10,0
Yency Almonte,,15.08,15.08,0
Yerry De Los Santos,,13.2,13.2,0
Yerry Rodriguez,,25,25,0
Yimi Garcia,,18.2,18.2,0
Yoan Lopez,,13.12,13.12,0
Yolmer Sanchez,,0,0,0
Yonny Chirinos,,16.7,16.7,0
Yu Chang,,0,0,0
Yu Darvish,,20.28333333,20.28333333,0
Yunior Marte,,8.9,8.9,0
Yusei Kikuchi,,13,13,0
Zac Gallen,,19.73333333,19.73333333,0
Zac Lowther,,-3.6,-3.6,0
Zach Davies,,8.44,8.44,0
Zach Eflin,,18.9,18.9,0
Zach Jackson,,17.62,17.62,0
Zach Logue,,6.26,6.26,0
Zach Plesac,,9.383333333,9.383333333,0
Zach Thompson,,8.05,8.05,0
Zack Britton,,-55.6,-55.6,0
Zack Greinke,,8.366666667,8.366666667,0
Zack Kelly,,28.75,28.75,0
Zack Littell,,12.13333333,12.13333333,0
Zack Thompson,,9.6,9.6,0
Zack Weiss,,19.6,19.6,0
Zack Wheeler,,21.18333333,21.18333333,0
