Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Alex Colome,,2.45,2.45,0
Alex Faedo,,3.733333333,3.733333333,0
Alex Lange,,18.66666667,18.66666667,0
Alex Vesia,,25.48333333,25.48333333,0
Alex Wood,,18.18,18.18,0
Alexander Wells,,37.5,37.5,0
Alexis Diaz,,18.33333333,18.33333333,0
Amir Garrett,,9.05,9.05,0
Anderson Espinoza,,3.933333333,3.933333333,0
Anderson Severino,,14.7,14.7,0
Andre Jackson,,11.9,11.9,0
Andre Pallante,,6.45,6.45,0
Andrelton Simmons,,-11.1,-11.1,0
Andres Machado,,7.916666667,7.916666667,0
Andres Munoz,,32.68333333,32.68333333,0
Andrew Bellatti,,24.36666667,24.36666667,0
Andrew Chafin,,21.91666667,21.91666667,0
Andrew Heaney,,25.3,25.3,0
Andrew Kittredge,,12,12,0
Andrew Knizner,,0,0,0
Andrew Nardi,,12.2,12.2,0
Andrew Wantz,,16.6,16.6,0
Aneurys Zabala,,16.65,16.65,0
Angel De Jesus,,3.966666667,3.966666667,0
Angel Rondon,,5,5,0
Angel Zerpa,,0,0,0
Anibal Sanchez,,5.933333333,5.933333333,0
Anthony Bender,,10.9,10.9,0
Anthony Castro,,6.125,6.125,0
Anthony DeSclafani,,12,12,0
Anthony Gose,,8.95,8.95,0
Anthony Kay,,20,20,0
Antonio Senzatela,,6.66,6.66,0
Archie Bradley,,10.83333333,10.83333333,0
Arodys Vizcaino,,7.05,7.05,0
Aroldis Chapman,,8.94,8.94,0
Art Warren,,4.566666667,4.566666667,0
Ashton Goudeau,,6.65,6.65,0
Austin Adams,,-11.1,-11.1,0
Austin Brice,,12.76666667,12.76666667,0
Austin Gomber,,12.03333333,12.03333333,0
Austin Pruitt,,10.58,10.58,0
Austin Warren,,8.733333333,8.733333333,0
Austin Wynns,,-8.35,-8.35,0
Bailey Falter,,14.1,14.1,0
Bailey Ober,,17.775,17.775,0
Beau Brieske,,8,8,0
Bennett Sousa,,1.966666667,1.966666667,0
Blake Snell,,17.55,17.55,0
Blake Taylor,,-17.03333333,-17.03333333,0
Blake Treinen,,25,25,0
Bowden Francis,,33.3,33.3,0
Brad Boxberger,,14.85,14.85,0
Brad Hand,,8.4,8.4,0
Brad Keller,,7.783333333,7.783333333,0
Brady Singer,,19.06666667,19.06666667,0
Brandon Bielak,,14.63333333,14.63333333,0
Brandon Hughes,,19.36,19.36,0
Brandon Woodruff,,28.18333333,28.18333333,0
Braxton Garrett,,17.225,17.225,0
Brayan Bello,,10.53333333,10.53333333,0
