Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
Andrew Bellatti,2022,PHI,30.40%,55.70%,4.44,23.00%,1,Reliever,No
Andrew Chafin,2021,- - -,28.20%,62.40%,17.07,16.90%,1.4,Reliever,No
Andrew Chafin,2022,DET,30.00%,63.40%,5.59,19.80%,0.9,Reliever,No
Andrew Heaney,2021,- - -,28.50%,67.00%,-13.76,19.50%,1.1,Starter,Yes
Andrew Heaney,2022,LAD,32.50%,67.70%,0.42,29.40%,1.1,Starter,Yes
Andrew Kittredge,2021,TBR,31.80%,69.10%,10.24,22.00%,1.5,Reliever,No
Andrew Kittredge,2022,TBR,26.60%,70.70%,2.65,16.00%,-0.2,Reliever,No
Andrew Vasquez,2021,LAD,33.30%,83.30%,-0.4,50.00%,0.1,Reliever,No
Andrew Vasquez,2022,- - -,37.90%,59.00%,-0.16,15.40%,0,Reliever,No
Andrew Wantz,2021,LAA,30.00%,64.20%,-6.44,22.50%,0.2,Reliever,No
Andrew Wantz,2022,LAA,28.80%,55.90%,8.06,15.20%,0,Reliever,No
Angel Rondon,2021,STL,17.20%,42.90%,0.99,0.00%,0,Reliever,No
Angel Rondon,2022,STL,19.80%,50.00%,2.5,5.00%,0.1,Reliever,No
Angel Zerpa,2021,KCR,25.00%,55.00%,0.72,15.00%,0.2,Reliever,No
Angel Zerpa,2022,KCR,23.90%,59.10%,1.97,0.00%,-0.1,Reliever,No
Anthony Banda,2021,- - -,26.60%,54.90%,-3.02,12.40%,-0.1,Reliever,No
Anthony Banda,2022,- - -,25.20%,54.80%,-11.81,12.60%,0,Reliever,No
Anthony Bass,2021,MIA,31.50%,63.50%,-2.77,13.10%,-0.4,Reliever,No
Anthony Bass,2022,- - -,32.20%,66.50%,19.87,19.30%,1.3,Reliever,No
Anthony Bender,2021,MIA,35.40%,61.50%,5.29,20.60%,1,Reliever,No
Anthony Bender,2022,MIA,32.80%,62.80%,0.83,11.50%,-0.1,Reliever,No
Anthony Castro,2021,TOR,29.20%,52.30%,-0.36,22.00%,0.2,Reliever,No
Anthony Castro,2022,CLE,26.20%,55.40%,-9.62,3.10%,-0.5,Reliever,No
Anthony DeSclafani,2021,SFG,27.60%,67.00%,22.17,16.30%,3,Reliever,No
Anthony DeSclafani,2022,SFG,27.10%,58.50%,-11.97,13.80%,0,Reliever,No
Anthony Gose,2021,CLE,27.80%,54.20%,2.45,29.20%,0.2,Reliever,No
Anthony Gose,2022,CLE,30.10%,60.90%,-1.33,15.20%,-0.2,Reliever,No
Anthony Kay,2021,TOR,24.30%,59.00%,-4,13.50%,0,Reliever,No
Anthony Kay,2022,TOR,30.80%,60.00%,-0.07,20.00%,0,Reliever,No
Anthony Misiewicz,2021,SEA,27.00%,66.90%,-1.73,16.10%,0.4,Reliever,No
Anthony Misiewicz,2022,- - -,26.90%,59.50%,-3.88,14.00%,0,Reliever,No
Antonio Senzatela,2021,COL,25.00%,64.20%,8.76,10.90%,3.5,Starter,No
Antonio Senzatela,2022,COL,21.90%,58.80%,-2.5,7.50%,1.4,Starter,No
Archie Bradley,2021,PHI,23.00%,61.60%,-0.34,8.00%,0.2,Reliever,No
Archie Bradley,2022,LAA,26.20%,57.70%,-0.65,10.30%,0.2,Reliever,No
Aroldis Chapman,2021,NYY,33.40%,58.40%,5.6,24.30%,0.6,Reliever,No
Aroldis Chapman,2022,NYY,30.90%,55.00%,-5.09,9.40%,-0.2,Reliever,No
Art Warren,2021,CIN,31.10%,61.00%,9.04,31.70%,0.6,Reliever,No
Art Warren,2022,CIN,29.30%,58.80%,-13.66,10.90%,-0.3,Reliever,No
Ashton Goudeau,2021,- - -,22.00%,56.00%,4.76,3.50%,0,Reliever,No
Ashton Goudeau,2022,COL,24.00%,57.40%,-4.17,6.40%,0,Reliever,No
Austin Adams,2021,SDP,32.50%,51.50%,-0.37,17.00%,0.3,Reliever,No
Austin Adams,2022,SDP,31.30%,55.60%,1.19,-11.10%,0,Reliever,No
Austin Brice,2021,BOS,24.80%,48.40%,-4.92,7.80%,-0.1,Reliever,No
Austin Brice,2022,PIT,30.20%,66.70%,0.36,7.40%,0.1,Reliever,No
Austin Davis,2021,- - -,26.60%,51.30%,-3.1,13.70%,0.1,Reliever,No
Austin Davis,2022,- - -,27.20%,56.40%,-14.41,11.70%,0.2,Reliever,No
Austin Gomber,2021,COL,30.40%,65.40%,3.17,14.80%,1.3,Starter,No
Austin Gomber,2022,COL,25.10%,59.20%,-8.5,11.50%,0.9,Starter,No
Austin Pruitt,2021,- - -,20.00%,62.10%,0.85,17.20%,-0.1,Reliever,No
Austin Pruitt,2022,OAK,27.20%,67.90%,-6.37,12.90%,-0.3,Reliever,No
Austin Voth,2021,WSN,25.70%,57.70%,-4.65,12.50%,-0.1,Starter,No
Austin Voth,2022,- - -,26.40%,62.00%,-1.72,13.30%,1,Starter,No
Austin Warren,2021,LAA,29.40%,54.80%,4.2,17.90%,0.8,Reliever,No
Austin Warren,2022,LAA,22.60%,55.70%,-7.75,5.70%,-0.2,Reliever,No
Austin Wynns,2021,BAL,22.20%,75.00%,-0.43,0.00%,0,Reliever,No
Austin Wynns,2022,SFG,11.50%,40.00%,-2.08,-10.00%,-0.1,Reliever,No
Bailey Falter,2021,PHI,27.90%,61.90%,-1.85,20.10%,0.3,Starter,No
Bailey Falter,2022,PHI,30.30%,66.20%,0.38,16.30%,0.6,Starter,No
Bailey Ober,2021,MIN,28.20%,67.30%,4.3,20.30%,0.9,Reliever,No
Bailey Ober,2022,MIN,27.30%,67.80%,4.62,17.60%,1.4,Reliever,No
Blake Snell,2021,SDP,29.20%,57.60%,2.61,18.40%,2.2,Starter,No
Blake Snell,2022,SDP,29.00%,64.70%,11.99,22.40%,3.7,Starter,No
Blake Taylor,2021,HOU,24.70%,48.40%,0.43,10.10%,0.1,Reliever,No
Blake Taylor,2022,HOU,21.00%,54.70%,-0.63,-1.30%,-0.1,Reliever,No
Blake Treinen,2021,LAD,28.90%,65.70%,17.41,21.00%,1.8,Reliever,No
Blake Treinen,2022,LAD,27.50%,58.80%,1.7,29.40%,0,Reliever,No
Brad Boxberger,2021,MIL,31.20%,56.80%,10.68,21.80%,0.8,Reliever,No
Brad Boxberger,2022,MIL,30.70%,66.00%,4.94,15.30%,0.7,Reliever,No
Brad Hand,2021,- - -,28.00%,62.20%,-9.83,12.60%,-0.1,Reliever,No
Brad Hand,2022,PHI,28.80%,56.10%,-3.14,7.60%,0.3,Reliever,No
Brad Keller,2021,KCR,25.40%,59.40%,-15.87,9.10%,1.1,Starter,No
Brad Keller,2022,KCR,23.40%,54.10%,-22.06,7.30%,0.7,Starter,No
Brady Singer,2021,KCR,30.30%,55.80%,-15.75,13.30%,2,Starter,No
Brady Singer,2022,KCR,30.30%,60.10%,19.73,18.50%,2.9,Starter,No
Brandon Bielak,2021,HOU,27.70%,52.30%,-2.66,11.50%,0.2,Reliever,No
Brandon Bielak,2022,HOU,26.50%,51.90%,0.73,14.80%,-0.1,Reliever,No
Brandon Woodruff,2021,MIL,30.00%,66.00%,39.72,23.70%,4.7,Starter,No
Brandon Woodruff,2022,MIL,31.00%,65.60%,25.18,23.90%,3.5,Starter,No
Braxton Garrett,2021,MIA,27.00%,64.20%,-3.25,7.50%,0.3,Starter,No
Braxton Garrett,2022,MIA,30.90%,66.00%,4.3,17.70%,1.5,Starter,No
Brent Suter,2021,MIL,24.70%,62.30%,0.96,14.40%,0.5,Reliever,No
Brent Suter,2022,MIL,27.70%,62.90%,0.96,11.40%,-0.2,Reliever,No
Brett Martin,2021,TEX,26.80%,65.50%,-0.45,10.60%,0.6,Reliever,No
Brett Martin,2022,TEX,27.20%,63.20%,-5.64,10.40%,0.3,Reliever,No
Brett Phillips,2021,TBR,21.70%,42.90%,-0.44,-28.60%,0,Reliever,No
Brett Phillips,2022,TBR,13.60%,54.50%,-6.23,-9.10%,-0.2,Reliever,No
Brooks Raley,2021,HOU,30.40%,64.40%,-6.77,23.90%,0.8,Reliever,No
Brooks Raley,2022,TBR,30.10%,63.50%,5.73,21.00%,0.9,Reliever,No
Bruce Zimmermann,2021,BAL,27.30%,57.90%,-3.29,11.90%,0.4,Starter,No
Bruce Zimmermann,2022,BAL,25.10%,65.90%,-15.41,11.60%,-0.8,Starter,No
Brusdar Graterol,2021,LAD,26.10%,64.00%,3.67,9.30%,0.3,Reliever,No
Brusdar Graterol,2022,LAD,25.60%,66.00%,6.07,16.80%,0.8,Reliever,No
Bryan Abreu,2021,HOU,27.10%,42.20%,-10.77,11.20%,0.1,Reliever,No
Bryan Abreu,2022,HOU,30.50%,56.50%,4.73,25.00%,1.4,Reliever,No
Bryan Baker,2021,TOR,26.30%,50.00%,0.56,25.00%,0,Reliever,No
Bryan Baker,2022,BAL,28.00%,63.60%,2.91,17.20%,1.4,Reliever,No
Bryan Garcia,2021,DET,22.00%,55.70%,-14.04,3.60%,-0.9,Reliever,No
Bryan Garcia,2022,DET,27.80%,56.00%,1.93,8.30%,-0.1,Reliever,No
Bryan Shaw,2021,CLE,25.00%,55.40%,6.38,9.90%,0,Reliever,No
Bryan Shaw,2022,CLE,24.40%,60.20%,-9.55,10.00%,-0.4,Reliever,No
Bryse Wilson,2021,- - -,24.10%,61.50%,-7.95,7.50%,0.1,Starter,No
Bryse Wilson,2022,PIT,24.50%,59.90%,-19.47,9.20%,-0.1,Starter,No
Buck Farmer,2021,DET,26.30%,59.10%,-7.35,9.40%,-0.5,Reliever,No
Buck Farmer,2022,CIN,28.50%,63.30%,2.94,14.60%,1,Reliever,No
Cal Quantrill,2021,CLE,25.10%,65.60%,25.2,12.00%,2,Starter,No
Cal Quantrill,2022,CLE,23.80%,63.90%,9.53,10.50%,2.2,Starter,No
Caleb Smith,2021,ARI,27.50%,56.20%,-2.09,12.20%,0,Reliever,No
Caleb Smith,2022,ARI,26.90%,62.60%,-1.35,8.60%,-0.8,Reliever,No
Caleb Thielbar,2021,MIN,28.80%,59.40%,5,21.40%,0.8,Reliever,No
Caleb Thielbar,2022,MIN,30.10%,68.60%,6.64,25.30%,1.6,Reliever,No
Camilo Doval,2021,SFG,33.40%,60.60%,5.16,25.70%,0.3,Reliever,No
Camilo Doval,2022,SFG,29.60%,53.50%,4.83,17.50%,1.2,Reliever,No
Carl Edwards Jr.,2021,- - -,25.20%,38.70%,-5.24,9.70%,-0.2,Reliever,No
Carl Edwards Jr.,2022,WSN,27.00%,61.30%,9.82,12.10%,0.1,Reliever,No
Carlos Carrasco,2021,NYM,26.40%,64.60%,-12.91,13.50%,0.1,Starter,No
Carlos Carrasco,2022,NYM,27.10%,68.40%,3.49,17.20%,2.4,Starter,No
Carlos Estevez,2021,COL,24.70%,60.00%,2.75,14.40%,0.6,Reliever,No
